adm0_name,adm1_name,latitude,longitude,name_alt,area_km2,population,pop_density_km2
AFG,Badakhshan,36.781,70.8036,Badahšan,68389.31326850737,,
AFG,Badghis,35.2699,63.8495,Badghes|Badghisat|Badgis,30737.530056837204,,
AFG,Baghlan,35.8588,68.9831,Baglan|Bughlan,27088.40314736999,,
AFG,Balkh,36.6851,67.2185,Balh|Mazar-i-Sharif|Mazar,24854.949684446183,,
AFG,Bamyan,34.9693,67.2365,,26238.1770870943,,
AFG,Farah,32.5314,62.6498,,69473.22129874224,,
AFG,Faryab,35.8043,64.7678,Fariab|Maimana|Meymaneh,31652.97706426314,,
AFG,Ghazni,33.4079,67.8006,Gazni,31520.669665996495,,
AFG,Ghor,34.002,64.9224,Gawr|Ghore|Ghour|Ghur,52657.15072450337,,
AFG,Hilmand,30.9278,63.9824,Girishk|Hilmend,78085.699132471,,
AFG,Hirat,34.1551,62.4845,,80854.532811274,,
AFG,Jawzjan,36.8971,65.9617,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,17545.724559950744,,
AFG,Kabul,34.4949,69.3846,Cabul|Kabol|Kaboul,6501.644626225788,,
AFG,Kandahar,31.135,65.7163,Qandahar,72750.08719753906,,
AFG,Kapisa,34.9748,69.6626,Kapesa,2763.5971815342464,,
AFG,Khost,33.363,69.8211,,5770.149150161986,,
AFG,Kunar,34.9013,71.1061,Konarha|Kunarha,6918.104940992677,,
AFG,Kunduz,36.9043,68.682,Kondoz|Qonduz|Qunduz,12470.004054393648,,
AFG,Laghman,34.7273,70.2085,Lagman,5757.432374919161,,
AFG,Logar,34.0857,69.3047,Lawghar|Loghar,6474.965093263895,,
AFG,Nangarhar,34.2153,70.3027,Ningrahar|Eastern Province,10723.5840644899,,
AFG,Nimroz,30.7528,62.2069,Neemroze|Nimrod|Nimrooz|Nimroze|Chakhansur,56975.40194106003,,
AFG,Nuristan,35.2898,70.7567,Nooristan|Nuristão,13338.070401507472,,
AFG,Paktika,32.5106,68.651,Paktiya|Paktya|Southern Province,26397.39556956881,,
AFG,Paktya,33.575,69.3826,Paktiya|Southern Province,7786.022760435283,,
AFG,Parwan,35.3368,69.7587,Charikar,5544.416275345135,,
AFG,Samangan,36.0506,67.683,,20121.432948468413,,
AFG,Sari Pul,35.7062,66.2158,Sar-e Pul|Saripol,24428.316666363222,,
AFG,Takhar,36.8335,69.8124,Takar,18958.28748778339,,
AFG,Uruzgan,32.807,66.0947,Urozgan,15981.15783749689,,
AFG,Wardak,34.4269,68.1087,Verdak|Wardag|Maiden,14858.060743332744,,
AFG,Zabul,32.4033,67.1401,Zubul|Zaboul,23881.98763513223,,
AGO,Bengo,-8.99949,13.907,,34842.09664419012,,
AGO,Benguela,-12.7993,13.8119,Benguella,41799.1092720196,,
AGO,Bié,-12.7997,17.4921,,75576.805140276,,
AGO,Cabinda,-4.80148,12.543,,6753.637712848086,,
AGO,Cuando Cubango,-16.311,19.9218,,214266.41136516715,,
AGO,Cuanza Norte,-9.6988,14.9458,Cuanza-Nord|Kwanza Norte,24309.393439240164,,
AGO,Cuanza Sul,-10.9232,15.0504,Cuanza-Sud|Kwanza Sul,57261.49024402733,,
AGO,Cunene,-16.6271,15.281,,83751.21448724858,,
AGO,Huambo,-12.5587,15.6947,,34768.53303024227,,
AGO,Huíla,-14.7348,14.9844,,84196.8954826837,,
AGO,Luanda,-8.95941,13.3166,Loanda,2871.6899428868605,,
AGO,Lunda Norte,-8.4722,19.6268,,107698.70175065468,,
