adm0_name,adm1_name,adm2_name,adm3_name,latitude,longitude,name_alt,population,area_km2,pop_density_km2
CHN,Anhui,Anqing,Anqing,30.58296373349651,117.12265708725582,,,618.0914701098766,
CHN,Anhui,Anqing,Huaining,30.57664411795689,116.7945776044245,,,2170.625839633256,
CHN,Anhui,Anqing,Qianshan,30.75076814232357,116.5386966963108,,,2312.793800889673,
CHN,Anhui,Anqing,Susong,30.103128635043124,116.24174863910781,,,3140.257742854647,
CHN,Anhui,Anqing,Taihu,30.49401185292294,116.16982807357576,,,2723.7848688197114,
CHN,Anhui,Anqing,Tongcheng,30.96990080423779,116.94009228974676,,,2236.922802889907,
CHN,Anhui,Anqing,Wangjiang,30.240249255590033,116.67759563583157,,,1780.4077993156309,
CHN,Anhui,Anqing,Yuexi,30.897171771768722,116.20567250008318,,,3236.013374315441,
CHN,Anhui,Anqing,Zongyang,30.857273651685393,117.37165255491854,,,2547.8209651363013,
CHN,Anhui,Bengbu,Bengbu,32.92346240341881,117.36713275553619,,,562.9490014827867,
CHN,Anhui,Bengbu,Guzhen,33.26749304458558,117.3428511615317,,,2122.444784934104,
CHN,Anhui,Bengbu,Huaiyuan,33.0322697526159,117.03226621849647,,,3449.082796161981,
CHN,Anhui,Bengbu,Wuhe,33.134308263880015,117.75337983374371,,,2263.473275995679,
CHN,Anhui,Bozhou,Boxian,33.78129444970083,115.79814984391145,,,3250.30105334326,
CHN,Anhui,Bozhou,Guoyang,33.55605684880962,116.20971456406878,,,3037.125968425402,
CHN,Anhui,Bozhou,Lixin,33.15438632478722,116.15242931827964,,,2946.0369573693847,
CHN,Anhui,Bozhou,Mengcheng,33.21521499918777,116.57974396342102,,,3078.9556508898204,
CHN,Anhui,Chaohu,Chao,31.646416722703492,117.71503077201324,,,2829.7711018062805,
CHN,Anhui,Chaohu,Hanshan,31.655728631043765,118.04032078965784,,,1450.213916776835,
CHN,Anhui,Chaohu,He,31.710789433098963,118.28184692613749,,,2137.634473985959,
CHN,Anhui,Chaohu,Lujiang,31.269868109830558,117.32119390063914,,,3226.577546861197,
CHN,Anhui,Chaohu,Wuwei,31.254436544446254,117.85379641025614,,,3303.2303730472354,
CHN,Anhui,Chizhou,Dongzhi,30.027274780153327,116.99274515536666,,,4306.966043879685,
CHN,Anhui,Chizhou,Guichi,30.508928395948896,117.49567727303199,,,3445.9817812309457,
CHN,Anhui,Chizhou,Qingyang,30.59841920361164,117.89464564658246,,,1608.4059569319131,
CHN,Anhui,Chizhou,Shitai,30.196987366844077,117.5340650700905,,,1969.4397131849187,
CHN,Anhui,Chuzhou,Chuxian,32.32041528981624,118.1973484042323,,,1930.4182060079486,
CHN,Anhui,Chuzhou,Dingyuan,32.469752980225266,117.64982670622449,,,4239.093242926979,
CHN,Anhui,Chuzhou,Fengyang,32.78974639683074,117.59191522331646,,,2768.7201590804625,
CHN,Anhui,Chuzhou,Jiashan,32.80615832351798,118.12755133967768,,,3342.825378997349,
CHN,Anhui,Chuzhou,Lai'an,32.47002371048197,118.52129246390149,,,2098.57002228425,
CHN,Anhui,Chuzhou,Quanjiao,32.06529527876024,118.09073941592844,,,2202.222607484358,
CHN,Anhui,Chuzhou,Tianchang,32.717023627870006,118.96117940168163,,,2474.8090979217104,
CHN,Anhui,Fuyang,Funan,32.652377706158916,115.63848492216744,,,2743.162324827664,
CHN,Anhui,Fuyang,Fuyang,32.95219749249067,115.82213099324544,,,2552.6815545833183,
CHN,Anhui,Fuyang,Jieshou,33.225074255278116,115.38429647676134,,,917.3295860876563,
CHN,Anhui,Fuyang,Linquan,32.908218292320846,115.23308946049609,,,2619.8570204736093,
CHN,Anhui,Fuyang,Taihe,33.33309829938741,115.63352882952884,,,2658.184314652764,
CHN,Anhui,Fuyang,Yaohai,32.65785704124628,116.25126375799186,,,2807.2469605427946,
CHN,Anhui,Hefei,Changfeng,32.28037708513269,117.1589889001699,,,3313.714688812292,
CHN,Anhui,Hefei,Feidong,31.999495953016016,117.56089497950991,,,3155.292399369119,
CHN,Anhui,Hefei,Feixi,31.728471311493596,117.01668550506018,,,3204.583818931062,
CHN,Anhui,Hefei,Hefei,31.834412654350245,117.26617693449148,,,715.0813513623384,
CHN,Anhui,Huaibei,Huaibei,33.99758139453645,116.86260504366034,,,410.49151148987283,
CHN,Anhui,Huaibei,Suixi,33.68883365007994,116.7223581115024,,,3473.2586212434276,
CHN,Anhui,Huainan,Fengtai,32.788035348006204,116.56753054317267,,,1522.9878360904165,
CHN,Anhui,Huainan,Huainan,32.72474353304853,116.90299889145514,,,1474.564312293146,
CHN,Anhui,Huangshan,Qimen,29.868190350466207,117.58827134962554,,,2924.6594570007637,
CHN,Anhui,Huangshan,She,29.88711709064521,118.52694231068953,,,3305.166857061279,
CHN,Anhui,Huangshan,Taiping,30.2719759927698,118.08644585401669,,,2108.9656284365224,
CHN,Anhui,Huangshan,Tunxi,29.864333879489607,118.23573641366646,,,715.447960544618,
CHN,Anhui,Huangshan,Xiuning,29.66080244366533,118.07704514630652,,,2762.410928651239,
CHN,Anhui,Huangshan,Yi,30.008404179446444,117.89923203689976,,,1118.2151948839312,
CHN,Anhui,Lu'an,Huoqiu,32.197118606863484,116.15853788317915,,,5301.67820659074,
CHN,Anhui,Lu'an,Huoshan,31.283239838205812,116.23372418840242,,,2786.366918613715,
CHN,Anhui,Lu'an,Jinzhai,31.475382955314902,115.76729885169803,,,5385.824688423311,
CHN,Anhui,Lu'an,Lu An,31.7112544670212,116.45644384291883,,,4910.670174188103,
CHN,Anhui,Lu'an,Shou,32.25835530669014,116.75410878735363,,,4130.279492756694,
CHN,Anhui,Lu'an,Shucheng,31.306225348209757,116.81469938359616,,,2880.4944067629294,
CHN,Anhui,Ma'anshan,Dangtu,31.498367468504295,118.62788130604997,,,2039.5464930669982,
CHN,Anhui,Ma'anshan,Maanshan,31.699488322513634,118.54375545425036,,,417.30751854915826,
CHN,Anhui,Suzhou,Dangshan,34.45229625539754,116.40445331786185,,,1754.3800422797603,
CHN,Anhui,Suzhou,Lingbi,33.68754350619148,117.53064701590787,,,3036.4704998318425,
CHN,Anhui,Suzhou,Si,33.54088586102281,117.8765388423539,,,2678.059583573692,
CHN,Anhui,Suzhou,Xiao,34.20733984934321,116.80346256135876,,,2756.4699001773106,
CHN,Anhui,Suzhou,Yongqiao,33.72135890862697,117.14537842279492,,,4246.521216320074,
CHN,Anhui,Tongling,Tongling,30.94488654810102,117.89434848479422,,,1405.8323772461492,
CHN,Anhui,Wuhu,Fanchang,31.12641815749478,118.18723115995432,,,1242.959423203134,
CHN,Anhui,Wuhu,Nanling,30.89293353819067,118.27363902551579,,,1708.2080715816153,
CHN,Anhui,Wuhu,Wuhu,31.213308367535642,118.49967743077106,,,1530.042512144301,
CHN,Anhui,Xuancheng,Guangde,30.891210413958564,119.35564169930373,,,2899.308108954,
CHN,Anhui,Xuancheng,Jing,30.59597202254955,118.36304941297101,,,2726.1406251422604,
CHN,Anhui,Xuancheng,Jingde,30.31956003608722,118.48141592521725,,,1177.6988937161823,
CHN,Anhui,Xuancheng,Jixi,30.16106864692435,118.65734922763679,,,1422.4873601792633,
CHN,Anhui,Xuancheng,Langxi,31.09659440254228,119.15804635863485,,,1531.4642202520947,
CHN,Anhui,Xuancheng,Ningguo,30.498852061639255,118.98720380053538,,,3258.6375174555874,
CHN,Anhui,Xuancheng,Xuanzhou,30.939768778795855,118.785033661284,,,3575.0970071823763,
CHN,Beijing,Beijing,Beijing,39.94501650422526,116.33200345752962,,,2310.12955508315,
CHN,Beijing,Beijing,Changping,40.21341254814418,116.20381158383641,,,2300.9706376854256,
CHN,Beijing,Beijing,Daxing,39.64744511941393,116.41274267834898,,,1708.1097249975762,
CHN,Beijing,Beijing,Fangshan,39.72076806189993,115.85061400237696,,,3444.250855290342,
CHN,Beijing,Beijing,Huairou,40.6291646130202,116.57887297996876,,,3678.2693630029876,
CHN,Beijing,Beijing,Mentougou,39.99611941767409,115.78246206865914,,,2408.482436961855,
CHN,Beijing,Beijing,Miyun,40.524640626159254,116.98348451212611,,,3798.2170208921657,
CHN,Beijing,Beijing,Pinggu,40.20749722282653,117.13406283470248,,,1624.5226453439254,
CHN,Beijing,Beijing,Shunyi,40.147687072118515,116.71824678591345,,,1687.7602082863282,
CHN,Beijing,Beijing,Tongzhou,39.80489043725038,116.72823265546046,,,1610.037201538598,
CHN,Beijing,Beijing,Yanqing,40.538076319937076,116.15698950595127,,,3461.436930820742,
CHN,Chongqing,Chongqing,Ba,29.41635339753148,106.64112851145318,,,3384.029995691402,
CHN,Chongqing,Chongqing,Bishan,29.563437506107935,106.18884791099224,,,1246.5318362120297,
CHN,Chongqing,Chongqing,Changshou,29.955494248844417,107.13407467656565,,,1881.3509363360831,
CHN,Chongqing,Chongqing,Chengkou,31.888407732011363,108.73010285215243,,,4556.305900394681,
CHN,Chongqing,Chongqing,Chongqing,29.637665071071908,106.49268313581717,,,1226.2796363770278,
CHN,Chongqing,Chongqing,Dazu,29.652015148493952,105.73907282182186,,,1878.8368548833564,
CHN,Chongqing,Chongqing,Dianjiang,30.254800123776924,107.43154805471582,,,2022.0859959948225,
CHN,Chongqing,Chongqing,Fengdu,29.88685436947479,107.8247985608034,,,3836.3337418206993,
CHN,Chongqing,Chongqing,Fengjie,30.95735005265902,109.34318057040402,,,5581.24690855929,
CHN,Chongqing,Chongqing,Fuling,29.66158626991874,107.32923374501931,,,3886.2625448309063,
CHN,Chongqing,Chongqing,Hechuan,30.114397548171787,106.30723760478263,,,3103.9196720609357,
CHN,Chongqing,Chongqing,Jiangbei,29.81946589102961,106.71728355242605,,,2583.7193298693787,
CHN,Chongqing,Chongqing,Jiangjin,29.030902563397046,106.25805933299273,,,4177.64261302196,
CHN,Chongqing,Chongqing,Kai,31.27688220636899,108.37984160441137,,,5461.053769331694,
CHN,Chongqing,Chongqing,Liangping,30.657974078298317,107.71380664013425,,,2529.491925122724,
CHN,Chongqing,Chongqing,Nanchuan,29.13680926314203,107.1683396885223,,,3404.3084870032476,
CHN,Chongqing,Chongqing,Pengshui,29.352062855100684,108.25908565981447,,,5159.718428841794,
CHN,Chongqing,Chongqing,Qianjiang,29.433958318300643,108.70332578032544,,,3159.4978478445396,
CHN,Chongqing,Chongqing,Qijiang,28.882109467426236,106.71908315108298,,,3576.4168315372667,
CHN,Chongqing,Chongqing,Rongchang,29.466388082004055,105.50195380042939,,,1434.956554905796,
CHN,Chongqing,Chongqing,Shizhu,30.093468389997692,108.29290538964106,,,4018.3398248749427,
CHN,Chongqing,Chongqing,Tongliang,29.815480462576982,106.03048493255122,,,1781.6312705299376,
CHN,Chongqing,Chongqing,Tongnan,30.142318779180737,105.80875189605827,,,2139.5107731557982,
CHN,Chongqing,Chongqing,Wan,30.706632577051778,108.40071437895661,,,4693.900777790205,
CHN,Chongqing,Chongqing,Wulong,29.377991668548923,107.70420882887713,,,3787.11804215703,
CHN,Chongqing,Chongqing,Wushan,31.119676015641062,109.89625534328272,,,4056.967308875628,
CHN,Chongqing,Chongqing,Wuxi,31.50874506203562,109.3513518974357,,,5514.607591187331,
CHN,Chongqing,Chongqing,Xiushan,28.49273939118509,109.01367223057643,,,3156.4777121134325,
CHN,Chongqing,Chongqing,Yongchuan,29.292716779107234,105.86868115217861,,,2072.608249592816,
CHN,Chongqing,Chongqing,Youyang,28.89917392125899,108.79554694986783,,,6695.826481522984,
CHN,Chongqing,Chongqing,Yunyang,31.0405260429133,108.85120452616495,,,4953.852799293536,
CHN,Chongqing,Chongqing,Zhong,30.33734382830672,107.90960380931614,,,2941.798124025454,
CHN,Fujian,Fuzhou,Changle,25.90861968660267,119.54688184080884,,,841.8889570810384,
CHN,Fujian,Fuzhou,Fuqing,25.613307316714465,119.43110563040939,,,2358.237791034167,
CHN,Fujian,Fuzhou,Fuzhou,26.144146355656407,119.34964049641947,,,1263.2711561384376,
CHN,Fujian,Fuzhou,Lianjiang,26.301130343749485,119.5496386540364,,,1399.9057756968862,
CHN,Fujian,Fuzhou,Luoyuan,26.5015937342482,119.45787666198045,,,1312.7273140040488,
CHN,Fujian,Fuzhou,Minhou,26.180564355223552,119.10898833275304,,,2603.8553285263247,
CHN,Fujian,Fuzhou,Minqing,26.206942804284306,118.76508749123566,,,1864.11354930258,
CHN,Fujian,Fuzhou,Yongtai,25.854524104373045,118.78285544664132,,,2754.382338644634,
CHN,Fujian,Longyan,Changting,25.691531651624636,116.35752379445971,,,3830.2680200506147,
CHN,Fujian,Longyan,Liancheng,25.602670308910724,116.80956510329099,,,3201.40577273857,
CHN,Fujian,Longyan,Luojiang,25.217109442273824,117.07490378622275,,,3251.4963498219677,
CHN,Fujian,Longyan,Shanghang,25.12159167720798,116.55846934036319,,,3470.045134878726,
CHN,Fujian,Longyan,Wuping,25.1319856375142,116.1247284602019,,,3235.6995618979513,
CHN,Fujian,Longyan,Yongding,24.758547253704506,116.81286563406238,,,2743.0195801639898,
CHN,Fujian,Longyan,Zhangping,25.378871920586224,117.43969683931239,,,3621.9512462903717,
CHN,Fujian,Nanping,Chongan,27.746137918947618,117.99912738060394,,,3581.4669599778854,
