adm0_name,adm1_name,adm2_name,policy,policy_description,date_start,date_end,optional,source,access_date,notes,implied_policy
CHN,Hubei,Wuhan,travel_ban_local,"public transit suspended, Wuhan airport/train/metro closed",01/23/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Hubei,Ezhou,travel_ban_local,public transit on lockdown,01/23/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Hubei,Huanggang,travel_ban_local,public transit on lockdown,01/23/2020,3/13/2020,N,https://www.reuters.com/article/us-health-coronavirus-china/chinas-coronavirus-epicenter-reports-just-five-cases-beijing-tomb-sweepers-urged-to-stay-back-idUSKBN2100BP,3/16/2020,,False
CHN,Guangdong,All,emergency_declaration,Level 1 Emergency Declaration,01/23/2020,,N,https://www.yicai.com/news/100480475.html,5/6/2020,,False
CHN,Zhejiang,All,emergency_declaration,Level 1 Emergency Declaration,01/23/2020,,N,http://www.bjnews.com.cn/news/2020/01/23/678373.html,5/6/2020,,False
CHN,Hubei,Xianning,travel_ban_local,,01/24/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Hubei,Xiantao,travel_ban_local,,01/24/2020,3/13/2020,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/2020,,False
CHN,Hubei,Xiaogan,travel_ban_local,,01/24/2020,,N,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns,3/15/2020,,False
CHN,Hubei,Yichang,travel_ban_local,,01/24/2020,3/13/2020,N,http://www.xinhuanet.com/politics/2020-03/15/c_1125716736.htm,3/16/2020,,False
CHN,Hunan,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,https://www.yicai.com/news/100480475.html,5/6/2020,,False
CHN,Jiangsu,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,https://www.dwnews.com/%E4%B8%AD%E5%9B%BD/60166093/%E6%AD%A6%E6%B1%89%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E4%B8%AD%E5%9B%BD18%E7%9C%81%E5%B8%82%E5%90%AF%E5%8A%A8%E4%B8%80%E7%BA%A7%E5%93%8D%E5%BA%94,5/6/2020,,False
CHN,Shandong,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,https://www.dwnews.com/%E4%B8%AD%E5%9B%BD/60166093/%E6%AD%A6%E6%B1%89%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E4%B8%AD%E5%9B%BD18%E7%9C%81%E5%B8%82%E5%90%AF%E5%8A%A8%E4%B8%80%E7%BA%A7%E5%93%8D%E5%BA%94,5/6/2020,,False
CHN,Hubei,Tianmen,travel_ban_local,,01/24/2020,3/13/2020,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/2020,,False
CHN,Shanghai,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,http://www.xinhuanet.com/2020-01/24/c_1125500208.htm,5/6/2020,,False
CHN,Sichuan,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,https://www.dwnews.com/%E4%B8%AD%E5%9B%BD/60166093/%E6%AD%A6%E6%B1%89%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E4%B8%AD%E5%9B%BD18%E7%9C%81%E5%B8%82%E5%90%AF%E5%8A%A8%E4%B8%80%E7%BA%A7%E5%93%8D%E5%BA%94,5/6/2020,,False
CHN,Tianjin,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,http://www.xinhuanet.com/2020-01/24/c_1125500208.htm,5/6/2020,,False
CHN,Yunnan,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,https://www.dwnews.com/%E4%B8%AD%E5%9B%BD/60166093/%E6%AD%A6%E6%B1%89%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E4%B8%AD%E5%9B%BD18%E7%9C%81%E5%B8%82%E5%90%AF%E5%8A%A8%E4%B8%80%E7%BA%A7%E5%93%8D%E5%BA%94,5/6/2020,,False
CHN,Jiangxi,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,https://www.dwnews.com/%E4%B8%AD%E5%9B%BD/60166093/%E6%AD%A6%E6%B1%89%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E4%B8%AD%E5%9B%BD18%E7%9C%81%E5%B8%82%E5%90%AF%E5%8A%A8%E4%B8%80%E7%BA%A7%E5%93%8D%E5%BA%94,5/6/2020,,False
CHN,Hubei,Suizhou,travel_ban_local,,01/24/2020,3/13/2020,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/2020,,False
CHN,Hubei,Shiyan,travel_ban_local,,01/24/2020,3/13/2020,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/2020,,False
CHN,Hubei,Qianjiang,travel_ban_local,,01/24/2020,3/13/2020,N,http://www.rfi.fr/cn/%E4%B8%AD%E5%9B%BD/20200314-%E6%B9%96%E5%8C%97%E5%B0%81%E9%97%AD%E5%BC%8F%E7%AE%A1%E7%90%86%E6%9D%BE%E7%BB%91-%E4%BD%8E%E9%A3%8E%E9%99%A9%E4%B9%A1%E9%95%87%E7%A4%BE%E5%8C%BA%E5%85%A8%E6%95%B0%E8%A7%A3%E7%A6%81,3/16/2020,,False
CHN,Anhui,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,http://www.xinhuanet.com/2020-01/24/c_1125500208.htm,5/6/2020,,False
CHN,Beijing,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,https://www.dwnews.com/%E4%B8%AD%E5%9B%BD/60166093/%E6%AD%A6%E6%B1%89%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E4%B8%AD%E5%9B%BD18%E7%9C%81%E5%B8%82%E5%90%AF%E5%8A%A8%E4%B8%80%E7%BA%A7%E5%93%8D%E5%BA%94,5/6/2020,,False
CHN,Chongqing,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,http://www.xinhuanet.com/2020-01/24/c_1125500208.htm,5/6/2020,,False
CHN,Fujian,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,https://www.dwnews.com/%E4%B8%AD%E5%9B%BD/60166093/%E6%AD%A6%E6%B1%89%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E4%B8%AD%E5%9B%BD18%E7%9C%81%E5%B8%82%E5%90%AF%E5%8A%A8%E4%B8%80%E7%BA%A7%E5%93%8D%E5%BA%94,5/6/2020,,False
CHN,Guizhou,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,https://www.dwnews.com/%E4%B8%AD%E5%9B%BD/60166093/%E6%AD%A6%E6%B1%89%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E4%B8%AD%E5%9B%BD18%E7%9C%81%E5%B8%82%E5%90%AF%E5%8A%A8%E4%B8%80%E7%BA%A7%E5%93%8D%E5%BA%94,5/6/2020,,False
CHN,Guangxi,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,https://www.dwnews.com/%E4%B8%AD%E5%9B%BD/60166093/%E6%AD%A6%E6%B1%89%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E4%B8%AD%E5%9B%BD18%E7%9C%81%E5%B8%82%E5%90%AF%E5%8A%A8%E4%B8%80%E7%BA%A7%E5%93%8D%E5%BA%94,5/6/2020,,False
CHN,Hubei,All,emergency_declaration,Level 1 Emergency Declaration,01/24/2020,,N,https://www.yicai.com/news/100480475.html,5/6/2020,,False
