"adm1_name","adm2_name","max_cases","any_policy"
"Henan","Xinyang",274,0
"Shandong","Jining",260,0
"Hunan","Changsha",242,0
"Henan","Nanyang",156,0
"Hunan","Yueyang",156,0
"Anhui","Bozhou",108,0
"Hunan","Shaoyang",102,0
"Henan","Shangqiu",91,0
"Anhui","Anqing",83,0
"Hunan","Changde",82,0
"Hunan","Zhuzhou",80,0
"Henan","Zhoukou",76,0
"Hunan","Loudi",76,0
"Anhui","Lu'an",69,0
"Guangdong","Zhongshan",68,0
"Hunan","Yiyang",60,0
"Henan","Pingdingshan",58,0
"Henan","Xinxiang",57,0
"Fujian","Putian",56,0
"Zhejiang","Jinhua",55,0
"Henan","Anyang",53,0
"Heilongjiang","Shuangyashan",52,0
"Hebei","Cangzhou",48,0
"Hunan","Hengyang",48,0
"Fujian","Quanzhou",47,0
"Heilongjiang","Suihua",47,0
"Shandong","Yantai",47,0
"Heilongjiang","Jixi",46,0
"Zhejiang","Jiaxing",45,0
"Guangxi","Beihai",44,0
"Hunan","Yongzhou",44,0
"Shandong","Weifang",44,0
"Heilongjiang","Qiqihar",43,0
"Sichuan","Dazhou",42,0
"Zhejiang","Shaoxing",42,0
"Anhui","Suzhou",41,0
"Hebei","Zhangjiakou",41,0
"Hunan","Huaihua",40,0
"Henan","Xuchang",39,0
"Hunan","Chenzhou",39,0
"Sichuan","Nanchong",39,0
"Shandong","Liaocheng",38,0
"Shandong","Weihai",38,0
"Shandong","Dezhou",37,0
"Shanxi","Jinzhong",37,0
"Hunan","Xiangtan",36,0
"Fujian","Xiamen",35,0
"Henan","Luohe",35,0
"Anhui","Wuhu",34,0
"Guizhou","Zunyi",32,0
"Hebei","Baoding",32,0
"Hebei","Handan",32,0
"Henan","Jiaozuo",32,0
"Henan","Luoyang",31,0
"Hebei","Langfang",30,0
"Shandong","Zibo",30,0
"Sichuan","Guang'an",30,0
"Anhui","Tongling",29,0
"Liaoning","Shenyang",28,0
"Zhejiang","Lishui",28,0
"Anhui","Huainan",27,0
"Fujian","Ningde",26,0
"Heilongjiang","Daqing",26,0
"Henan","Kaifeng",26,0
"Shaanxi","Ankang",26,0
"Guangdong","Shantou",25,0
"Yunnan","Zhaotong",25,0
