"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,107,"IRN","Iran",1,"Alborz","Ostan","Province","<U+0627><U+0633><U+062A><U+0627><U+0646> <U+0627><U+0644><U+0628><U+0631><U+0632>",NA
2,107,"IRN","Iran",2,"Ardebil","Ostan","Province",NA,"Ardabil"
3,107,"IRN","Iran",3,"Bushehr","Ostan","Province",NA,"Banader va Jazayer-e Khalij-e Fars|Bushire|Persian Gulf|Ports and Islands of the Persian Gulf"
4,107,"IRN","Iran",4,"Chahar Mahall and Bakhtiari","Ostan","Province",NA,"Bakhtiari|Chaharmahal va Bakhtiyari|Charmahal-Bakhtiyari"
5,107,"IRN","Iran",5,"East Azarbaijan","Ostan","Province",NA,"Azarbayjan-e Khavari|Azarbaijan-e Sharghi|Azarbaijan-Sharqi|East Azarbayejan|Azerba‹djan e Sharqi"
6,107,"IRN","Iran",6,"Esfahan","Ostan","Province",NA,"Isfahan|Ispahan"
7,107,"IRN","Iran",7,"Fars","Ostan","Province",NA,NA
8,107,"IRN","Iran",8,"Gilan","Ostan","Province",NA,NA
9,107,"IRN","Iran",9,"Golestan","Ostan","Province",NA,NA
10,107,"IRN","Iran",10,"Hamadan","Ostan","Province",NA,"Hamedan"
11,107,"IRN","Iran",11,"Hormozgan","Ostan","Province",NA,"Banader va Jazayer-e Bahr-e Oman|Ports and Islands of the Sea of Oman|Saheli"
12,107,"IRN","Iran",12,"Ilam","Ostan","Province",NA,"Ilam and Poshtkuh"
13,107,"IRN","Iran",13,"Kerman","Ostan","Province",NA,NA
14,107,"IRN","Iran",14,"Kermanshah","Ostan","Province",NA,"Bakhtaran|Kermanshahan"
15,107,"IRN","Iran",15,"Khuzestan","Ostan","Province",NA,"Khuzistan|Kouzistan"
16,107,"IRN","Iran",16,"Kohgiluyeh and Buyer Ahmad","Ostan","Province",NA,"Bovir Ahmadi and Kohkiluyeh|Boyer-Ahmad and Koh-Giluye|Boyer Ahmad e Kohkiluyeh|Boyer Ahmadi-ye Sardir va Kohkiluyeh|Kohgil"
17,107,"IRN","Iran",17,"Kordestan","Ostan","Province",NA,"Kurdistan"
18,107,"IRN","Iran",18,"Lorestan","Ostan","Province",NA,NA
19,107,"IRN","Iran",19,"Markazi","Ostan","Province",NA,NA
20,107,"IRN","Iran",20,"Mazandaran","Ostan","Province",NA,NA
21,107,"IRN","Iran",21,"North Khorasan","Ostan","Province",NA,"Khorasan-e Shemali"
22,107,"IRN","Iran",22,"Qazvin","Ostan","Province",NA,NA
23,107,"IRN","Iran",23,"Qom","Ostan","Province",NA,NA
24,107,"IRN","Iran",24,"Razavi Khorasan","Ostan","Province",NA,"Khorasan-e Razavi"
25,107,"IRN","Iran",25,"Semnan","Ostan","Province",NA,NA
26,107,"IRN","Iran",26,"Sistan and Baluchestan","Ostan","Province",NA,"Baluchestan va Sistan|Seistan and Baluchistan|Sistan e Baloutchistan"
27,107,"IRN","Iran",27,"South Khorasan","Ostan","Province",NA,"Khorasan-e Janubi"
28,107,"IRN","Iran",28,"Tehran","Ostan","Province","<U+0627><U+0633><U+062A><U+0627><U+0646> <U+062A><U+0647><U+0631><U+0627><U+0646>","Teheran"
29,107,"IRN","Iran",29,"West Azarbaijan","Ostan","Province",NA,"Azarbayjan-e Bakhtari|Azarbaijan-e Gharbi|West Azarbayejan|Azerba‹djan e Gharbi"
30,107,"IRN","Iran",30,"Yazd","Ostan","Province",NA,NA
31,107,"IRN","Iran",31,"Zanjan","Ostan","Province",NA,NA
