"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,107,"IRN","Iran",1,"Alborz",1,"Karaj","Shahrestan","County",NA,NA
2,107,"IRN","Iran",1,"Alborz",2,"Nazarabad","Shahrestan","County",NA,NA
3,107,"IRN","Iran",1,"Alborz",3,"Savojbolagh","Shahrestan","County",NA,NA
4,107,"IRN","Iran",1,"Alborz",4,"Shahriyar","Shahrestan","County",NA,"Shahriar"
5,107,"IRN","Iran",2,"Ardebil",5,"Ardebil","Shahrestan","County",NA,NA
6,107,"IRN","Iran",2,"Ardebil",6,"Bilehsavar","Shahrestan","County",NA,"Bilasavar"
7,107,"IRN","Iran",2,"Ardebil",7,"Germi","Shahrestan","County",NA,NA
8,107,"IRN","Iran",2,"Ardebil",8,"Khalkhal","Shahrestan","County",NA,NA
9,107,"IRN","Iran",2,"Ardebil",9,"Neer","Shahrestan","County",NA,NA
10,107,"IRN","Iran",2,"Ardebil",10,"Parsabad","Shahrestan","County",NA,NA
11,107,"IRN","Iran",3,"Bushehr",11,"Bushehr","Shahrestan","County",NA,NA
12,107,"IRN","Iran",3,"Bushehr",12,"Dashtestan","Shahrestan","County",NA,NA
13,107,"IRN","Iran",3,"Bushehr",13,"Dashti","Shahrestan","County",NA,NA
14,107,"IRN","Iran",3,"Bushehr",14,"Dayyer","Shahrestan","County",NA,NA
15,107,"IRN","Iran",3,"Bushehr",15,"Deylam","Shahrestan","County",NA,NA
16,107,"IRN","Iran",3,"Bushehr",16,"Genaveh","Shahrestan","County",NA,"Ganaveh"
17,107,"IRN","Iran",3,"Bushehr",17,"Jam","Shahrestan","County",NA,NA
18,107,"IRN","Iran",3,"Bushehr",18,"Tangestan","Shahrestan","County",NA,NA
19,107,"IRN","Iran",4,"Chahar Mahall and Bakhtiari",19,"Ardal","Shahrestan","County",NA,NA
20,107,"IRN","Iran",4,"Chahar Mahall and Bakhtiari",20,"Borujen","Shahrestan","County",NA,"Boroojen"
21,107,"IRN","Iran",4,"Chahar Mahall and Bakhtiari",21,"Kuhrang","Shahrestan","County",NA,"Koohrang"
22,107,"IRN","Iran",4,"Chahar Mahall and Bakhtiari",22,"Lordakan","Shahrestan","County",NA,"Lordegan"
23,107,"IRN","Iran",4,"Chahar Mahall and Bakhtiari",23,"Shahr-e-Kord","Shahrestan","County",NA,NA
24,107,"IRN","Iran",5,"East Azarbaijan",24,"Ahar","Shahrestan","County",NA,NA
