date,Qom_R1,Tehran_R1,Mazandaran_R1,Alburz_R1,Semnan_R1,Golestan_R1,Qazvin_R1,Esfahan_R2,Fars_R2,Hormozgan_R2,Kohgiluyeh and Boyer_Ahmad_R2,Chaharmahal and Bakhtiari_R2,Bushehr_R2,Gilan_R3,Ardebil_R3,East Azerbaijan_R3,West Azerbaijan_R3,Kurdistan_R3,Zanjan_R3,Markazi_R4,Hamedan_R4,Khuzistan_R4,Kermanshah_R4,Lorestan_R4,Ilam_R4,Razavi Khorasan_R5,Sistan and Baluchestan_R5,Yazd_R5,South Khorasan_R5,Kerman_R5,North Khorasan_R5,new_confirmed_national,new_deaths_national
2/19/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2/20/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
2/21/2020,7,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
2/22/2020,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
2/23/2020,7,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,2
2/24/2020,8,3,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,18,4
2/25/2020,16,8,2,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,3
2/26/2020,15,4,1,0,1,0,0,0,2,1,2,0,0,1,0,0,0,0,0,1,0,3,1,1,0,0,2,0,0,0,0,44,4
2/27/2020,7,38,7,3,3,0,0,8,0,0,0,0,0,23,5,2,1,1,0,0,1,0,2,3,0,1,0,1,0,0,0,106,7
2/28/2020,16,64,9,3,2,2,2,10,0,0,0,0,0,25,1,4,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,143,8
2/29/2020,21,52,12,8,4,22,6,12,8,0,0,0,0,17,3,6,0,5,0,18,0,4,0,0,1,0,1,4,1,0,0,205,9
3/1/2020,30,170,11,31,3,0,0,13,8,2,0,0,0,28,0,0,0,0,0,44,3,9,2,8,1,17,2,0,2,2,0,385,11
3/2/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,523,11
3/3/2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,835,11
3/4/2020,101,253,9,19,8,9,25,0,14,0,0,1,0,35,0,9,0,4,6,8,0,27,15,5,7,8,8,0,0,14,1,586,15
3/5/2020,32,56,50,61,22,4,31,118,19,2,0,8,3,80,17,10,5,6,7,31,6,1,0,11,0,53,5,0,9,0,2,591,15
3/6/2020,137,61,180,129,54,67,65,150,13,6,4,5,2,91,11,10,1,24,35,48,7,0,5,50,2,0,2,50,3,7,12,1234,17
3/7/2020,145,126,305,3,24,58,2,96,14,11,0,2,3,70,1,2,22,2,2,37,11,1,4,27,2,46,13,24,0,15,8,1076,21
3/8/2020,17,266,14,2,37,13,29,80,9,5,3,5,2,2,9,30,7,19,1,70,26,5,2,37,0,19,0,6,26,1,1,743,49
3/9/2020,27,140,13,0,45,0,40,37,29,17,0,5,1,28,22,22,29,3,15,54,0,4,11,7,16,29,0,3,-7,-5,10,595,43
3/10/2020,39,169,253,32,1,4,10,17,18,17,2,11,7,0,19,17,4,12,11,27,17,37,7,25,25,39,6,37,14,4,0,881,54
3/11/2020,53,256,32,45,63,9,27,170,19,10,0,1,0,5,1,29,27,6,22,31,7,17,8,9,6,34,4,23,15,18,11,958,63
3/12/2020,42,303,79,74,40,25,42,4,29,0,15,11,3,84,14,7,19,9,17,88,12,31,20,25,7,29,6,21,12,7,0,1075,75
3/13/2020,42,303,192,6,38,21,12,110,33,4,0,0,0,71,15,97,25,9,20,48,10,15,15,25,8,110,2,46,0,12,0,1289,85
3/14/2020,32,347,17,134,47,0,47,155,11,0,0,0,7,113,33,59,31,5,31,115,7,48,8,2,6,30,2,73,4,0,1,1365,97
3/15/2020,84,251,72,67,41,25,22,126,9,7,1,0,6,43,0,36,18,27,32,0,11,32,13,52,18,143,6,36,18,7,6,1209,113
3/16/2020,19,200,96,49,34,42,40,118,43,16,5,3,4,18,30,35,31,31,15,14,12,53,16,0,2,0,11,51,7,13,45,1053,129
3/17/2020,29,273,59,116,33,30,26,75,31,6,0,2,4,45,19,78,34,2,25,47,6,25,14,35,7,63,11,49,12,19,3,1178,135
3/18/2020,22,213,61,76,60,20,53,162,60,12,13,4,4,21,10,84,42,22,20,23,13,28,7,39,10,30,6,45,21,11,0,1192,147
