date,Policy type,Locations affected,Details,Source,Cancelled
2/20/2020,school_closure,Qom,"Meanwhile, state media reported that authorities in Qom have shut down schools and universities in the city on Thursday.",https://www.aljazeera.com/news/2020/02/iran-confirms-coronavirus-cases-200220125104907.html (Accessed 3/14/20),
2/20/2020,travel_ban_local_opt,Qom,"Vahabzadeh said Iran's health ministry has recommended that people limit their movement into and out of religious sites in Qom, a city located 140 kilometres (87 miles) south of the capital, Tehran. ",https://www.aljazeera.com/news/2020/02/iran-confirms-coronavirus-cases-200220125104907.html (Accessed 3/14/20),
2/23/2020,school_closure,"Qom, Markazi, Gilan, Ardebil, Kermanshah, Qazvin, Zanjan, Mazandaran, Golestan, Hamedan, Alburz, Semnan, Kurdistan, Tehran","As a ""preventive measure"", authorities ordered the closure of schools, universities and other educational centres in 14 provinces across the country from Sunday, according to state television. They include Qom, Markazi, Gilan, Ardabil, Kermanshah, Qazvin, Zanjan, Mazandaran, Golestan, Hamedan, Alborz, Semnan, Kurdistan and the capital, Tehran.",https://www.aljazeera.com/news/2020/02/iran-shuts-schools-cultural-centres-coronavirus-kills-200223000740899.html  (Accessed 3/14/20),
2/22/2020,no_gathering,National,"The government also announced that ""all art and cinema events in halls across the country have been cancelled until the end of the week"" in order to stop infections… Authorities also suspended popular football matches for 10 days and additional measures include daily cleanings of metro train cars and city buses.",https://www.aljazeera.com/news/2020/02/iran-shuts-schools-cultural-centres-coronavirus-kills-200223000740899.html  (Accessed 3/14/20),
3/1/2020,travel_ban_local_opt,National,"“There were 385 new cases of infected people in the last 24 hours, increasing the total number to 978. The death toll is 54,” Jahanpur said, calling on Iranians to avoid any unnecessary trips and stay at home.",https://www.cnbc.com/2020/03/01/reuters-america-update-1-irans-death-toll-from-coronavirus-jumps-to-54-with-978-infected.html  (Accessed 3/14/20),
3/3/2020,work_from_home,National,"(translated) The Administrative and Employment Organization issued a directive to the executive agencies to deal with Corona and protect the health of staff and clients, according to which it is permissible to provide electronic services to staff in the form of teleworking.  The directive, which was communicated to all executive agencies, states that devices must provide health personnel (masks, gloves, and disinfectants) to their employees.  All correspondence between the devices and the subsidiaries should be done through office automation, and the devices should also provide the ability to electronically register citizen service requests and correspondence, and provide an on-line e-mail if needed within three days. Also, this directive prohibits the holding of conferences, specialized meetings, specialized programs, and dispatches of staff for unnecessary missions, and mandatory missions must be carried out with the approval of the highest authority in the province.",https://www.asriran.com/fa/news/716947/%D8%A8%D8%AE%D8%B4%D9%86%D8%A7%D9%85%D9%87%E2%80%8C-%D8%A8%D9%87-%D8%AF%D8%B3%D8%AA%DA%AF%D8%A7%D9%87-%D9%87%D8%A7%DB%8C-%D8%A7%D8%AC%D8%B1%D8%A7%DB%8C%DB%8C-%D8%AF%D9%88%D8%B1%DA%A9%D8%A7%D8%B1%DB%8C-%DA%A9%D8%A7%D8%B1%DA%A9%D9%86%D8%A7%D9%86-%D8%A8%D9%84%D8%A7%D9%85%D8%A7%D9%86%D8%B9-%D8%A7%D8%B3%D8%AA  (Accessed 3/14/20),
3/5/2020,school_closure,National,Iran closed its schools and universities until early April - and limited travel between cities - as its death toll rose to 107.,https://www.bbc.com/news/live/world-51747782  (Accessed 3/14/20),
3/6/2020,testing_regime,"Qom, Gilan, Isfahan","Health minister Namaki said Iran had begun a national plan to combat coronavirus which will start in the handful of locations most affected by the disease and expand to other parts of the country, according to the official IRNA news agency.  Families would be contacted by telephone to help identify possible cases and health teams will disinfect public spaces, he said, listing the provinces of Qom, Gilan and Isfahan as the locations where the plan would begin.",https://www.dailymail.co.uk/news/article-8082443/ANOTHER-senior-Iranian-official-dies-coronavirus.html  (Accessed 3/14/20),
3/13/2020,home_isolation,National,"The Guardian: Iran’s Revolutionary Guards are to clear streets, shops and public places in the country within the next 24 hours, in a dramatic escalation of efforts to combat the spread of coronavirus.  The near-curfew follows growing exasperation among MPs that calls for Iranian citizens to stay at home had been widely ignored, as people continued to travel before the Nowruz new year holidays. Shops and offices have largely remained open.           NYT: By Monday, Mr. Rouhani appeared to have dissuaded the military from imposing strict rules. But local authorities defied him, independently closing provinces and several cities.",https://www.theguardian.com/world/2020/mar/13/revolutionary-guards-enforce-coronavirus-controls-iran  (Accessed 3/14/20)     https://www.nytimes.com/2020/03/17/world/middleeast/coronavirus-iran-rouhani.html (Accessed 3/30/20),
3/13/2020,testing_regime,National,"The announced high screening plan on 3/6/20 included disinfections of public places in three provinces, to be rolled out nationally.  This ""lockdown"" event includes national disinfections of public places. So, it is assumed that this announcement is the national rollout of the 3/6/20 pilot; therefore including more intensified screening everywhere. Media reports do not specify this, however.  (Might need Farsi speaker to know for sure. Iranian government communication has been confused.)",Assumption based on 3/6/20 announcement,
3/17/2020,religious_closure,Qom,"Only on 17 March—by which time Iran had tallied 16,169 cases and 988 deaths—did the government shutter Qom’s shrines, which beckon pilgrims from across Iran and abroad. ",https://www.sciencemag.org/news/2020/03/iran-confronts-coronavirus-amid-battle-between-science-and-conspiracy-theories (Accessed 3/30/2020),
,,,,,
,,,,,
,The following policies are kept for informational purposes only,,,,
2/24/2020,International travel ban,None,"[Note: This only affects people trying to travel *out of* Iran, so won't affect the infection rate in the country.] Iran’s neighbours close borders:   – Saudi Arabia, Kuwait, Iraq, Turkey and Afghanistan imposed travel and immigration restrictions on Iran, which was the first to report deaths in the Middle East region.  – Turkey, Pakistan, Afghanistan and Armenia also closed their borders with Iran.",https://www.pharmaceutical-technology.com/news/coronavirus-a-timeline-of-how-the-deadly-outbreak-evolved/,
3/3/2020,Widespread screening,None,"The health minister, Saeed Namaki, on Sunday announced a plan to dispatch a force of 300,000 plainclothes Basij militiamen that would go house to house to screen residents and disinfect their homes.  Iranian doctors and politicians immediately criticized the plan, saying that untrained militiamen were more likely to spread the virus than to contain it.  The latest plan announced on Thursday did not mention door-to-door screening.   ","https://www.nytimes.com/2020/03/03/world/middleeast/coronavirus-iran.html, https://www.cnbc.com/2020/03/01/reuters-america-update-3-irans-coronavirus-death-toll-jumps-to-54-with-978-infected.html","[This plan was cancelled. https://www.dailymail.co.uk/news/article-8082443/ANOTHER-senior-Iranian-official-dies-coronavirus.html]  On Sunday, Namaki had said that 300,000 teams, including members of the Basij militia, would be sent out to perform door-to-door coronavirus screening.  The plan sparked criticism from Iranians online about the possibility of the teams spreading, rather than stopping, infections."
