date,cum_confirmed_cases_data,cum_confirmed_cases_JHU
2020-01-22,1,1
2020-01-23,2,1
2020-01-24,2,2
2020-01-25,2,2
2020-01-26,3,3
2020-01-27,4,4
2020-01-28,4,4
2020-01-29,4,4
2020-01-30,7,4
2020-01-31,11,11
2020-02-01,13,12
2020-02-02,16,15
2020-02-03,16,15
2020-02-04,17,16
2020-02-05,23,19
2020-02-06,24,23
2020-02-07,24,24
2020-02-08,24,24
2020-02-09,27,25
2020-02-10,27,27
2020-02-11,27,28
2020-02-12,27,28
2020-02-13,27,28
2020-02-14,27,28
2020-02-15,27,28
2020-02-16,28,29
2020-02-17,29,30
2020-02-18,33,31
2020-02-19,51,31
2020-02-20,99,104
2020-02-21,277,204
2020-02-22,419,433
2020-02-23,644,602
2020-02-24,844,833
2020-02-25,991,977
2020-02-26,1292,1261
2020-02-27,1728,1766
2020-02-28,2160,2337
2020-02-29,3002,3150
2020-03-01,3649,3736
2020-03-02,4226,4335
2020-03-03,4858,5186
2020-03-04,5376,5621
2020-03-05,5835,6088
2020-03-06,6289,6593
2020-03-07,6734,7041
2020-03-08,7073,7314
2020-03-09,7308,7478
2020-03-10,7465,7513
2020-03-11,7673,7755
2020-03-12,7787,7869
2020-03-13,7889,7979
2020-03-14,7979,8086
2020-03-15,8090,8162
2020-03-16,8159,8236
2020-03-17,8272,8320
2020-03-18,8344,8413
2020-03-19,8502,8565
2020-03-20,8581,8652
2020-03-21,8719,8799
2020-03-22,8805,8961
2020-03-23,8858,8961
2020-03-24,8913,9037
2020-03-25,8976,9137
2020-03-26,9055,9241
2020-03-27,9135,9332
2020-03-28,9267,9478
2020-03-29,9352,9583
2020-03-30,9408,9661
2020-03-31,9536,9786
2020-04-01,9625,9887
2020-04-02,9695,9976
2020-04-03,9762,10062
2020-04-04,9837,10156
2020-04-05,9894,10237
2020-04-06,9924,10284
