date,cum_confirmed_cases_data,cum_confirmed_cases_JHU
2020-01-22,1,1
2020-01-23,2,1
2020-01-24,2,2
2020-01-25,2,2
2020-01-26,3,3
2020-01-27,4,4
2020-01-28,4,4
2020-01-29,4,4
2020-01-30,7,4
2020-01-31,11,11
2020-02-01,13,12
2020-02-02,16,15
2020-02-03,16,15
2020-02-04,17,16
2020-02-05,23,19
2020-02-06,24,23
2020-02-07,24,24
2020-02-08,24,24
2020-02-09,27,25
2020-02-10,27,27
2020-02-11,27,28
2020-02-12,27,28
2020-02-13,27,28
2020-02-14,27,28
2020-02-15,27,28
2020-02-16,29,29
2020-02-17,29,30
2020-02-18,33,31
2020-02-19,52,31
2020-02-20,103,104
2020-02-21,275,204
2020-02-22,417,433
2020-02-23,645,602
2020-02-24,843,833
2020-02-25,994,977
2020-02-26,1285,1261
2020-02-27,1726,1766
2020-02-28,2153,2337
2020-02-29,2991,3150
2020-03-01,3638,3736
2020-03-02,4215,4335
2020-03-03,4847,5186
2020-03-04,5366,5621
2020-03-05,5824,6088
2020-03-06,6282,6593
2020-03-07,6725,7041
2020-03-08,7067,7314
2020-03-09,7314,7478
2020-03-10,7491,7513
2020-03-11,7667,7755
2020-03-12,7784,7869
2020-03-13,7886,7979
2020-03-14,7976,8086
2020-03-15,8087,8162
2020-03-16,8156,8236
2020-03-17,8269,8320
2020-03-18,8344,8413
2020-03-19,8497,8565
