adm1_name,date,adm0_name,cum_confirmed_cases,cum_deaths,cum_recoveries,active_cases
Busan,1/20/20,KOR,0,0,0,0
Busan,1/21/20,KOR,0,0,0,0
Busan,1/22/20,KOR,0,0,0,0
Busan,1/23/20,KOR,0,0,0,0
Busan,1/24/20,KOR,0,0,0,0
Busan,1/25/20,KOR,0,0,0,0
Busan,1/26/20,KOR,0,0,0,0
Busan,1/27/20,KOR,0,0,0,0
Busan,1/28/20,KOR,0,0,0,0
Busan,1/29/20,KOR,0,0,0,0
Busan,1/30/20,KOR,0,0,0,0
Busan,1/31/20,KOR,0,0,0,0
Busan,2/1/20,KOR,0,0,0,0
Busan,2/2/20,KOR,0,0,0,0
Busan,2/3/20,KOR,0,0,0,0
Busan,2/4/20,KOR,0,0,0,0
Busan,2/5/20,KOR,0,0,0,0
Busan,2/6/20,KOR,0,0,0,0
Busan,2/7/20,KOR,0,0,0,0
Busan,2/8/20,KOR,0,0,0,0
Busan,2/9/20,KOR,0,0,0,0
Busan,2/10/20,KOR,0,0,0,0
Busan,2/11/20,KOR,0,0,0,0
Busan,2/12/20,KOR,0,0,0,0
Busan,2/13/20,KOR,0,0,0,0
Busan,2/14/20,KOR,0,0,0,0
Busan,2/15/20,KOR,0,0,0,0
Busan,2/16/20,KOR,0,0,0,0
Busan,2/17/20,KOR,0,0,0,0
Busan,2/18/20,KOR,0,0,0,0
Busan,2/19/20,KOR,0,0,0,0
Busan,2/20/20,KOR,0,0,0,0
Busan,2/21/20,KOR,2,0,0,2
Busan,2/22/20,KOR,15,0,0,15
Busan,2/23/20,KOR,37,0,0,37
Busan,2/24/20,KOR,43,0,0,43
Busan,2/25/20,KOR,54,0,0,54
Busan,2/26/20,KOR,59,0,0,59
Busan,2/27/20,KOR,65,0,0,65
Busan,2/28/20,KOR,70,0,0,70
Busan,2/29/20,KOR,75,0,0,75
Busan,3/1/20,KOR,77,0,0,77
Busan,3/2/20,KOR,78,0,1,77
Busan,3/3/20,KOR,81,0,1,80
Busan,3/4/20,KOR,82,0,2,80
Busan,3/5/20,KOR,83,0,2,81
