"adm1_name","date","adm0_name","cumulative_confirmed_cases","cumulative_deaths","cumulative_recoveries","active_cases","travel_ban_intl_in_opt","travel_ban_intl_in_opt_country_list","travel_ban_intl_out_opt","travel_ban_intl_out_opt_country_list","emergency_declaration","school_closure","business_closure","travel_advisory_outbound_optional","social_distance_optional","work_from_home_optional","testing_regime","no_demonstration","shutdown_religious_places","business_closure_optional","population"
"Busan","2020-01-20","KOR",0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,3410925
"Busan","2020-01-21","KOR",0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,3410925
"Busan","2020-01-22","KOR",0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,3410925
"Busan","2020-01-23","KOR",0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,3410925
"Busan","2020-01-24","KOR",0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,3410925
"Busan","2020-01-25","KOR",0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,3410925
"Busan","2020-01-26","KOR",0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,3410925
"Busan","2020-01-27","KOR",0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,3410925
"Busan","2020-01-28","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,1,0,0,0,3410925
"Busan","2020-01-29","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,1,0,0,0,3410925
"Busan","2020-01-30","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,1,0,0,0,3410925
"Busan","2020-01-31","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,1,0,0,0,3410925
"Busan","2020-02-01","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,1,0,0,0,3410925
"Busan","2020-02-02","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,1,0,0,0,3410925
"Busan","2020-02-03","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,1,0,0,0,3410925
"Busan","2020-02-04","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,2,0,0,0,3410925
"Busan","2020-02-05","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,2,0,0,0,3410925
"Busan","2020-02-06","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,2,0,0,0,3410925
"Busan","2020-02-07","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,3,0,0,0,3410925
"Busan","2020-02-08","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,3,0,0,0,3410925
"Busan","2020-02-09","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,3,0,0,0,3410925
"Busan","2020-02-10","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,3,0,0,0,3410925
"Busan","2020-02-11","KOR",0,0,0,0,1,"['China']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,3,0,0,0,3410925
"Busan","2020-02-12","KOR",0,0,0,0,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,0,0,0,3,0,0,0,3410925
"Busan","2020-02-13","KOR",0,0,0,0,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,3,0,0,0,3410925
"Busan","2020-02-14","KOR",0,0,0,0,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,3,0,0,0,3410925
"Busan","2020-02-15","KOR",0,0,0,0,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,3,0,0,0,3410925
"Busan","2020-02-16","KOR",0,0,0,0,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,3,0,0,0,3410925
"Busan","2020-02-17","KOR",0,0,0,0,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,3,0,0,0,3410925
"Busan","2020-02-18","KOR",0,0,0,0,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,3,0,0,0,3410925
"Busan","2020-02-19","KOR",0,0,0,0,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,3,0,0,0,3410925
"Busan","2020-02-20","KOR",0,0,0,0,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,4,0,0,0,3410925
"Busan","2020-02-21","KOR",2,0,0,2,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,4,0,0,0,3410925
"Busan","2020-02-22","KOR",15,0,0,15,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,4,0,0,0,3410925
"Busan","2020-02-23","KOR",37,0,0,37,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,4,0,0,0,3410925
"Busan","2020-02-24","KOR",43,0,0,43,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,4,0,0,0,3410925
"Busan","2020-02-25","KOR",54,0,0,54,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,4,0,0,0,3410925
"Busan","2020-02-26","KOR",59,0,0,59,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,4,0,1,0,3410925
"Busan","2020-02-27","KOR",65,0,0,65,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,0,1,0,0,4,0,1,0,3410925
"Busan","2020-02-28","KOR",70,0,0,70,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,1,1,0,0,4,0,1,0,3410925
"Busan","2020-02-29","KOR",75,0,0,75,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,1,1,1,0,5,0,1,0,3410925
"Busan","2020-03-01","KOR",77,0,0,77,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,1,1,1,0,5,0,1,0,3410925
"Busan","2020-03-02","KOR",78,0,1,77,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,1,1,1,0,5,0,1,0,3410925
"Busan","2020-03-03","KOR",81,0,1,80,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,1,1,1,0,5,0,1,0,3410925
"Busan","2020-03-04","KOR",82,0,2,80,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,1,1,1,0,5,0,1,0,3410925
"Busan","2020-03-05","KOR",83,0,2,81,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,1,1,1,0,5,0,1,0,3410925
"Busan","2020-03-06","KOR",86,0,2,84,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,1,1,1,0,5,0,1,0,3410925
"Busan","2020-03-07","KOR",87,0,2,85,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,1,1,1,0,5,0,1,0,3410925
"Busan","2020-03-08","KOR",87,0,9,78,1,"['China', 'Hongkong', 'Macau']",1,"['China', 'Hongkong', 'Macau']",0,1,1,1,1,0,5,0,1,0,3410925
