adm1_code,date_real,daily_count,cumul_count,daily_count_mortality,cumul_count_mortality,adm1_name,adm0_name
11,2020-01-20,0,0,0,0,서울특별시,South Korea
11,2020-01-21,0,0,0,0,서울특별시,South Korea
11,2020-01-22,0,0,0,0,서울특별시,South Korea
11,2020-01-23,1,1,0,0,서울특별시,South Korea
11,2020-01-24,0,1,0,0,서울특별시,South Korea
11,2020-01-25,0,1,0,0,서울특별시,South Korea
11,2020-01-26,0,1,0,0,서울특별시,South Korea
11,2020-01-27,0,1,0,0,서울특별시,South Korea
11,2020-01-28,0,1,0,0,서울특별시,South Korea
11,2020-01-29,0,1,0,0,서울특별시,South Korea
11,2020-01-30,3,4,0,0,서울특별시,South Korea
11,2020-01-31,3,7,0,0,서울특별시,South Korea
11,2020-02-01,0,7,0,0,서울특별시,South Korea
11,2020-02-02,0,7,0,0,서울특별시,South Korea
11,2020-02-03,0,7,0,0,서울특별시,South Korea
11,2020-02-04,0,7,0,0,서울특별시,South Korea
11,2020-02-05,2,9,0,0,서울특별시,South Korea
11,2020-02-06,1,10,0,0,서울특별시,South Korea
11,2020-02-07,0,10,0,0,서울특별시,South Korea
11,2020-02-08,0,10,0,0,서울특별시,South Korea
11,2020-02-09,0,10,0,0,서울특별시,South Korea
11,2020-02-10,0,10,0,0,서울특별시,South Korea
11,2020-02-11,0,10,0,0,서울특별시,South Korea
11,2020-02-12,0,10,0,0,서울특별시,South Korea
11,2020-02-13,0,10,0,0,서울특별시,South Korea
11,2020-02-14,0,10,0,0,서울특별시,South Korea
11,2020-02-15,0,10,0,0,서울특별시,South Korea
11,2020-02-16,2,12,0,0,서울특별시,South Korea
11,2020-02-17,0,12,0,0,서울특별시,South Korea
11,2020-02-18,0,12,0,0,서울특별시,South Korea
11,2020-02-19,2,14,0,0,서울특별시,South Korea
11,2020-02-20,4,18,0,0,서울특별시,South Korea
11,2020-02-21,2,20,0,0,서울특별시,South Korea
11,2020-02-22,4,24,0,0,서울특별시,South Korea
11,2020-02-23,4,28,0,0,서울특별시,South Korea
11,2020-02-24,4,32,0,0,서울특별시,South Korea
11,2020-02-25,13,45,0,0,서울특별시,South Korea
11,2020-02-26,10,55,0,0,서울특별시,South Korea
11,2020-02-27,11,66,0,0,서울특별시,South Korea
11,2020-02-28,7,73,0,0,서울특별시,South Korea
11,2020-02-29,5,78,0,0,서울특별시,South Korea
11,2020-03-01,6,84,0,0,서울특별시,South Korea
11,2020-03-02,6,90,0,0,서울특별시,South Korea
11,2020-03-03,1,91,0,0,서울특별시,South Korea
11,2020-03-04,5,96,0,0,서울특별시,South Korea
11,2020-03-05,1,97,0,0,서울특별시,South Korea
11,2020-03-06,5,102,0,0,서울특별시,South Korea
11,2020-03-07,6,108,0,0,서울특별시,South Korea
