adm1_code,adm2_code,adm1_name,adm2_name,dist_name_eng,prov_name_eng
11,11010,서울특별시,종로구,Jongno-gu,Seoul
11,11020,서울특별시,중구,Jung-gu,Seoul
11,11030,서울특별시,용산구,Yongsan-gu,Seoul
11,11040,서울특별시,성동구,Seongdong-gu,Seoul
11,11050,서울특별시,광진구,Gwangjin-gu,Seoul
11,11060,서울특별시,동대문구,Dongdaemun-gu,Seoul
11,11070,서울특별시,중랑구,Jungnang-gu,Seoul
11,11080,서울특별시,성북구,Seongbuk-gu,Seoul
11,11090,서울특별시,강북구,Gangbuk-gu,Seoul
11,11100,서울특별시,도봉구,Dobong-gu,Seoul
11,11110,서울특별시,노원구,Nowon-gu,Seoul
11,11120,서울특별시,은평구,Eunpyeong-gu,Seoul
11,11130,서울특별시,서대문구,Seodaemun-gu,Seoul
11,11140,서울특별시,마포구,Mapo-gu,Seoul
11,11150,서울특별시,양천구,Yangcheon-gu,Seoul
11,11160,서울특별시,강서구,Gangseo-gu,Seoul
11,11170,서울특별시,구로구,Guro-gu,Seoul
11,11180,서울특별시,금천구,Geumcheon-gu,Seoul
11,11190,서울특별시,영등포구,Yeongdeungpo-gu,Seoul
11,11200,서울특별시,동작구,Dongjak-gu,Seoul
11,11210,서울특별시,관악구,Gwanak-gu,Seoul
11,11220,서울특별시,서초구,Seocho-gu,Seoul
11,11230,서울특별시,강남구,Gangnam-gu,Seoul
11,11240,서울특별시,송파구,Songpa-gu,Seoul
11,11250,서울특별시,강동구,Gangdong-gu,Seoul
21,21020,부산광역시,서구,Seo-gu,Busan
21,21050,부산광역시,부산진구,Busanjin-gu,Busan
21,21060,부산광역시,동래구,Dongnae-gu,Busan
21,21070,부산광역시,남구,Nam-gu,Busan
21,21080,부산광역시,북구,Buk-gu,Busan
21,21090,부산광역시,해운대구,Haeundae-gu,Busan
21,21100,부산광역시,사하구,Saha-gu,Busan
21,21110,부산광역시,금정구,Geumjeong-gu,Busan
21,21120,부산광역시,강서구,Gangseo-gu,Busan
21,21130,부산광역시,연제구,Yeonje-gu,Busan
21,21140,부산광역시,수영구,Suyeong-gu,Busan
21,21150,부산광역시,사상구,Sasang-gu,Busan
22,22000,,,,Daegu
23,23010,인천광역시,중구,Jung-gu,Incheon
23,23040,인천광역시,연수구,Yeonsu-gu,Incheon
23,23050,인천광역시,남동구,Namdong-gu,Incheon
23,23060,인천광역시,부평구,Bupyeong-gu,Incheon
23,23070,인천광역시,계양구,Gyeyang-gu,Incheon
23,23080,인천광역시,서구,Seo-gu,Incheon
23,23090,인천광역시,미추홀구,Michuhol-gu,Incheon
24,24010,광주광역시,동구,Dong-gu,Gwangju
24,24020,광주광역시,서구,Seo-gu,Gwangju
24,24030,광주광역시,남구,Nam-gu,Gwangju
24,24040,광주광역시,북구,Buk-gu,Gwangju
24,24050,광주광역시,광산구,Gwangsan-gu,Gwangju
25,25030,대전광역시,서구,Seo-gu,Daejeon
25,25040,대전광역시,유성구,Yuseong-gu,Daejeon
25,25050,대전광역시,대덕구,Daedeok-gu,Daejeon
26,26010,울산광역시,중구,Jung-gu,Ulsan
26,26020,울산광역시,남구,Nam-gu,Ulsan
26,26030,울산광역시,동구,Dong-gu,Ulsan
26,26040,울산광역시,북구,Buk-gu,Ulsan
26,26310,울산광역시,울주군,Ulju-gun,Ulsan
29,29010,세종특별자치시,세종특별자치시,sejong,sejong
31,31010,경기도,수원시,Suwon-si,Gyeonggi-do
31,31020,경기도,성남시,Seongnam-si,Gyeonggi-do
31,31030,경기도,의정부시,Uijeongbu-si,Gyeonggi-do
31,31040,경기도,안양시,Anyang-si,Gyeonggi-do
31,31050,경기도,부천시,Bucheon-si,Gyeonggi-do
31,31060,경기도,광명시,Gwangmyeong-si,Gyeonggi-do
31,31070,경기도,평택시,Pyeongtaek-si,Gyeonggi-do
31,31090,경기도,안산시,Ansan-si,Gyeonggi-do
31,31100,경기도,고양시,Goyang-si,Gyeonggi-do
31,31110,경기도,과천시,Gwacheon-si,Gyeonggi-do
31,31120,경기도,구리시,Guri-si,Gyeonggi-do
31,31130,경기도,남양주시,Namyangju-si,Gyeonggi-do
31,31150,경기도,시흥시,Siheung-si,Gyeonggi-do
31,31160,경기도,군포시,Gunpo-si,Gyeonggi-do
31,31190,경기도,용인시,Yongin-si,Gyeonggi-do
31,31200,경기도,파주시,Paju-si,Gyeonggi-do
31,31210,경기도,이천시,Icheon-si,Gyeonggi-do
31,31220,경기도,안성시,Anseong-si,Gyeonggi-do
31,31230,경기도,김포시,Gimpo-si,Gyeonggi-do
31,31240,경기도,화성시,Hwaseong-si,Gyeonggi-do
31,31250,경기도,광주시,Gwangju-si,Gyeonggi-do
31,31270,경기도,포천시,Pocheon-si,Gyeonggi-do
32,32010,강원도,춘천시,Chuncheon-si,Gangwon-do
32,32020,강원도,원주시,Wonju-si,Gangwon-do
32,32030,강원도,강릉시,Gangneung-si,Gangwon-do
32,32050,강원도,태백시,Taebaek-si,Gangwon-do
32,32060,강원도,속초시,Sokcho-si,Gangwon-do
32,32070,강원도,삼척시,Samcheok-si,Gangwon-do
33,33020,충청북도,충주시,Chungju-si,Chungcheongbuk-do
33,33040,충청북도,청주시,Cheongju-si,Chungcheongbuk-do
33,33360,충청북도,괴산군,Goesan-gun,Chungcheongbuk-do
33,33370,충청북도,음성군,Eumseong-gun,Chungcheongbuk-do
33,33380,충청북도,단양군,Danyang-gun,Chungcheongbuk-do
33,33390,충청북도,증평군,Jeungpyeong-gun,Chungcheongbuk-do
34,34010,충청남도,천안시,Cheonan-si,Chungcheongnam-do
34,34040,충청남도,아산시,Asan-si,Chungcheongnam-do
34,34050,충청남도,서산시,Seosan-si,Chungcheongnam-do
34,34070,충청남도,계룡시,Gyeryong-si,Chungcheongnam-do
35,35010,전라북도,전주시,Jeonju-si,Jeollabuk-do
35,35020,전라북도,군산시,Gunsan-si,Jeollabuk-do
35,35060,전라북도,김제시,Gimje-si,Jeollabuk-do
36,36020,전라남도,여수시,Yeosu-si,Jeollanam-do
