date,adm0_name,cum_confirmed_cases,active_cases,cum_deaths,cum_recoveries
2020-01-22,South Korea,1.0,1.0,0.0,0.0
2020-01-23,South Korea,1.0,1.0,0.0,0.0
2020-01-24,South Korea,2.0,2.0,0.0,0.0
2020-01-25,South Korea,2.0,2.0,0.0,0.0
2020-01-26,South Korea,3.0,3.0,0.0,0.0
2020-01-27,South Korea,4.0,4.0,0.0,0.0
2020-01-28,South Korea,4.0,4.0,0.0,0.0
2020-01-29,South Korea,4.0,4.0,0.0,0.0
2020-01-30,South Korea,4.0,4.0,0.0,0.0
2020-01-31,South Korea,11.0,11.0,0.0,0.0
2020-02-01,South Korea,12.0,12.0,0.0,0.0
2020-02-02,South Korea,15.0,15.0,0.0,0.0
2020-02-03,South Korea,15.0,15.0,0.0,0.0
2020-02-04,South Korea,16.0,16.0,0.0,0.0
2020-02-05,South Korea,19.0,19.0,0.0,0.0
2020-02-06,South Korea,23.0,23.0,0.0,0.0
2020-02-07,South Korea,24.0,23.0,0.0,1.0
2020-02-08,South Korea,24.0,23.0,0.0,1.0
2020-02-09,South Korea,25.0,22.0,0.0,3.0
2020-02-10,South Korea,27.0,24.0,0.0,3.0
2020-02-11,South Korea,28.0,25.0,0.0,3.0
2020-02-12,South Korea,28.0,21.0,0.0,7.0
2020-02-13,South Korea,28.0,21.0,0.0,7.0
2020-02-14,South Korea,28.0,21.0,0.0,7.0
2020-02-15,South Korea,28.0,19.0,0.0,9.0
2020-02-16,South Korea,29.0,20.0,0.0,9.0
2020-02-17,South Korea,30.0,20.0,0.0,10.0
2020-02-18,South Korea,31.0,19.0,0.0,12.0
2020-02-19,South Korea,31.0,19.0,0.0,12.0
2020-02-20,South Korea,104.0,87.0,1.0,16.0
2020-02-21,South Korea,204.0,186.0,2.0,16.0
2020-02-22,South Korea,433.0,415.0,2.0,16.0
2020-02-23,South Korea,602.0,578.0,6.0,18.0
2020-02-24,South Korea,833.0,807.0,8.0,18.0
2020-02-25,South Korea,977.0,945.0,10.0,22.0
2020-02-26,South Korea,1261.0,1227.0,12.0,22.0
2020-02-27,South Korea,1766.0,1731.0,13.0,22.0
2020-02-28,South Korea,2337.0,2302.0,13.0,22.0
2020-02-29,South Korea,3150.0,3107.0,16.0,27.0
2020-03-01,South Korea,3736.0,3689.0,17.0,30.0
2020-03-02,South Korea,4335.0,4277.0,28.0,30.0
2020-03-03,South Korea,5186.0,5128.0,28.0,30.0
2020-03-04,South Korea,5621.0,5545.0,35.0,41.0
2020-03-05,South Korea,6088.0,6012.0,35.0,41.0
2020-03-06,South Korea,6593.0,6416.0,42.0,135.0
2020-03-07,South Korea,7041.0,6862.0,44.0,135.0
2020-03-08,South Korea,7314.0,7146.0,50.0,118.0
2020-03-09,South Korea,7478.0,7307.0,53.0,118.0
2020-03-10,South Korea,7513.0,7212.0,54.0,247.0
2020-03-11,South Korea,7755.0,7407.0,60.0,288.0
2020-03-12,South Korea,7869.0,7470.0,66.0,333.0
2020-03-13,South Korea,7979.0,7403.0,66.0,510.0
2020-03-14,South Korea,8086.0,7504.0,72.0,510.0
2020-03-15,South Korea,8162.0,7577.0,75.0,510.0
2020-03-16,South Korea,8236.0,7024.0,75.0,1137.0
2020-03-17,South Korea,8320.0,6832.0,81.0,1407.0
2020-03-18,South Korea,8413.0,6789.0,84.0,1540.0
2020-03-19,South Korea,8565.0,6934.0,91.0,1540.0
2020-03-20,South Korea,8652.0,7018.0,94.0,1540.0
2020-03-21,South Korea,,,,
