"","adm0_name","adm1_id","adm1_name","adm1_pop_weight","adm2_name","adm3_name","date","policy","travel_ban_country_list","no_gathering_size","Optional","Notes","source","access_date"
"1","USA","AK","Alaska",1,"all","all",2020-03-11,"emergency_declaration","NA","NA","NA","public health Emergency","https://www.nga.org/coronavirus/#states",2020-03-14
"2","USA","AK","Alaska",1,"all","all",2020-03-12,"social_distance","NA","NA","N","suspended visitation for certian facilities (i.e. dept of corrections, juvenile justice facilities, military youth academy, Alaska psychiatric institute)","http://dhss.alaska.gov/News/Documents/press/2020/SOA_03132020_COVID-19_HealthMandate.pdf",2020-03-15
"3","USA","AL","Alabama",1,"all","all",2020-03-10,"travel_ban_local","NA","NA","N","travel_ban","https://www.nga.org/coronavirus/#states",2020-03-14
"4","USA","AL","Alabama",1,"all","all",2020-03-13,"emergency_declaration","NA","NA","NA","state of emergency","https://www.nga.org/coronavirus/#states",2020-03-14
"5","USA","AL","Alabama",1,"all","all",2020-03-16,"social_distance","NA","NA","Y","stay home when sick","https://www.alabamapublichealth.gov/infectiousdiseases/assets/cov-business-guidance.pdf",2020-03-15
"6","USA","all","all",1,"all","all",2020-03-14,"paid_sick_leave","NA","NA","N","12 weeks of job protected leave if child's school closed or the child-care provider is sick due to COVID-19","http://blogs.edweek.org/edweek/campaign-k-12/2020/03/coronavirus-paid-leave-school-closures-student-meals-advances.html",2020-03-15
"7","USA","all","all",1,"all","all",2020-01-31,"emergency_declaration","NA","NA","NA","Public Health Emergency","http://www.p12.nysed.gov/sss/documents/FINALJointNYSDOH-NYSEDCoronavirus020520.pdf",2020-03-14
"8","USA","all","all",1,"all","all",2020-02-02,"travel_ban_international_outbound","China","NA","N","Travel Restrictions - Airports","https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm",2020-03-14
"9","USA","all","all",1,"all","all",2020-02-02,"travel_ban_international_inbound","all","NA","N","suspend immigrants/nonimmigrants who may have COVID-19","https://www.whitehouse.gov/presidential-actions/proclamation-suspension-entry-immigrants-nonimmigrants-persons-pose-risk-transmitting-2019-novel-coronavirus/",2020-03-14
"10","USA","all","all",1,"all","all",2020-02-19,"travel_ban_international_outbound","Hong Kong, Japan","NA","Y","travel warning - level 1","https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm",2020-03-14
"11","USA","all","all",1,"all","all",2020-02-22,"travel_ban_international_outbound","japan","NA","Y","travel warning - level 2","https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm",2020-03-14
"12","USA","all","all",1,"all","all",2020-02-22,"travel_ban_international_outbound","South korea","NA","Y","travel warning - level 2","https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm",2020-03-14
"13","USA","all","all",1,"all","all",2020-02-23,"travel_ban_international_outbound","Iran, Ialy","NA","Y","travel warning - level 1","https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm",2020-03-14
"14","USA","all","all",1,"all","all",2020-02-24,"travel_ban_international_outbound","South korea","NA","Y","travel warning - level 3","https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm",2020-03-14
"15","USA","all","all",1,"all","all",2020-02-24,"travel_ban_international_outbound","Iran, Italy","NA","Y","travel warning - level 2","https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm",2020-03-14
"16","USA","all","all",1,"all","all",2020-03-15,"travel_ban_international_outbound","Ireland, UK","NA","Y","avoid all non-essential travel","https://wwwnc.cdc.gov/travel/notices",2020-03-15
"17","USA","all","all",1,"all","all",2020-03-12,"travel_ban_international_outbound","Iran, China, South Korea","NA","Y","avoid all non-essential travel","https://wwwnc.cdc.gov/travel/notices",2020-03-15
"18","USA","all","all",1,"all","all",2020-03-13,"travel_ban_international_outbound","Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, Monaco, San Marino, Vatican City","NA","Y","avoid all non-essential travel","https://wwwnc.cdc.gov/travel/notices/warning/coronavirus-europe",2020-03-15
"19","USA","all","all",1,"all","all",2020-03-13,"emergency_declaration","NA","NA","NA","National Emergency","https://www.nga.org/coronavirus/#states",2020-03-14
"20","USA","all","all",1,"all","all",2020-03-11,"travel_ban_international_outbound","NA","NA","Y","Travel warning - level 3","https://www.nga.org/coronavirus/#states",2020-03-14
"21","USA","all","all",1,"all","all",2020-03-15,"no_gathering","NA","50","Y","limited gathering size","https://www.cdc.gov/coronavirus/2019-ncov/community/large-events/mass-gatherings-ready-for-covid-19.html",2020-03-16
"22","USA","all","all",1,"all","all",2020-03-08,"event_cancel","NA","NA","N","2020 BNP Paribas Open, major tennis tournament in California, one of the first U.S. sporting events canceled due to coronavirus concerns.","https://www.mycouriertribune.com/covid--timeline/article_9d799948-671d-11ea-bb57-dfe928dcdeab.html",2020-03-17
"23","USA","all","all",1,"all","all",2020-03-12,"event_cancel","NA","NA","N","NHL, MLB, NCAA, and MBA cencel sporting events","https://www.mycouriertribune.com/covid--timeline/article_9d799948-671d-11ea-bb57-dfe928dcdeab.html",2020-03-17
"24","USA","AR","Arkansas",1,"all","all",2020-03-11,"emergency_declaration","NA","NA","NA","public health Emergency","https://www.nga.org/coronavirus/#states",2020-03-14
"25","USA","AR","Arkansas",1,"all","all",2020-03-13,"social_distance","NA","NA","N","prohibited visitation of long-term care facilities (i.e. nursing homes, residential care facilities, assisted
living facilities, post-acute head injury retraining and residential care facilities, and any other facility that provides long-term medical or personal care.)","https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus",2020-03-15
"26","USA","AR","Arkansas",1,"all","all",2020-03-12,"home_isolation","NA","NA","Y","if exposed or recently traveled, stay home","https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus",2020-03-15
"27","USA","AK","Alaska",1,"all","all",2020-03-16,"school_closure","NA","NA","N","all public schools closed","http://dhss.alaska.gov/News/Documents/press/2020/SOA_03132020_COVID-19_HealthMandate.pdf",2020-03-14
"28","USA","AR","Arkansas",1,"all","all",2020-03-17,"school_closure","NA","NA","N","he Governor closed all public schools starting March 17 for on-site instruction until the end of Spring Break.","https://www.thv11.com/article/news/health/coronavirus/coronavirus-in-arkansas-update-covid-19/91-38399170-8be9-4f07-b837-c56c963dbc6a",2020-03-17
"29","USA","AR","Arkansas",1,"all","all",2020-03-11,"emergency_declaration","NA","NA","NA","an executive order to declare a public health emergency to facilitate coordination and provide increased support to state agencies that are involved in response to the virus.","https://governor.arkansas.gov/images/uploads/executiveOrders/EO_20-03._.pdf",2020-03-17
"30","USA","AZ","Arizona",1,"all","all",2020-03-16,"school_closure","NA","NA","N","mandatory","https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home",2020-03-14
"31","USA","AZ","Arizona",1,"all","all",2020-03-11,"emergency_declaration","NA","NA","NA","State of emergency","https://www.nga.org/coronavirus/#states",2020-03-14
"32","USA","AZ","Arizona",1,"all","all",2020-03-16,"school_closure","NA","NA","N","the closure of all schools from Monday, March 16, 2020 through Friday, March 27, 2020.","https://azgovernor.gov/governor/blog/2020/03/open-letter-arizona-families-educators-school-leaders-and-education-community",2020-03-17
"33","USA","AZ","Arizona",1,"all","all",2020-03-16,"no_gathering","NA","NA","Y","50 people or more","https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home",2020-03-15
"34","USA","AZ","Arizona",1,"all","all",2020-03-16,"work_from_home","NA","NA","Y","stay home when sick","https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home",2020-03-15
"35","USA","CA","California",0.263558721119443,"Los Angeles","all",2020-03-17,"school_closure","NA","NA","N","school closure","https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus",2020-03-14
"36","USA","AZ","Arizona",1,"all","all",2020-03-11,"emergency_declaration","NA","NA","NA","Governor Ducey issued a Declaration of Emergency and an Executive Order to provide health officials and administrators with tools and guidance necessary to combat the continued spread of COVID-19 and to reduce financial burdens on Arizonans by lowering healthcare costs associated with the virus.","https://azgovernor.gov/governor/news/2020/03/video-governor-ducey-adhs-director-dr-christ-announce-declaration-emergency",2020-03-17
"37","USA","CA","California",0.0808030159266844,"Orange","all",2020-03-17,"school_closure","NA","NA","N","school closure","https://www.nbclosangeles.com/news/local/socal-public-school-closures/2328932/",2020-03-14
"38","USA","CA","California",1,"all","all",2020-03-04,"emergency_declaration","NA","NA","NA","state of emergency","https://www.nga.org/coronavirus/#states",2020-03-14
"39","USA","CA","California",1,"all","all",2020-03-12,"social_distance","NA","NA","Y","social distancing","https://www.gov.ca.gov/wp-content/uploads/2020/03/3.12.20-EO-N-25-20-COVID-19.pdf",2020-03-14
"40","USA","CA","California",1,"all","all",2020-03-05,"paid_sick_leave","NA","NA","Y","employee support services","https://www.nga.org/coronavirus/#states",2020-03-14
"41","USA","CA","California",0.0587760666276623,"Riverside","all",2020-03-17,"school_closure","NA","NA","N","school closure","https://www.nbclosangeles.com/news/local/socal-public-school-closures/2328932/",2020-03-14
"42","USA","CA","California",0.263558721119443,"Los Angeles","Los Angeles",2020-03-13,"social_distance","NA","NA","N","all libraries closed","https://www.usatoday.com/story/news/health/2020/03/13/coronavirus-updates-us-testing-death-toll-stocks-school-closures/5032550002/",2020-03-15
"43","USA","CA","California",0.0478242364381383,"Santa Clara","all",2020-03-17,"school_closure","NA","NA","N","school closure","https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus",2020-03-14
"44","USA","CA","California",0.0380842238606821,"Sacramento","all",2020-03-17,"school_closure","NA","NA","N","school closure","https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus",2020-03-14
"45","USA","CA","California",0.0478242364381383,"Santa Clara","all",2020-03-09,"work_from_home","NA","NA","Y","businesses to adjust workplace (i.e. remote, staggering start/ends, flexibile sick leave)","https://www.cdc.gov/coronavirus/2019-ncov/downloads/Santa-Clara_Community_Mitigation.pdf",2020-03-14
"46","USA","CA","California",0.0478242364381383,"Santa Clara","all",2020-03-09,"social_distance","NA","NA","Y","self-quaranting for sick/high risk individuals","https://www.cdc.gov/coronavirus/2019-ncov/downloads/Santa-Clara_Community_Mitigation.pdf",2020-03-14
"47","USA","CA","California",0.0478242364381383,"Santa Clara","all",2020-03-11,"no_gathering","NA","1000","N","limit gathering size to 1000","https://www.sccoe.org/news/featured/PublishingImages/Pages/Novel-Coronavirus-Information/03-09-20-Updated-Guidance-and-Orders%20ENGLISH.pdf",2020-03-14
"48","USA","CA","California",0.0221001495787454,"Ventura","all",2020-03-17,"school_closure","NA","NA","N","school closure","https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus",2020-03-14
"49","USA","CA","California",0.0110953048852047,"Solano","all",2020-03-17,"school_closure","NA","NA","N","school closure","https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus",2020-03-14
"50","USA","CA","California",0.0216147514642472,"San Francisco","San Francisco",2020-03-13,"social_distance","NA","NA","N","all libraries closed","https://www.usatoday.com/story/news/health/2020/03/13/coronavirus-updates-us-testing-death-toll-stocks-school-closures/5032550002/",2020-03-15
"51","USA","CA","California",0.0113785231291947,"Santa Barbara","all",2020-03-17,"school_closure","NA","NA","N","school closure","https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus",2020-03-14
"52","USA","CA","California",0.0111412865790683,"Monterey","all",2020-03-17,"school_closure","NA","NA","N","school closure","https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus",2020-03-14
"53","USA","CA","California",0.00677536098448176,"Marin","all",2020-03-17,"school_closure","NA","NA","N","school closure","https://www.latimes.com/california/story/2020-03-14/schools-close-coronavirus",2020-03-14
"54","USA","DE","Delaware",1,"all","all",2020-03-13,"school_closure","NA","NA","N","The Governor directed a two-week closure of Delaware public schools","https://news.delaware.gov/2020/03/13/governor-carney-directs-two-week-closure-of-delaware-public-schools/",2020-03-17
"55","USA","FL","Florida",1,"all","all",2020-03-13,"school_closure","NA","NA","N","K-12 school closure - extra week of spring break","http://www.fldoe.org/core/fileparse.php/19861/urlt/Florida-2020-BreakDates.pdf",2020-03-14
"56","USA","FL","Florida",1,"all","all",2020-03-11,"school_closure","NA","NA","Y","university school closure: state school","http://www.fldoe.org/core/fileparse.php/19861/urlt/SUSCOVID03142020.pdf",2020-03-14
"57","USA","FL","Florida",0.0653798059816045,"Hillsborough","all",2020-03-13,"school_closure","NA","NA","N","cancelled all county govt events and meetings for 30 days","https://www.hillsboroughcounty.org/residents/public-safety/emergency-management/stay-safe",2020-03-14
"58","USA","GA","Georgia",1,"all","all",2020-03-18,"school_closure","NA","NA","N","The Governor ordered all public elementary, secondary, and post-secondary schools to be closed by March 18 through at least March 31.","https://madmimi.com/s/a809601",2020-03-17
"59","USA","IA","Iowa",1,"all","all",2020-03-15,"school_closure","NA","NA","Y","The Governor recommended Iowa schools close for four weeks.","https://governor.iowa.gov/press-release/gov-reynolds-recommends-iowa-schools-close-for-four-weeks-will-hold-a-press-0",2020-03-17
"60","USA","IL","Illinois",1,"all","all",2020-03-12,"school_closure","NA","NA","N","Governor Pritzker announces two-week statewide school closure to minimize covid-19 spread, additional economic measures to reduce burden on Illinois families.","https://www2.illinois.gov/Pages/news-item.aspx?ReleaseID=21247",2020-03-17
"61","USA","KS","Kansas",1,"all","all",2020-03-15,"school_closure","NA","NA","N","The Governor recommended K-12 school in Kansas close for the week of March 15. To address the long-term discussion of the status of schools, the Kansas State Board of Education will build a comprehensive plan to address the challenges that schools are facing in light of the COVID-19 pandemic.","https://governor.kansas.gov/governor-kelly-recommends-the-kansas-state-department-of-education-temporarily-close-schools-to-implement-comprehensive-education-plan-amidst-covid-19-pandemic/",2020-03-17
"62","USA","MI","Michigan",1,"all","all",2020-03-12,"school_closure","NA","NA","N","Governor Whitmer ordered closure of all K-12 school buildings, public, private, and boarding schools in the state until April 6, 2020.","https://www.michigan.gov/coronavirus/0,9753,7-406-98163-521561--,00.html",2020-03-17
"63","USA","MN","Minnesota",1,"all","all",2020-03-12,"school_closure","NA","NA","N","authorizing the closure of all prekindergarten through grade 12 schools. This order also requires schools to provide care for elementary-age children of health care professionals, first responders, and other emergency workers during previously planned school days. Additionally, the order makes provisions for the continuity of mental health services and requires schools to continue providing meals to students in need. The Department of Health also issued comprehensive guidance for public school districts and charter schools on actions to take during these closures.","https://mn.gov/governor/assets/EO%2020-02%20Final_tcm1055-423073.pdf",2020-03-17
"64","USA","MT","Montana",1,"all","all",2020-03-15,"school_closure","NA","NA","N","The Governor issued guidance closing all public elementary and secondary education schools, limiting mass gatherings of more than 50 people and suspending visitors from all nursing homes. Additionally, the guidance increases the legal weight limit for commercial vehicles by 10%, in an effort to provide more supplies and resources for the state, as well as mobilizing the National Guard to respond when necessary.","http://governor.mt.gov/Portals/16/2020-03-15_Governor%20Directive%20re%20COVID-19.pdf?ver=2020-03-15-170323-930",2020-03-17
"65","USA","NC","North Carolina",1,"all","all",2020-03-16,"school_closure","NA","NA","N","all schools will be closed","https://www.nctreasurer.com/news/press-releases/2020/03/13/state-health-plan-board-approves-emergency-authority-respond-covid-19",2020-03-16
"66","USA","NC","North Carolina",1,"all","all",2020-03-14,"school_closure","NA","NA","N","close all K-12 public schools for a minimum of two weeks. The executive order also prohibits mass gatherings of more than 100 people.","https://governor.nc.gov/news/governor-cooper-issues-executive-order-closing-k-12-public-schools-and-banning-gatherings-more",2020-03-17
"67","USA","ND","North Dakota",1,"all","all",2020-03-15,"school_closure","NA","NA","N","ordered all K-12 schools to close","https://www.governor.nd.gov/news/burgum-department-health-release-recommendations-events-and-public-gatherings",2020-03-17
"68","USA","NH","New Hampshire",1,"all","all",2020-03-16,"school_closure","NA","NA","N","all schools will be closed","https://www.wmur.com/article/new-hampshire-governor-expands-upon-states-response-to-spread-of-covid-19/31669542#",2020-03-16
"69","USA","NH","New Hampshire",1,"all","all",2020-03-12,"school_closure","NA","NA","N","closing all public schools in the state while also providing guidance to districts on remote learning plans.","https://www.governor.nh.gov/news-media/orders-2020/documents/emergency-order-1.pdf",2020-03-17
"70","USA","CA","California",0.0216147514642472,"San Francisco","all",2020-03-17,"home_isolation","NA","NA","N","mandatory shelter at home, only allowed to leave for essentials","https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php",2020-03-16
"71","USA","CA","California",0.0478242364381383,"Santa Clara","all",2020-03-17,"home_isolation","NA","NA","N","mandatory shelter at home, only allowed to leave for essentials","https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php",2020-03-16
"72","USA","CA","California",0.0192852270507862,"San Mateo","all",2020-03-17,"home_isolation","NA","NA","N","mandatory shelter at home, only allowed to leave for essentials","https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php",2020-03-16
"73","USA","CA","California",0.00677536098448176,"Marin","all",2020-03-17,"home_isolation","NA","NA","N","mandatory shelter at home, only allowed to leave for essentials","https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php",2020-03-16
"74","USA","CA","California",0.0281587544689214,"Contra Costa","all",2020-03-17,"home_isolation","NA","NA","N","mandatory shelter at home, only allowed to leave for essentials","https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php",2020-03-16
"75","USA","CA","California",0.0405398825295225,"Alameda","all",2020-03-17,"home_isolation","NA","NA","N","mandatory shelter at home, only allowed to leave for essentials","https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php",2020-03-16
"76","USA","CA","California",1,"all","all",2020-03-15,"home_isolation","NA","NA","N","People who are older or have underlying health problems are being told to stay inside at all times except for health care under the new directive. They should ask someone to shop for them if they are able.","https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php",2020-03-17
"77","USA","CA","California",1,"all","all",2020-03-17,"work_from_home","NA","NA","N","Everyone is to work from home, or stop working, unless they provide an essential service, which includes health care workers; police, fire and other emergency responders; and utility providers such as electricians, plumbers, and sanitation workers.","https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php",2020-03-17
"78","USA","CA","California",1,"all","all",2020-03-17,"business_closure","NA","NA","N","all bars in the state be closed, and that restaurants reduce capacity.","https://www.sfchronicle.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php",2020-03-17
"79","USA","CA","California",1,"all","all",2020-03-05,"testing_regime","NA","NA","N","the California Department of Insurance issued similar direction providing cost free medically necessary testing for an additional 2 million Californians.","http://www.insurance.ca.gov/0400-news/0100-press-releases/2020/release025-2020-2.cfm",2020-03-17
"80","USA","CA","California",1,"all","all",2020-03-15,"business_closure","NA","NA","N","for all bars, wineries, nightclubs and brewpubs to close and urged seniors and people with chronic health conditions to isolate themselves at home in a bid to contain the spread of the coronavirus.","https://www.kpbs.org/news/2020/mar/16/gov-newsom-speak-about-californias-response-corona/",2020-03-17
"81","USA","NM","New Mexico",1,"all","all",2020-03-16,"school_closure","NA","NA","NA","all New Mexico public schools will close for three weeks beginning March 16th.","https://www.governor.state.nm.us/2020/03/12/new-mexico-schools-to-temporarily-close/",2020-03-17
"82","USA","NV","Nevada",1,"all","all",2020-03-15,"school_closure","NA","NA","N","The Governor closed all public elementary and secondary education schools through April 6.","https://thehill.com/homenews/state-watch/487697-nevada-schools-to-close-through-early-april-due-to-coronavirus",2020-03-17
"83","USA","OH","Ohio",1,"all","all",2020-03-12,"school_closure","NA","NA","N","all schools closed for 3 weeks","https://www.nga.org/coronavirus/#states",2020-03-17
"84","USA","OR","Oregon",1,"all","all",2020-03-12,"school_closure","NA","NA","N","statewide closure of K-12 schools","https://www.nga.org/coronavirus/#states",2020-03-17
"85","USA","PA","Pennsylvania",1,"all","all",2020-03-13,"school_closure","NA","NA","N","closure of PA schools","https://www.governor.pa.gov/newsroom/governor-wolf-announces-closure-of-pennsylvania-schools/",2020-03-17
"86","USA","SC","South Carolina",1,"all","all",2020-03-13,"school_closure","NA","NA","NA","executive order for that all K-12 schools, including universities, colleges, and technical colleges be closed through the end of the month.","https://www.nga.org/coronavirus/#states",2020-03-17
"87","USA","TN","Tennessee",1,"all","all",2020-03-13,"school_closure","NA","NA","Y","School districts have been advised to exercise discretion when canceling school for K-12 students.","https://www.nga.org/coronavirus/#states",2020-03-17
