adm3_name,adm_1_name,pop,state,place
Boys Ranch CDP,Texas,480.0,48,09796
Guthrie CDP,Texas,184.0,48,31640
Gail CDP,Texas,232.0,48,27972
Bartonville town,Texas,2038.0,48,05768
Annetta North town,Texas,559.0,48,03340
Pleasanton city,Texas,10309.0,48,58280
Fairchilds village,Texas,888.0,48,25068
Sour Lake city,Texas,1901.0,48,68828
Quitman city,Texas,2236.0,48,60188
Midway South CDP,Texas,2739.0,48,48280
Kempner city,Texas,1157.0,48,38800
Payne Springs town,Texas,704.0,48,56276
Taft Southwest CDP,Texas,994.0,48,71696
Spade CDP,Texas,124.0,48,69380
Woodville town,Texas,2483.0,48,80212
Airport Road Addition CDP,Texas,261.0,48,01514
Eureka city,Texas,341.0,48,24816
Joaquin city,Texas,896.0,48,37684
Refugio town,Texas,2861.0,48,61436
Cantu Addition CDP,Texas,130.0,48,12502
Red Oak city,Texas,11993.0,48,61196
Toyah town,Texas,114.0,48,73496
Kermit city,Texas,6405.0,48,39004
Sanderson CDP,Texas,616.0,48,65084
Reklaw city,Texas,404.0,48,61508
Cushing city,Texas,483.0,48,18224
Dickinson city,Texas,19874.0,48,20344
Pearsall city,Texas,10111.0,48,56384
Evant town,Texas,500.0,48,24864
Andrews city,Texas,13333.0,48,03216
Groom town,Texas,721.0,48,31292
Skellytown town,Texas,486.0,48,68120
Wells town,Texas,828.0,48,77176
Bartlett city,Texas,2243.0,48,05732
Granger city,Texas,1385.0,48,30548
Taylor city,Texas,16603.0,48,71948
Cibolo city,Texas,26602.0,48,14920
St. Hedwig town,Texas,2170.0,48,64172
Scenic Oaks CDP,Texas,5804.0,48,66089
Mount Enterprise city,Texas,507.0,48,49728
Amherst city,Texas,811.0,48,03084
Megargel town,Texas,242.0,48,47460
Flowella CDP,Texas,23.0,48,26220
La Ward city,Texas,215.0,48,41848
Sanford town,Texas,172.0,48,65384
Vanderbilt CDP,Texas,670.0,48,74984
Richland Hills city,Texas,8036.0,48,61844
Brazos Bend city,Texas,327.0,48,10087
San Augustine city,Texas,2136.0,48,65024
Daingerfield city,Texas,2613.0,48,18464
Taylor Landing city,Texas,248.0,48,71966
Van Vleck CDP,Texas,1638.0,48,75068
Angus city,Texas,506.0,48,03288
Emhouse town,Texas,160.0,48,24168
Bogata city,Texas,1252.0,48,09172
Fate city,Texas,10339.0,48,25572
Selma city,Texas,9217.0,48,66704
Blum town,Texas,406.0,48,09004
Hubbard city,Texas,1607.0,48,35180
Brady city,Texas,5407.0,48,09916
Hearne city,Texas,4447.0,48,32972
Bailey's Prairie village,Texas,740.0,48,05288
McLendon-Chisholm city,Texas,2275.0,48,45804
Industry city,Texas,264.0,48,35984
Bellville city,Texas,4191.0,48,07432
Bonney village,Texas,286.0,48,09388
Brookside Village city,Texas,2005.0,48,10648
Clute city,Texas,11414.0,48,15652
Iowa Colony village,Texas,1040.0,48,36092
Jones Creek village,Texas,2322.0,48,37984
Oyster Creek city,Texas,1258.0,48,54528
Quintana town,Texas,33.0,48,60164
Surfside Beach city,Texas,633.0,48,71384
Rice city,Texas,955.0,48,61736
Royse City city,Texas,11114.0,48,63668
Huxley city,Texas,440.0,48,35636
Palisades village,Texas,302.0,48,54726
Nash city,Texas,3229.0,48,50352
Channelview CDP,Texas,40983.0,48,14236
League City city,Texas,98215.0,48,41980
Huntington city,Texas,2346.0,48,35492
Throckmorton town,Texas,689.0,48,72896
Early city,Texas,2860.0,48,21904
Scottsville city,Texas,311.0,48,66332
Waskom city,Texas,2019.0,48,76636
Mabank town,Texas,3159.0,48,45324
Terrell city,Texas,16997.0,48,72284
Corrigan town,Texas,1845.0,48,17036
West Livingston CDP,Texas,7534.0,48,77662
Callisburg city,Texas,403.0,48,11968
Gainesville city,Texas,16141.0,48,27984
Cameron city,Texas,5427.0,48,12040
Gholson city,Texas,997.0,48,29408
Falcon Lake Estates CDP,Texas,1110.0,48,25348
Cranfills Gap city,Texas,384.0,48,17540
Morgan city,Texas,539.0,48,49356
Italy town,Texas,1835.0,48,37072
Rose City city,Texas,512.0,48,63200
Elkhart town,Texas,1365.0,48,23140
Inez CDP,Texas,2433.0,48,35996
Victoria city,Texas,66515.0,48,75428
Browndell city,Texas,251.0,48,10708
Jamaica Beach city,Texas,1014.0,48,37252
Botines CDP,Texas,22.0,48,09598
Laredo Ranchettes CDP,Texas,71.0,48,41473
Mirando City CDP,Texas,423.0,48,48756
Ranchitos Las Lomas CDP,Texas,324.0,48,60482
Hartley CDP,Texas,531.0,48,32612
Howardwick city,Texas,371.0,48,35072
Copper Canyon town,Texas,2277.0,48,16636
Vega city,Texas,910.0,48,75188
Lavon city,Texas,2832.0,48,41800
Little Elm city,Texas,39471.0,48,43012
Mart city,Texas,1897.0,48,46824
Valley Mills city,Texas,1375.0,48,74732
Woodway city,Texas,8719.0,48,80224
Buda city,Texas,13253.0,48,11080
Dripping Springs city,Texas,2764.0,48,21424
Hays city,Texas,235.0,48,32906
Dell City city,Texas,376.0,48,19708
Clarksville City city,Texas,827.0,48,15172
Kilgore city,Texas,14784.0,48,39124
Hawley city,Texas,715.0,48,32840
Ingleside city,Texas,9898.0,48,36008
Hackberry town,Texas,2246.0,48,31715
Mount Pleasant city,Texas,16069.0,48,49800
Moran city,Texas,355.0,48,49320
Center city,Texas,5388.0,48,13732
Claude city,Texas,1268.0,48,15196
Arp city,Texas,949.0,48,04156
Val Verde Park CDP,Texas,2888.0,48,74895
Creedmoor city,Texas,180.0,48,17612
Pflugerville city,Texas,58013.0,48,57176
K-Bar Ranch CDP,Texas,542.0,48,38518
Benjamin city,Texas,238.0,48,07636
De Leon city,Texas,2292.0,48,19672
West University Place city,Texas,15477.0,48,77956
Humble city,Texas,15736.0,48,35348
Hunters Creek Village city,Texas,4749.0,48,35480
Post city,Texas,5568.0,48,59012
Fairfield city,Texas,2918.0,48,25104
Fredericksburg city,Texas,11046.0,48,27348
Willis city,Texas,6333.0,48,79408
Union Grove city,Texas,371.0,48,74312
Madisonville city,Texas,4578.0,48,45996
Agua Dulce CDP,Texas,3212.0,48,01390
Rangerville village,Texas,47.0,48,60644
North Cleveland city,Texas,221.0,48,51984
Prosper town,Texas,17107.0,48,59696
St. Paul town,Texas,1038.0,48,64220
Ore City city,Texas,1219.0,48,54216
Ingleside on the Bay city,Texas,777.0,48,36020
Lake City town,Texas,470.0,48,40472
Noonday city,Texas,644.0,48,51756
Del Rio city,Texas,35951.0,48,19792
Box Canyon CDP,Texas,79.0,48,09656
Amistad CDP,Texas,13.0,48,03096
El Brazil CDP,Texas,33.0,48,22853
Mi Ranchito Estate CDP,Texas,397.0,48,48750
Santel CDP,Texas,0.0,48,65777
La Escondida CDP,Texas,31.0,48,40186
La Carla CDP,Texas,210.0,48,39994
Sammy Martinez CDP,Texas,113.0,48,64442
Martinez CDP,Texas,0.0,48,46854
El Rancho Vela CDP,Texas,595.0,48,24015
Valle Hermoso CDP,Texas,0.0,48,74667
El Mesquite CDP,Texas,0.0,48,23278
Elias-Fela Solis CDP,Texas,8.0,48,23062
Alto Bonito Heights CDP,Texas,193.0,48,02194
East Alto Bonito CDP,Texas,929.0,48,21958
La Paloma Ranchettes CDP,Texas,326.0,48,41424
Delmita CDP,Texas,138.0,48,19732
Buena Vista CDP,Texas,189.0,48,11102
Moraida CDP,Texas,45.0,48,49300
Eugenio Saenz CDP,Texas,140.0,48,24738
Pena CDP,Texas,70.0,48,56644
San Juan CDP,Texas,73.0,48,65532
Santa Anna CDP,Texas,51.0,48,65678
Olmito and Olmito CDP,Texas,220.0,48,53970
Gutierrez CDP,Texas,85.0,48,31646
El Castillo CDP,Texas,281.0,48,22892
Mikes CDP,Texas,687.0,48,48318
Canyon Creek CDP,Texas,1630.0,48,12562
Cedar Point CDP,Texas,824.0,48,13570
Indian Springs CDP,Texas,718.0,48,35954
Pleasant Hill CDP,Texas,816.0,48,58232
Cape Royale CDP,Texas,610.0,48,12600
Oakhurst CDP,Texas,288.0,48,52992
Port O'Connor CDP,Texas,1070.0,48,58952
Lantana CDP,Texas,9503.0,48,41404
Paloma Creek CDP,Texas,4123.0,48,54868
Paloma Creek South CDP,Texas,6406.0,48,54872
Savannah CDP,Texas,4601.0,48,66000
Valle Vista CDP,Texas,464.0,48,74670
Rivereno CDP,Texas,19.0,48,62318
Burton city,Texas,484.0,48,11536
Manchaca CDP,Texas,1031.0,48,46308
Hornsby Bend CDP,Texas,7124.0,48,34856
Callender Lake CDP,Texas,1294.0,48,11940
Myrtle Springs CDP,Texas,395.0,48,50232
Chilton CDP,Texas,743.0,48,14692
Ivanhoe city,Texas,1381.0,48,37112
Sherwood Shores CDP,Texas,1259.0,48,67554
Preston CDP,Texas,1438.0,48,59420
Valley View city,Texas,941.0,48,74756
César Chávez CDP,Texas,1442.0,48,14038
Coyote Flats city,Texas,373.0,48,17429
Graford city,Texas,686.0,48,30380
Presidio city,Texas,4103.0,48,59396
Redford CDP,Texas,93.0,48,61076
Austwell city,Texas,134.0,48,05036
Prairie View city,Texas,6286.0,48,59336
Electra city,Texas,2716.0,48,22984
Iowa Park city,Texas,6363.0,48,36104
Scotland city,Texas,503.0,48,66284
Windthorst town,Texas,355.0,48,79696
Hereford city,Texas,15003.0,48,33320
Damon CDP,Texas,370.0,48,19108
Brookshire city,Texas,5087.0,48,10636
Pleasant Valley town,Texas,380.0,48,58400
Cleburne city,Texas,29595.0,48,15364
Grandview city,Texas,1895.0,48,30512
Fritch city,Texas,3028.0,48,27696
Deport city,Texas,653.0,48,20020
Wharton city,Texas,8723.0,48,78136
Bangs city,Texas,1577.0,48,05552
Anderson city,Texas,188.0,48,03192
Groves city,Texas,15775.0,48,31328
Nederland city,Texas,17284.0,48,50580
Seven Oaks city,Texas,91.0,48,66884
Benavides city,Texas,1685.0,48,07528
Marathon CDP,Texas,493.0,48,46572
Bastrop city,Texas,8164.0,48,05864
La Feria city,Texas,7314.0,48,40204
San Benito city,Texas,24474.0,48,65036
Tierra Bonita CDP,Texas,60.0,48,72948
Como town,Texas,758.0,48,16252
Fowlerton CDP,Texas,337.0,48,27144
Brownsville city,Texas,182083.0,48,10768
University Park city,Texas,24692.0,48,74492
Tioga town,Texas,921.0,48,73112
Van Alstyne city,Texas,3437.0,48,74924
Odem city,Texas,2581.0,48,53376
Lago CDP,Texas,382.0,48,40258
New Deal town,Texas,714.0,48,50916
Chireno city,Texas,457.0,48,14776
Brenham city,Texas,16616.0,48,10156
Citrus City CDP,Texas,2843.0,48,15028
Buffalo city,Texas,1815.0,48,11116
Donna city,Texas,16507.0,48,20884
Rocky Mound town,Texas,63.0,48,62870
Liverpool city,Texas,464.0,48,43120
New Hope town,Texas,665.0,48,51036
Eastland city,Texas,3888.0,48,22132
Abernathy city,Texas,3144.0,48,00160
Annetta South town,Texas,491.0,48,03342
East Tawakoni city,Texas,829.0,48,22276
Oilton CDP,Texas,307.0,48,53556
Timbercreek Canyon village,Texas,437.0,48,73030
Nocona city,Texas,2958.0,48,51648
La Victoria CDP,Texas,123.0,48,41782
Hedley city,Texas,321.0,48,33044
Rockport city,Texas,10238.0,48,62804
Beaumont city,Texas,118424.0,48,07000
Waco city,Texas,131996.0,48,76000
Winnsboro city,Texas,3392.0,48,79816
Serenada CDP,Texas,1679.0,48,66806
Falcon Heights CDP,Texas,0.0,48,25344
La Rosita CDP,Texas,34.0,48,41503
Rule town,Texas,632.0,48,63752
Celeste city,Texas,870.0,48,13672
Glenn Heights city,Texas,12257.0,48,29840
Rising Star town,Texas,1070.0,48,62252
Lake Kiowa CDP,Texas,2119.0,48,40624
Lexington town,Texas,1330.0,48,42532
Stinnett city,Texas,1462.0,48,70340
Runaway Bay city,Texas,1880.0,48,63782
Farwell city,Texas,1524.0,48,25548
Lone Oak city,Texas,786.0,48,43636
Point Venture village,Texas,930.0,48,58586
Escobares city,Texas,2512.0,48,24552
Ames city,Texas,1164.0,48,03072
Southmayd city,Texas,993.0,48,69104
Whitesboro city,Texas,3906.0,48,78532
Whitewright town,Texas,1960.0,48,78628
Idalou city,Texas,2123.0,48,35732
Lubbock city,Texas,247323.0,48,45000
Slaton city,Texas,6037.0,48,68180
Allen city,Texas,96865.0,48,01924
Parker city,Texas,4388.0,48,55152
Wheeler city,Texas,1612.0,48,78208
Canton city,Texas,3716.0,48,12496
Edgewood town,Texas,1927.0,48,22612
Bayview town,Texas,447.0,48,06140
Del Mar Heights CDP,Texas,135.0,48,19714
El Camino Angosto CDP,Texas,178.0,48,22858
Indian Lake town,Texas,804.0,48,35918
Laguna Heights CDP,Texas,3174.0,48,40300
Socorro city,Texas,33587.0,48,68636
Dayton city,Texas,7615.0,48,19432
Highland Park town,Texas,9071.0,48,33824
Sunnyvale town,Texas,6077.0,48,71156
Poteet city,Texas,3388.0,48,59084
Hughes Springs city,Texas,1813.0,48,35300
Mertzon city,Texas,842.0,48,47832
Lolita CDP,Texas,911.0,48,43432
Roma Creek CDP,Texas,0.0,48,63026
Aubrey city,Texas,3126.0,48,04600
Burke city,Texas,727.0,48,11380
Poynor town,Texas,291.0,48,59192
Homestead Meadows North CDP,Texas,5397.0,48,34671
Loraine town,Texas,478.0,48,43996
Dublin city,Texas,3614.0,48,21484
Stephenville city,Texas,19929.0,48,70208
Brazoria city,Texas,3088.0,48,10072
Freeport city,Texas,12082.0,48,27420
Aquilla city,Texas,166.0,48,03588
Tynan CDP,Texas,246.0,48,74168
Carthage city,Texas,6702.0,48,13108
Uvalde city,Texas,16256.0,48,74588
Uvalde Estates CDP,Texas,1633.0,48,74594
Azle city,Texas,11607.0,48,05168
Baird city,Texas,1759.0,48,05336
Cross Plains town,Texas,1365.0,48,17816
Nome city,Texas,392.0,48,51720
Green Valley Farms CDP,Texas,471.0,48,30890
Grays Prairie village,Texas,320.0,48,30752
Freer city,Texas,2734.0,48,27432
Round Top town,Texas,101.0,48,63524
Yznaga CDP,Texas,27.0,48,80686
Shallowater city,Texas,2523.0,48,67136
Harker Heights city,Texas,29548.0,48,32312
Fruitvale city,Texas,447.0,48,27804
Lakeway city,Texas,14147.0,48,40984
Uhland city,Texas,1233.0,48,74216
Jefferson city,Texas,2460.0,48,37528
Corral City town,Texas,7.0,48,17024
Follett city,Texas,521.0,48,26328
Bardwell city,Texas,727.0,48,05612
Rosebud city,Texas,1593.0,48,63188
Stockdale city,Texas,1318.0,48,70376
Lakeside town (San Patricio County),Texas,330.0,48,40738
Santa Rosa town,Texas,2843.0,48,65768
Olmito CDP,Texas,1314.0,48,53964
Ratamosa CDP,Texas,253.0,48,60686
White Deer town,Texas,849.0,48,78316
Jourdanton city,Texas,4259.0,48,38116
Douglassville town,Texas,251.0,48,21112
Queen City city,Texas,1734.0,48,60080
Adrian city,Texas,116.0,48,01324
Hitchcock city,Texas,7633.0,48,34220
Hondo city,Texas,9119.0,48,34676
Encinal city,Texas,862.0,48,24240
Palestine city,Texas,18318.0,48,54708
Byers city,Texas,603.0,48,11644
Bolivar Peninsula CDP,Texas,2190.0,48,09250
La Marque city,Texas,15912.0,48,41116
Paducah town,Texas,1229.0,48,54600
Tiki Island village,Texas,861.0,48,72989
Giddings city,Texas,5010.0,48,29432
Bruni CDP,Texas,213.0,48,10876
Naples city,Texas,1292.0,48,50316
Crystal City city,Texas,7401.0,48,18020
La Pryor CDP,Texas,1531.0,48,41452
Lawn town,Texas,302.0,48,41872
North Pearsall CDP,Texas,1372.0,48,52302
La Homa CDP,Texas,13260.0,48,40342
Mila Doce CDP,Texas,6354.0,48,48320
Olivarez CDP,Texas,4255.0,48,53934
Pilot Point city,Texas,4246.0,48,57476
Corpus Christi city,Texas,322726.0,48,17000
North San Pedro CDP,Texas,452.0,48,52404
Cisco city,Texas,3800.0,48,15004
Carbon town,Texas,338.0,48,12736
Nesbitt town,Texas,162.0,48,50724
