date,adm0_name,cum_confirmed_cases,cum_confirmed_cases_imputed,active_cases,cum_deaths,cum_deaths_imputed,cum_recoveries,cum_recoveries_imputed
2020-01-22,USA,1,1,1,0,0,0,0
2020-01-23,USA,1,1,1,0,0,0,0
2020-01-24,USA,2,2,2,0,0,0,0
2020-01-25,USA,2,2,2,0,0,0,0
2020-01-26,USA,5,5,5,0,0,0,0
2020-01-27,USA,5,5,5,0,0,0,0
2020-01-28,USA,5,5,5,0,0,0,0
2020-01-29,USA,5,5,5,0,0,0,0
2020-01-30,USA,5,5,5,0,0,0,0
2020-01-31,USA,7,7,7,0,0,0,0
2020-02-01,USA,8,8,8,0,0,0,0
2020-02-02,USA,8,8,8,0,0,0,0
2020-02-03,USA,11,11,11,0,0,0,0
2020-02-04,USA,11,11,11,0,0,0,0
2020-02-05,USA,11,11,11,0,0,0,0
2020-02-06,USA,11,11,11,0,0,0,0
2020-02-07,USA,11,11,11,0,0,0,0
2020-02-08,USA,11,11,11,0,0,0,0
2020-02-09,USA,11,11,8,0,0,3,3
2020-02-10,USA,11,11,8,0,0,3,3
2020-02-11,USA,12,12,9,0,0,3,3
2020-02-12,USA,12,12,9,0,0,3,3
2020-02-13,USA,13,13,10,0,0,3,3
2020-02-14,USA,13,13,10,0,0,3,3
2020-02-15,USA,13,13,10,0,0,3,3
2020-02-16,USA,13,13,10,0,0,3,3
2020-02-17,USA,13,13,10,0,0,3,3
2020-02-18,USA,13,13,10,0,0,3,3
2020-02-19,USA,13,13,10,0,0,3,3
2020-02-20,USA,13,13,10,0,0,3,3
2020-02-21,USA,15,15,10,0,0,5,5
2020-02-22,USA,15,15,10,0,0,5,5
2020-02-23,USA,15,15,10,0,0,5,5
2020-02-24,USA,51,51,46,0,0,5,5
2020-02-25,USA,51,51,45,0,0,6,6
2020-02-26,USA,57,57,51,0,0,6,6
2020-02-27,USA,58,58,52,0,0,6,6
2020-02-28,USA,60,60,53,0,0,7,7
2020-02-29,USA,68,68,60,1,1,7,7
2020-03-01,USA,74,74,66,1,1,7,7
2020-03-02,USA,98,98,85,6,6,7,7
2020-03-03,USA,118,118,104,7,7,7,7
2020-03-04,USA,149,149,131,11,11,7,7
2020-03-05,USA,217,217,198,12,12,7,7
2020-03-06,USA,262,262,241,14,14,7,7
2020-03-07,USA,402,402,378,17,17,7,7
2020-03-08,USA,518,518,490,21,21,7,7
2020-03-09,USA,583,583,554,22,22,7,7
2020-03-10,USA,959,959,923,28,28,8,8
2020-03-11,USA,1281,1281,1237,36,36,8,8
2020-03-12,USA,1663,1663,1611,40,40,12,12
2020-03-13,USA,2179,2179,2120,47,47,12,12
2020-03-14,USA,2727,2727,2661,54,54,12,12
2020-03-15,USA,3499,3499,3424,63,63,12,12
2020-03-16,USA,4632,4632,4530,85,85,17,17
2020-03-17,USA,6421,6421,6296,108,108,17,17
2020-03-18,USA,7783,7783,7560,118,118,105,105
2020-03-19,USA,13747,13747,13426,200,200,121,121
2020-03-20,USA,19273,19273,18882,244,244,147,147
2020-03-21,USA,25600,25600,25117,307,307,176,176
2020-03-22,USA,33276,33276,32681,417,417,178,178
2020-03-23,USA,43843,43843,43108,557,557,178,178
2020-03-24,USA,53736,53736,52682,706,706,348,348
2020-03-25,USA,65778,65778,64475,942,942,361,361
2020-03-26,USA,83836,83836,81946,1209,1209,681,681
2020-03-27,USA,101657,101657,99207,1581,1581,869,869
2020-03-28,USA,121465,121465,118367,2026,2026,1072,1072
2020-03-29,USA,140909,140909,135777,2467,2467,2665,2665
2020-03-30,USA,161831,161831,153209,2978,2978,5644,5644
2020-03-31,USA,188172,188172,177274,3874,3874,7024,7024
2020-04-01,USA,213242,213242,200008,4760,4760,8474,8474
2020-04-02,USA,243622,243622,228692,5929,5929,9001,9001
2020-04-03,USA,275367,275367,258570,7090,7090,9707,9707
2020-04-04,USA,308650,308650,285590,8408,8408,14652,14652
2020-04-05,USA,336802,336802,309735,9619,9619,17448,17448
2020-04-06,USA,366317,366317,335953,10783,10783,19581,19581
2020-04-07,USA,397121,397121,362564,12794,12794,21763,21763
2020-04-08,USA,428654,428654,390391,14704,14704,23559,23559
2020-04-09,USA,462780,462780,420826,16544,16544,25410,25410
2020-04-10,USA,496535,496535,449150,18595,18595,28790,28790
2020-04-11,USA,526396,526396,474655,20471,20471,31270,31270
2020-04-12,USA,555313,555313,500296,22029,22029,32988,32988
2020-04-13,USA,580619,580619,513599,23538,23538,43482,43482
2020-04-14,USA,607670,607670,534064,25843,25843,47763,47763
2020-04-15,USA,636350,636350,555916,28338,28338,52096,52096
2020-04-16,USA,667592,667592,579959,32930,32930,54703,54703
2020-04-17,USA,699706,699706,604374,36787,36787,58545,58545
2020-04-18,USA,732197,732197,628693,38664,38664,64840,64840
2020-04-19,USA,758809,758809,647811,40661,40661,70337,70337
2020-04-20,USA,784326,784326,669903,42094,42094,72329,72329
2020-04-21,USA,811865,811865,692217,44444,44444,75204,75204
2020-04-22,USA,840351,840351,716363,46622,46622,77366,77366
2020-04-23,USA,869170,869170,739013,49954,49954,80203,80203
2020-04-24,USA,905358,905358,754330,51949,51949,99079,99079
2020-04-25,USA,938154,938154,784027,53755,53755,100372,100372
2020-04-26,USA,965785,965785,803916,54881,54881,106988,106988
