date,adm0_name,adm1_name,adm2_name,cumulative_confirmed_cases,cumulative_deaths,cumulative_recoveries,active_cases,cumulative_confirmed_cases_with_imputations,cumulative_deaths_with_imputations,cumulative_recoveries_with_imputations,active_cases_with_imputations
2020-03-02,USA,Washington,King,14,5,1,8,14,5,1,8
2020-03-03,USA,Washington,King,21,6,1,14,21,6,1,14
2020-03-04,USA,Washington,King,31,9,1,21,31,9,1,21
2020-03-05,USA,Washington,King,51,10,1,40,51,10,1,40
2020-03-06,USA,Washington,King,58,12,1,45,58,12,1,45
2020-03-07,USA,Washington,King,71,15,1,55,71,15,1,55
2020-03-08,USA,Washington,King,83,17,1,65,83,17,1,65
2020-03-09,USA,Washington,King,83,17,1,65,83,17,1,65
2020-03-05,USA,California,Los Angeles,11,0,0,11,11,0,0,11
2020-03-06,USA,California,Los Angeles,13,0,0,13,13,0,0,13
2020-03-07,USA,California,Los Angeles,14,0,0,14,14,0,0,14
2020-03-08,USA,California,Los Angeles,14,0,0,14,14,0,0,14
2020-03-09,USA,California,Los Angeles,14,0,0,14,14,0,0,14
2020-03-09,USA,New York,Nassau,17,0,0,17,17,0,0,17
2020-03-06,USA,New York,New York,11,0,0,11,11,0,0,11
2020-03-07,USA,New York,New York,11,0,0,11,11,0,0,11
2020-03-08,USA,New York,New York,12,0,0,12,12,0,0,12
2020-03-09,USA,New York,New York,19,0,0,19,19,0,0,19
2020-03-03,USA,California,Santa Clara,11,0,1,10,11,0,1,10
2020-03-04,USA,California,Santa Clara,11,0,1,10,11,0,1,10
2020-03-05,USA,California,Santa Clara,20,0,1,19,20,0,1,19
2020-03-06,USA,California,Santa Clara,20,0,1,19,20,0,1,19
2020-03-07,USA,California,Santa Clara,32,0,1,31,32,0,1,31
2020-03-08,USA,California,Santa Clara,38,0,1,37,38,0,1,37
2020-03-09,USA,California,Santa Clara,38,0,1,37,38,0,1,37
2020-03-05,USA,Washington,Snohomish,18,1,0,17,18,1,0,17
2020-03-06,USA,Washington,Snohomish,19,1,0,18,19,1,0,18
2020-03-07,USA,Washington,Snohomish,27,1,0,26,27,1,0,26
2020-03-08,USA,Washington,Snohomish,31,1,0,30,31,1,0,30
2020-03-09,USA,Washington,Snohomish,31,1,0,30,31,1,0,30
2020-03-04,USA,New York,Westchester,10,0,0,10,10,0,0,10
2020-03-05,USA,New York,Westchester,18,0,0,18,18,0,0,18
2020-03-06,USA,New York,Westchester,19,0,0,19,19,0,0,19
2020-03-07,USA,New York,Westchester,57,0,0,57,57,0,0,57
2020-03-08,USA,New York,Westchester,83,0,0,83,83,0,0,83
2020-03-09,USA,New York,Westchester,98,0,0,98,98,0,0,98
