date,adm0_name,adm1_name,cumulative_confirmed_cases,cumulative_tests,cumulative_deaths
2020-04-26,USA,Alaska,341.0,16177.0,9.0
2020-04-26,USA,Alabama,6270.0,73551.0,216.0
2020-04-26,USA,Arkansas,2941.0,39469.0,49.0
2020-04-26,USA,American Samoa,0.0,3.0,0.0
2020-04-26,USA,Arizona,6526.0,64811.0,275.0
2020-04-26,USA,California,42164.0,526084.0,1710.0
2020-04-26,USA,Colorado,12968.0,59791.0,672.0
2020-04-26,USA,Connecticut,25269.0,79811.0,1924.0
2020-04-26,USA,District of Columbia,3841.0,18068.0,178.0
2020-04-26,USA,Delaware,4034.0,19249.0,120.0
2020-04-26,USA,Florida,31528.0,344613.0,1094.0
2020-04-26,USA,Georgia,23401.0,123223.0,912.0
2020-04-26,USA,Guam,141.0,1528.0,5.0
2020-04-26,USA,Hawaii,603.0,28483.0,14.0
2020-04-26,USA,Iowa,5476.0,36090.0,118.0
2020-04-26,USA,Idaho,1887.0,19565.0,56.0
2020-04-26,USA,Illinois,43903.0,214952.0,1933.0
2020-04-26,USA,Indiana,15012.0,81708.0,813.0
2020-04-26,USA,Kansas,3174.0,26227.0,118.0
2020-04-26,USA,Kentucky,3905.0,46558.0,205.0
2020-04-26,USA,Louisiana,26773.0,143036.0,1670.0
2020-04-26,USA,Massachusetts,54938.0,236100.0,2899.0
2020-04-26,USA,Maryland,18581.0,96665.0,910.0
2020-04-26,USA,Maine,1015.0,17799.0,50.0
2020-04-26,USA,Michigan,37778.0,193879.0,3315.0
2020-04-26,USA,Minnesota,3602.0,58987.0,272.0
2020-04-26,USA,Missouri,6997.0,69748.0,274.0
2020-04-26,USA,Northern Marianas,14.0,65.0,2.0
2020-04-26,USA,Mississippi,5911.0,60788.0,227.0
2020-04-26,USA,Montana,448.0,12862.0,14.0
2020-04-26,USA,North Carolina,8830.0,107894.0,299.0
2020-04-26,USA,North Dakota,867.0,20717.0,17.0
2020-04-26,USA,Nebraska,2732.0,21228.0,53.0
2020-04-26,USA,New Hampshire,1787.0,18751.0,60.0
2020-04-26,USA,New Jersey,109038.0,223144.0,5938.0
2020-04-26,USA,New Mexico,2660.0,53735.0,93.0
2020-04-26,USA,Nevada,4602.0,38186.0,206.0
2020-04-26,USA,New York,288045.0,805350.0,16966.0
2020-04-26,USA,Ohio,15360.0,115783.0,728.0
2020-04-26,USA,Oklahoma,3253.0,53144.0,195.0
2020-04-26,USA,Oregon,2311.0,48964.0,91.0
2020-04-26,USA,Pennsylvania,41165.0,198593.0,1550.0
2020-04-26,USA,Puerto Rico,1371.0,10684.0,84.0
2020-04-26,USA,Rhode Island,7439.0,53403.0,226.0
2020-04-26,USA,South Carolina,5490.0,50761.0,174.0
2020-04-26,USA,South Dakota,2212.0,16274.0,11.0
2020-04-26,USA,Tennessee,9667.0,148221.0,181.0
2020-04-26,USA,Texas,24631.0,276021.0,648.0
2020-04-26,USA,Utah,4123.0,95702.0,41.0
2020-04-26,USA,Virginia,12488.0,76118.0,448.0
2020-04-26,USA,Virgin Islands,57.0,757.0,4.0
2020-04-26,USA,Vermont,851.0,14797.0,46.0
2020-04-26,USA,Washington,13319.0,170594.0,738.0
2020-04-26,USA,Wisconsin,5911.0,65146.0,272.0
2020-04-26,USA,West Virginia,1044.0,39063.0,34.0
2020-04-26,USA,Wyoming,362.0,8159.0,7.0
2020-04-25,USA,Alaska,339.0,15732.0,9.0
2020-04-25,USA,Alabama,6137.0,71344.0,212.0
2020-04-25,USA,Arkansas,2829.0,38053.0,47.0
2020-04-25,USA,American Samoa,0.0,3.0,0.0
2020-04-25,USA,Arizona,6280.0,62508.0,266.0
2020-04-25,USA,California,41137.0,506035.0,1651.0
2020-04-25,USA,Colorado,12256.0,56789.0,674.0
2020-04-25,USA,Connecticut,24582.0,77602.0,1862.0
2020-04-25,USA,District of Columbia,3699.0,17302.0,165.0
2020-04-25,USA,Delaware,3576.0,17698.0,112.0
2020-04-25,USA,Florida,30839.0,333099.0,1075.0
2020-04-25,USA,Georgia,22695.0,119014.0,904.0
2020-04-25,USA,Guam,141.0,1449.0,5.0
2020-04-25,USA,Hawaii,601.0,28040.0,13.0
2020-04-25,USA,Iowa,5092.0,34350.0,112.0
2020-04-25,USA,Idaho,1870.0,19361.0,54.0
2020-04-25,USA,Illinois,41777.0,201617.0,1874.0
2020-04-25,USA,Indiana,14395.0,79774.0,785.0
2020-04-25,USA,Kansas,3056.0,25199.0,117.0
2020-04-25,USA,Kentucky,3779.0,44962.0,200.0
2020-04-25,USA,Louisiana,26512.0,139002.0,1644.0
2020-04-25,USA,Massachusetts,53348.0,226845.0,2730.0
2020-04-25,USA,Maryland,17766.0,89123.0,875.0
2020-04-25,USA,Maine,990.0,17774.0,50.0
2020-04-25,USA,Michigan,37203.0,144044.0,3274.0
2020-04-25,USA,Minnesota,3446.0,59699.0,244.0
2020-04-25,USA,Missouri,6826.0,67218.0,273.0
2020-04-25,USA,Northern Marianas,14.0,65.0,2.0
2020-04-25,USA,Mississippi,5718.0,58957.0,221.0
2020-04-25,USA,Montana,445.0,12497.0,14.0
2020-04-25,USA,North Carolina,8623.0,105265.0,289.0
2020-04-25,USA,North Dakota,803.0,19350.0,16.0
2020-04-25,USA,Nebraska,2421.0,19973.0,50.0
2020-04-25,USA,New Hampshire,1720.0,17727.0,53.0
2020-04-25,USA,New Jersey,105523.0,213686.0,5863.0
2020-04-25,USA,New Mexico,2521.0,51510.0,84.0
2020-04-25,USA,Nevada,4539.0,37208.0,204.0
2020-04-25,USA,New York,282143.0,777568.0,16599.0
2020-04-25,USA,Ohio,14983.0,111379.0,711.0
2020-04-25,USA,Oklahoma,3193.0,53084.0,194.0
2020-04-25,USA,Oregon,2253.0,47377.0,87.0
2020-04-25,USA,Pennsylvania,40049.0,192935.0,1537.0
2020-04-25,USA,Puerto Rico,1307.0,10620.0,83.0
