id,date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
1,2020-01-16,45,45
1,2020-01-17,74.26552647469222,74.26552647469222
1,2020-01-18,120.71845308340427,120.71845308340427
1,2020-01-19,194.45239853720906,194.45239853720906
1,2020-01-20,323.4880406074671,323.4880406074671
1,2020-01-21,527.4348615606513,527.4348615606513
1,2020-01-22,847.5837147848657,847.5837147848657
1,2020-01-23,1189.766635925116,1379.8278509096858
1,2020-01-24,1654.7634596278162,2226.85170866787
1,2020-01-25,2385.5450231586083,3666.9472693095095
1,2020-01-26,3479.932325355075,6046.6806187540515
1,2020-01-27,4784.497806847604,9618.480450118299
1,2020-01-28,6572.401713577841,15295.879185590193
1,2020-01-29,8902.805100515412,24175.842815363587
1,2020-01-30,12023.72120425842,38188.67468983956
1,2020-01-31,14691.761437834635,60237.491373076446
1,2020-02-01,17688.01390269754,94991.88046789018
1,2020-02-02,21118.485076368,149595.55335275488
1,2020-02-03,25122.959859933755,235104.7172986546
1,2020-02-04,29710.78979800429,368316.2200668878
1,2020-02-05,34826.338371496255,573513.6455554335
1,2020-02-06,40704.009840896164,884696.3476105549
1,2020-02-07,45591.369795117804,1345559.128538999
1,2020-02-08,50614.33622296972,2005786.4207908271
1,2020-02-09,56080.00315881237,2911296.7224610923
1,2020-02-10,61808.50595961629,4091552.4258790123
1,2020-02-11,67972.17233539239,5555198.847528189
1,2020-02-12,74287.20795813529,7307724.1998250475
1,2020-02-13,80607.91651383108,9359907.995323887
1,2020-02-14,86957.86169334559,11845027.942139687
1,2020-02-15,93482.76629492508,14853943.99775016
1,2020-02-16,100367.70719925613,18458311.52813106
1,2020-02-17,107536.34206818104,22630985.11461323
1,2020-02-18,115104.19803202461,27239097.84016563
1,2020-02-19,122945.37904538013,32085667.83987333
1,2020-02-20,130750.98700808937,36908217.267657846
1,2020-02-21,137080.43837409362,41620524.898706615
1,2020-02-22,142940.08450031237,46044914.359680794
1,2020-02-23,148929.89239997344,50138243.50595273
1,2020-02-24,155041.55017001953,53949374.07654658
1,2020-02-25,161285.76260731646,57601815.72218982
1,2020-02-26,167626.20120910837,61263584.803744026
1,2020-02-27,174108.01408246424,65113552.77482595
1,2020-02-28,180759.24475901248,69306173.402198
1,2020-02-29,187571.3451807191,73937085.61055359
1,2020-03-01,194566.09145345475,79018995.42417
1,2020-03-02,201700.33420407173,84478725.26356126
1,2020-03-03,209044.78468799114,90178645.29801494
1,2020-03-04,216516.48287065295,95955112.23823713
1,2020-03-05,224153.0387503873,101659852.07859401
