date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2020-01-16,45,45
2020-01-17,70.60214882271987,70.60214882271987
2020-01-18,109.19330322417272,109.19330322417272
2020-01-19,167.36307839385753,167.36307839385753
2020-01-20,267.0438537951576,267.0438537951576
2020-01-21,416.14029240534876,416.14029240534876
2020-01-22,638.3443104868305,638.3443104868305
2020-01-23,911.4973778123227,998.0301453191163
2020-01-24,1287.2884916973119,1542.8927570664462
2020-01-25,1902.0702321291435,2461.735870271176
2020-01-26,2844.1131239461156,3941.764184188837
2020-01-27,3949.7200797228347,5972.707107052733
2020-01-28,5480.419374737394,9045.519642743748
2020-01-29,7477.938563315396,13559.415710377598
2020-01-30,10169.744053113931,20299.808252859857
2020-01-31,12480.590045373341,30310.358320394367
2020-02-01,15035.299806239527,45268.41698926448
2020-02-02,17970.085987912382,67555.7477284158
2020-02-03,21384.480170198523,100784.22668225535
2020-02-04,25321.567904953547,150414.96112133286
2020-02-05,29695.08841047571,224165.1072534988
2020-02-06,34711.63430621502,333374.13869073987
2020-02-07,39041.93252250249,493954.9754362128
2020-02-08,43529.46241674963,727654.535015359
2020-02-09,48438.046374973026,1062642.3205540173
2020-02-10,53567.97340137392,1532836.9974737717
2020-02-11,59098.64388010833,2174593.0816161013
2020-02-12,64769.17856893477,3020486.954335929
2020-02-13,70367.29652652338,4072370.3165532327
2020-02-14,76266.50709737862,5374419.889182579
2020-02-15,82413.72000551372,6916869.365156518
2020-02-16,88934.83632019965,8720170.982138565
2020-02-17,95760.94461480845,10835726.349503607
2020-02-18,102988.18853144995,13342993.199370375
2020-02-19,110534.68483815479,16322477.210270379
2020-02-20,117816.90799137109,19740358.617560543
2020-02-21,123760.17989878531,23704560.68023398
2020-02-22,129296.75351374192,28048219.852617614
2020-02-23,134949.20423986204,32608918.007819846
2020-02-24,140707.83464475576,37200790.380192496
2020-02-25,146554.70539068282,41650405.75944383
2020-02-26,152454.44118547067,45830578.362663694
2020-02-27,158464.08389063898,49684815.23860669
2020-02-28,164605.17583727313,53233211.163131915
2020-02-29,170871.40586901302,56559712.91010063
2020-03-01,177277.40934808803,59789758.927391194
2020-03-02,183763.7093887118,63066518.08277189
2020-03-03,190402.659359146,66528959.97695011
2020-03-04,197109.45769488436,70292828.73769662
2020-03-05,203919.74874145602,74436304.86055562
