id,date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
1,2020-02-27,188,188
1,2020-02-28,324.0449298665302,324.0449298665302
1,2020-02-29,626.682302625628,626.682302625628
1,2020-03-01,1040.461087859036,1068.666469947098
1,2020-03-02,1666.2847020298846,1739.2409878764656
1,2020-03-03,2605.4091309972473,2741.911976071223
1,2020-03-04,3773.974581513741,4401.954531213859
1,2020-03-05,5785.588241051917,7506.600187334181
1,2020-03-06,9305.98772583433,14971.26487770374
1,2020-03-07,12578.449364773232,25119.28962635095
1,2020-03-08,15345.956062259464,41942.22104589177
1,2020-03-09,18912.672408781174,70624.18377599258
1,2020-03-10,22747.566641902427,115321.47755440584
1,2020-03-11,27369.792657697406,187383.7323527514
1,2020-03-12,35340.85148969201,326620.8472105111
1,2020-03-13,43290.479172049934,550146.8366251267
1,2020-03-14,53716.547383800404,932066.9810725203
1,2020-03-15,66534.37910588662,1553701.4985330917
1,2020-03-16,83161.66212017993,2554670.569628923
1,2020-03-17,101264.46758667628,3958132.6996769872
1,2020-03-18,122941.30683002745,5868250.731782006
2,2020-02-27,188,188
2,2020-02-28,324.0449298665302,324.0449298665302
2,2020-02-29,590.5177283263558,590.5177283263558
2,2020-03-01,935.3296574611747,966.9108979233185
2,2020-03-02,1394.1912762977315,1480.105335395926
2,2020-03-03,2119.458982526232,2297.3389453891214
2,2020-03-04,2954.1131002711577,3488.441691110894
2,2020-03-05,4283.498098634755,5521.828145558831
2,2020-03-06,6969.149631504328,10674.94876314905
2,2020-03-07,9047.50195181898,16473.041955135806
2,2020-03-08,10987.557118663814,25710.411486159715
2,2020-03-09,13422.827806811683,40505.23466470297
2,2020-03-10,16682.378264581093,65129.361135681655
2,2020-03-11,19852.344151812358,100160.85183808931
2,2020-03-12,24921.577646859805,163405.37745461
2,2020-03-13,29379.76781777189,263234.0117155943
2,2020-03-14,34251.14489006794,418777.2540044743
2,2020-03-15,40360.26643426534,671151.8065103671
2,2020-03-16,47902.57960596763,1071838.9807648733
2,2020-03-17,57760.145759135696,1702972.5731357217
2,2020-03-18,66882.76688739123,2516014.470514147
3,2020-02-27,188,188
3,2020-02-28,324.0449298665302,324.0449298665302
3,2020-02-29,575.2140851407121,575.2140851407121
3,2020-03-01,897.7399199007664,926.638799576293
3,2020-03-02,1308.2353052507735,1388.9985294674575
3,2020-03-03,1826.6519268215777,1987.7933399912831
3,2020-03-04,2528.0675392431795,2964.6030672043416
3,2020-03-05,3442.4520004230803,4360.101574406572
3,2020-03-06,5702.1245497363625,8389.751763820044
3,2020-03-07,7330.288480150886,12554.788172479382
3,2020-03-08,8975.091029789135,19093.13950863521
3,2020-03-09,11040.007186870462,29302.501493170195
3,2020-03-10,13036.830578188485,43164.33690119858
3,2020-03-11,15512.486569571405,64296.932957315854
3,2020-03-12,18479.825626648617,96111.54916846873
3,2020-03-13,21625.430336518173,148703.38344208623
3,2020-03-14,24953.378759065807,227169.8563811367
3,2020-03-15,29222.51785093031,353316.33657609584
3,2020-03-16,34466.446147065864,553419.9284882912
3,2020-03-17,39169.009367640036,828131.729090935
3,2020-03-18,44878.78776144541,1241214.9907859631
4,2020-02-27,188,188
4,2020-02-28,324.0449298665302,324.0449298665302
4,2020-02-29,585.2406794681067,585.2406794681067
4,2020-03-01,928.8908695213262,959.3932287507641
4,2020-03-02,1421.0493241908177,1499.5379922275563
4,2020-03-03,2198.572931365691,2350.3482090083057
4,2020-03-04,3128.2371695319835,3640.052283463179
4,2020-03-05,4780.593031764266,6073.5065397369535
4,2020-03-06,7671.585990205967,11645.301395188339
4,2020-03-07,9986.770615836736,18153.151042682017
4,2020-03-08,12178.639397125733,28939.17302942952
4,2020-03-09,14975.843406627297,46787.428837915104
4,2020-03-10,18456.88709344837,76131.83509924974
4,2020-03-11,21903.62645447824,119401.14208970916
4,2020-03-12,28107.700090776834,204532.01077145294
4,2020-03-13,32797.85446205337,334919.7028561726
4,2020-03-14,37322.814773088394,533936.1820926098
4,2020-03-15,43223.63531332479,866800.5251017191
4,2020-03-16,50500.003714664104,1413252.0971164033
4,2020-03-17,59103.44635002807,2280886.1941286568
4,2020-03-18,66823.05769275289,3480056.2418513657
5,2020-02-27,188,188
5,2020-02-28,324.0449298665302,324.0449298665302
5,2020-02-29,600.8459668404721,600.8459668404721
5,2020-03-01,967.8021393066157,1000.8571388338099
5,2020-03-02,1502.2759274613995,1590.6613834243904
5,2020-03-03,2321.0860770233717,2496.414408980593
5,2020-03-04,3302.94059535496,3913.3346465422
5,2020-03-05,4828.067205233422,6312.3892923814665
5,2020-03-06,7676.646934686559,12224.760144677364
5,2020-03-07,9847.522403221066,19103.250105879557
5,2020-03-08,11681.802010036625,30259.27046639057
5,2020-03-09,14007.301715337982,48592.673459723184
5,2020-03-10,16647.183601064822,77371.83122515668
5,2020-03-11,19340.578803569617,120335.84873978187
5,2020-03-12,23326.512002152274,195180.50969376494
5,2020-03-13,26646.76352855006,314197.55153952533
5,2020-03-14,29771.057346394875,493761.8662023266
5,2020-03-15,33659.23047736692,786310.1295571489
5,2020-03-16,38460.464311175776,1264464.2110821619
5,2020-03-17,43570.53479084969,2001181.3363870236
5,2020-03-18,48359.43929839167,3062724.566969253
6,2020-02-27,188,188
6,2020-02-28,324.0449298665302,324.0449298665302
6,2020-02-29,632.3773838088049,632.3773838088049
6,2020-03-01,1054.7022027949897,1086.8246275910874
6,2020-03-02,1684.7666445388122,1771.8554054646993
6,2020-03-03,2701.3825213764903,2877.5945081387617
6,2020-03-04,3977.491835644961,4600.5467267122885
6,2020-03-05,5989.297899179115,7533.061684282787
6,2020-03-06,9691.685003546665,14432.757798967456
6,2020-03-07,13513.028312081542,23877.423288007583
6,2020-03-08,17303.017903741656,39331.9038819726
6,2020-03-09,22305.929101070502,65456.04212566109
6,2020-03-10,28662.89136728782,108765.95608402432
6,2020-03-11,35547.7808947195,174287.61542125378
6,2020-03-12,45502.93059142163,288941.3488622062
6,2020-03-13,52393.78966685776,479958.6216669359
6,2020-03-14,60390.42058644195,797900.0564056163
6,2020-03-15,69169.610872768,1310840.613297613
6,2020-03-16,79684.5373321258,2142201.8250371357
6,2020-03-17,91398.37924602114,3412113.394716016
6,2020-03-18,101458.80556539641,5099784.882576916
7,2020-02-27,188,188
7,2020-02-28,324.0449298665302,324.0449298665302
7,2020-02-29,582.3021071038033,582.3021071038033
7,2020-03-01,918.8487827002507,951.395927014702
7,2020-03-02,1379.1589158723136,1465.7167928398046
7,2020-03-03,2079.3431101114065,2251.7173302950982
7,2020-03-04,2901.925296667094,3412.1943655927257
7,2020-03-05,4234.157840499757,5421.022685401004
7,2020-03-06,6693.898934709338,10152.20144839936
7,2020-03-07,8587.414696895434,15465.46747895003
7,2020-03-08,10402.347857891717,24118.68980332544
7,2020-03-09,12651.254037780187,37973.224184105384
7,2020-03-10,15360.11683162736,59920.214214163345
7,2020-03-11,17920.46445286528,90968.77831674814
7,2020-03-12,22052.533758138106,146977.089549862
7,2020-03-13,25056.807803250664,237323.0314507591
7,2020-03-14,27423.476945557708,368684.2051508293
7,2020-03-15,30591.95741928538,586913.7082499554
7,2020-03-16,34308.58827359037,941484.8056542613
7,2020-03-17,38419.63924576742,1506145.564761787
7,2020-03-18,41569.70252973351,2303902.633052093
8,2020-02-27,188,188
8,2020-02-28,324.0449298665302,324.0449298665302
8,2020-02-29,642.9718470385485,642.9718470385485
8,2020-03-01,1112.464134889091,1144.6243379102505
8,2020-03-02,1857.6904209713462,1948.6023701319723
8,2020-03-03,3016.1433508701207,3200.454370548525
8,2020-03-04,4597.120542293106,5430.440604564461
8,2020-03-05,7017.0437003124125,9277.150314616125
8,2020-03-06,11672.74295457084,19424.9135211428
8,2020-03-07,16044.463534519287,33824.160704429436
8,2020-03-08,20075.075322924196,59992.0418281038
8,2020-03-09,25165.512450220067,107442.50808179232
8,2020-03-10,30309.849274138465,185223.10225834692
8,2020-03-11,36715.04445972985,322138.3443132585
8,2020-03-12,44871.4858840319,565132.9561887048
8,2020-03-13,52221.50568770726,1003406.985249049
8,2020-03-14,59960.2628271765,1728813.985322691
8,2020-03-15,69695.31577422601,2928560.3073680433
8,2020-03-16,81402.15282386498,4740191.869421248
8,2020-03-17,91854.88912211666,6963553.817072589
8,2020-03-18,104388.15491017805,9565888.914684178
9,2020-02-27,188,188
9,2020-02-28,324.0449298665302,324.0449298665302
9,2020-02-29,602.0626172929404,602.0626172929404
9,2020-03-01,976.3347968247933,1013.6262019351435
9,2020-03-02,1506.656312464049,1613.5884231299276
9,2020-03-03,2224.9111111153475,2444.013544954862
9,2020-03-04,3176.929754417207,3814.986294604544
9,2020-03-05,4537.377496314596,5968.267654031459
9,2020-03-06,7196.719357494356,11287.349945995114
9,2020-03-07,9255.156253403196,17332.72584476866
9,2020-03-08,11301.770717071773,27300.319850648673
9,2020-03-09,13908.509449416697,43505.42157330988
