date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2020-02-27,188,188
2020-02-28,324.0436458513797,324.0436458513797
2020-02-29,599.1213170790427,599.1213170790427
2020-03-01,962.6614903189453,996.269866945384
2020-03-02,1480.1889581025205,1571.5911059638809
2020-03-03,2255.1979779782873,2438.9203028007805
2020-03-04,3202.1782951516616,3796.143942088182
2020-03-05,4679.775539789534,6093.247824503504
2020-03-06,7502.050683372781,11768.202838033914
2020-03-07,9656.606878257311,18261.24164283655
2020-03-08,11570.875509781197,28750.415023888694
2020-03-09,13956.680173802695,45732.486847529595
2020-03-10,16617.13308385933,71878.91872605078
2020-03-11,19384.621787589873,110747.35960080642
2020-03-12,23518.53948215619,178474.43237508912
2020-03-13,27015.011132227497,284453.47171621607
2020-03-14,30402.07910878889,443727.9007559974
2020-03-15,34651.632327855354,702496.7289255334
2020-03-16,39798.10888194102,1120121.7171846945
2020-03-17,45173.56486609209,1753578.0963325344
2020-03-18,50362.40217975881,2666881.557664356
