id,date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
1,2020-02-25,271,271
1,2020-02-26,351.72297701979915,428.1297373478273
1,2020-02-27,514.031670158472,744.0362691184566
1,2020-02-28,646.9878902688877,1157.3771606329944
1,2020-02-29,851.1881867354341,1861.007476883489
1,2020-03-01,1053.0805868759278,2882.748832477315
1,2020-03-02,1386.9673650961709,4625.936646406172
1,2020-03-03,1829.165549396751,7298.76915243087
1,2020-03-04,2450.675677245662,11830.29120963572
1,2020-03-05,3178.5700127538285,18963.60523188601
1,2020-03-06,4155.895583853596,30009.48936796005
1,2020-03-07,5490.770084028521,47574.30872634078
1,2020-03-08,7324.400654670173,75791.2848475182
1,2020-03-09,9510.970984889645,120917.76122045652
1,2020-03-10,12240.256985230924,187826.93908530558
1,2020-03-11,15549.493247528551,288749.0091951504
1,2020-03-12,19485.519601950404,434933.22805192246
1,2020-03-13,24604.45408731603,657264.9638392394
1,2020-03-14,31176.544457473254,954498.9124126547
1,2020-03-15,40678.64421592346,1388801.7552138928
1,2020-03-16,52019.5019490935,1919209.134352028
1,2020-03-17,67356.0933815024,2565616.730531297
1,2020-03-18,85990.52724290994,3310345.819133729
2,2020-02-25,271,271
2,2020-02-26,338.3326313380992,414.5660573489933
2,2020-02-27,499.50818847682837,730.6014535272154
2,2020-02-28,616.7530606264513,1123.533901128996
2,2020-02-29,803.6819805875705,1799.0944402736986
2,2020-03-01,982.7891194063671,2801.2815887802467
2,2020-03-02,1288.6839042266497,4510.896593396763
2,2020-03-03,1721.5222768054318,7290.961009270707
2,2020-03-04,2299.62169350005,11828.032278829845
2,2020-03-05,3008.8546447592757,19338.790275938296
2,2020-03-06,3971.6545767278153,31330.62730914356
2,2020-03-07,5302.581485134805,50368.573035131485
2,2020-03-08,7010.9327854943695,78883.36192505933
2,2020-03-09,9254.859022166695,127090.53339817663
2,2020-03-10,12025.662220007698,198392.26419732338
2,2020-03-11,15368.512262961729,304735.915864732
2,2020-03-12,19340.49061521408,462132.05573867075
2,2020-03-13,24374.707024425614,694262.9374204705
2,2020-03-14,31053.901730948593,1021739.6469973265
2,2020-03-15,39660.03166286017,1452302.444449893
2,2020-03-16,50800.99122922283,2026125.9283779878
2,2020-03-17,64116.54614685697,2705198.4148326004
2,2020-03-18,81248.16310406411,3549246.842802605
3,2020-02-25,271,271
3,2020-02-26,344.4872463376164,336.4588589002861
3,2020-02-27,511.4100672357216,511.2006197083241
3,2020-02-28,655.841151216496,655.3761692100787
3,2020-02-29,887.1021431175683,898.4719316071751
3,2020-03-01,1130.0966714265646,1165.0665105672551
3,2020-03-02,1501.519415875882,1574.1986468571624
3,2020-03-03,2009.5311078883938,2135.671862480856
3,2020-03-04,2739.7280192486105,2930.9819156551175
3,2020-03-05,3693.060930426143,3993.4040756139325
3,2020-03-06,4919.449851577063,5303.591739604629
3,2020-03-07,6762.152809856707,7272.283677916631
3,2020-03-08,9111.903435475979,9753.012940187686
3,2020-03-09,12263.227624000316,13236.86674714552
3,2020-03-10,16429.40483066547,17934.228384524264
3,2020-03-11,20344.74926689186,22310.316818249914
3,2020-03-12,24780.58305359592,27566.383825126002
3,2020-03-13,30400.99469948528,34227.65379169309
3,2020-03-14,38259.440657884086,43421.98279199598
3,2020-03-15,48001.623138503775,54710.40754973859
3,2020-03-16,59516.35690144498,68036.66578112607
3,2020-03-17,74362.09517909712,85751.06905675704
3,2020-03-18,91286.93174347076,106112.55455055945
4,2020-02-25,271,271
4,2020-02-26,346.7162412534191,428.2913453152887
4,2020-02-27,507.56292930421847,757.7471277879017
4,2020-02-28,656.6074133748658,1235.7148174542074
4,2020-02-29,906.114480078746,2133.4464448262243
4,2020-03-01,1192.3190946932014,3632.5408536739383
4,2020-03-02,1698.0882188214775,6482.744550121452
4,2020-03-03,2529.3675914727305,11976.239479382384
4,2020-03-04,3848.486801736785,22933.3696261627
4,2020-03-05,5685.317839141113,42802.51646523768
4,2020-03-06,8741.373925671449,80994.80111031877
4,2020-03-07,13932.99307275396,148688.05422779045
4,2020-03-08,21479.464385377378,243537.34926733817
4,2020-03-09,32827.61271840991,366794.50451219827
4,2020-03-10,51060.62135228035,511963.51928342134
4,2020-03-11,67178.2058987558,668400.4644381404
4,2020-03-12,86459.04482750835,860171.6167893778
4,2020-03-13,111826.89675027595,1115255.556116981
4,2020-03-14,145023.4603976916,1447170.8628135538
4,2020-03-15,184867.50260899312,1926916.2647584195
4,2020-03-16,232536.11378018465,2584090.857522526
4,2020-03-17,291758.52464726457,3428139.5856011827
4,2020-03-18,350632.8365504713,4470455.987707585
