date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2020-02-25,271,271
2020-02-26,353.1091885622732,427.14986184720925
2020-02-27,533.223254148813,748.9288509544592
2020-02-28,662.9591736501322,1131.816448272752
2020-02-29,868.1431524428633,1756.4724359316235
2020-03-01,1079.6283370122426,2625.8248534520403
2020-03-02,1361.7348915663022,3893.179400949075
2020-03-03,1716.375901097333,5836.462431573307
2020-03-04,2140.0593830810153,8459.606507474138
2020-03-05,2610.084996022134,12087.080115452574
2020-03-06,3200.3534568709274,16959.808976410346
2020-03-07,3942.3400001658347,23487.674010573257
2020-03-08,4869.737918355351,32272.806396913194
2020-03-09,6028.080222366555,43227.07380871382
2020-03-10,7346.587639342475,57607.51488059283
2020-03-11,8936.956231973998,76978.37832096891
2020-03-12,10826.796296713988,102371.7965890832
2020-03-13,12947.90723955558,133402.6429117351
2020-03-14,15464.397129869334,171804.6489585472
2020-03-15,18675.740843091677,218803.88080152063
2020-03-16,22068.099385030484,276296.98787818523
2020-03-17,26036.633516674974,343500.9638652208
2020-03-18,30604.57852347344,421963.96840586944
2020-03-19,36118.17502443553,514405.05793728
2020-03-20,42355.50730410223,620571.9536790159
2020-03-21,49877.648973619805,742158.2750087025
2020-03-22,58333.57452016184,883162.7212669166
2020-03-23,68019.74502694748,1037549.3825739827
2020-03-24,79788.61092467501,1207524.8005260048
2020-03-25,92859.55022397828,1391500.236858443
2020-03-26,107694.91947994802,1578692.0214489207
2020-03-27,124710.28960074382,1767905.868256082
