id,date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
1,2020-02-19,37,37
1,2020-02-20,85.33185642327645,83.01618160937221
1,2020-02-21,129.7102584446882,112.6401595388749
1,2020-02-22,195.6579176626591,159.85710944380648
1,2020-02-23,284.9402684263378,220.4827743743921
1,2020-02-24,391.9812061832681,279.22325095441505
1,2020-02-25,555.6506671640924,362.11600554209537
1,2020-02-26,785.4809311969152,465.9997854037572
1,2020-02-27,1164.4860457746693,652.1575898236466
1,2020-02-28,1540.8709387420197,880.1869044890559
1,2020-02-29,1857.4416774081778,1193.8107344783778
1,2020-03-01,2139.9472983796295,1560.1008073804835
1,2020-03-02,2431.2004814496704,2007.4085037884056
1,2020-03-03,2805.6747940015666,2629.1578207316893
1,2020-03-04,3210.178472743207,3419.90571670977
1,2020-03-05,3680.8435320526987,4467.263978750962
1,2020-03-06,4384.955440623523,6094.92766579027
1,2020-03-07,5007.089430100516,7952.27087937947
1,2020-03-08,5675.684010528365,10302.1847744921
1,2020-03-09,6414.879650639785,13314.3626089606
1,2020-03-10,7413.296521027447,17630.705752373964
1,2020-03-11,8987.798988026687,23161.085463059742
1,2020-03-12,10954.935939604045,30532.883061203316
1,2020-03-13,13911.578558966366,41990.282003461296
1,2020-03-14,16976.256310322977,55168.620975389495
1,2020-03-15,19433.272783895394,71867.25795389793
1,2020-03-16,20067.00981716496,93235.74565247164
1,2020-03-17,21104.085281560074,123513.89239435346
1,2020-03-18,22030.578788352443,162028.4084316599
1,2020-03-19,23027.93354655688,212565.98575213837
1,2020-03-20,24825.69622629147,288980.324448635
1,2020-03-21,25778.38250980698,374070.8459021785
1,2020-03-22,27091.951017940268,488451.6060913566
1,2020-03-23,27859.244093074092,616568.00139282
1,2020-03-24,29087.85252216475,784936.3347649828
1,2020-03-25,30166.168737206623,979611.7268150465
1,2020-03-26,31316.220998416928,1206922.1760136443
1,2020-03-27,32866.020216083416,1479290.6728158067
1,2020-03-28,33951.9695332711,1753376.6493136666
1,2020-03-29,34875.14177798893,2033142.5762372715
2,2020-02-19,37,37
2,2020-02-20,86.9097057504385,91.3309689600467
2,2020-02-21,119.37675878454081,166.92486426831078
2,2020-02-22,177.17172672058018,319.18441177816214
2,2020-02-23,279.18199930345156,636.945770676624
2,2020-02-24,372.925464309796,1207.0827063257077
2,2020-02-25,488.02594823424,2309.9311387666526
2,2020-02-26,625.0753163273821,4559.600372400868
2,2020-02-27,840.3753396213225,9081.50196298129
2,2020-02-28,975.2798355354892,17813.06985435418
2,2020-02-29,1139.621590456745,37992.84336028715
2,2020-03-01,1336.3303838120053,80219.32120600845
2,2020-03-02,1498.054315909371,164373.41181133295
2,2020-03-03,1659.1357559218811,334451.03153853863
2,2020-03-04,1862.358040314539,680614.1717358276
2,2020-03-05,2072.253506436415,1318545.2446573074
2,2020-03-06,2266.79367022741,2332780.3885226627
2,2020-03-07,2467.184000000403,3691763.1236775536
2,2020-03-08,2812.446904715824,5289447.227631098
2,2020-03-09,3128.936758836572,6635393.862993322
2,2020-03-10,3490.640668336333,7730771.309061661
2,2020-03-11,3966.15528077653,8718075.829376575
2,2020-03-12,4479.722550731374,9707904.359415505
2,2020-03-13,4987.329252065654,10820030.162026623
2,2020-03-14,5533.059292858554,12192877.702658731
2,2020-03-15,6304.914234486251,14143289.558572637
2,2020-03-16,6648.948743756299,16358307.199578214
2,2020-03-17,6990.2162697061785,18734702.3657073
2,2020-03-18,7446.183467627723,21102613.518297657
2,2020-03-19,7880.390735878766,23166844.110641386
2,2020-03-20,8206.38647655714,24856267.998681873
2,2020-03-21,8505.246342787888,26250541.117351398
2,2020-03-22,9091.783065077547,27500889.04202935
2,2020-03-23,9575.637729507233,28445304.918151617
2,2020-03-24,10060.165393999487,29175805.48376542
2,2020-03-25,10677.853346044447,29758758.354538105
2,2020-03-26,11259.133492063387,30199253.32685573
2,2020-03-27,12069.366520858037,30557115.215604436
2,2020-03-28,12515.514904214326,30802508.383676376
2,2020-03-29,13439.800198256315,31010560.305825185
