date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2020-02-19,37,37
2020-02-20,85.20537378878333,85.59561110681818
2020-02-21,122.87722798119655,126.05482143633759
2020-02-22,182.2382883912521,193.88832187425868
2020-02-23,265.53942517267933,292.19041761282216
2020-02-24,353.6925720050343,406.2113360296725
2020-02-25,468.94602528989935,563.9267508864525
2020-02-26,621.2980034420945,785.0845977094987
2020-02-27,866.4119576219599,1136.199020467569
2020-02-28,1083.8453258367401,1628.8446635522193
2020-02-29,1284.2140928384176,2374.300945777827
2020-03-01,1501.3393603768327,3381.8509184314075
2020-03-02,1707.0148290374548,4722.1117787642315
2020-03-03,1927.2099181403798,6589.879277052423
2020-03-04,2182.405423495194,9244.750886955931
2020-03-05,2457.950608550175,12911.77836485971
2020-03-06,2854.6763168406974,18705.894881285498
2020-03-07,3243.1285299802703,26453.85418151191
2020-03-08,3711.724212781862,37748.355539549004
2020-03-09,4200.6223858354815,53155.87607994961
2020-03-10,4777.589018671969,74950.96289349666
2020-03-11,5573.069665281096,105989.30901879878
2020-03-12,6481.442736115484,148709.58779328325
2020-03-13,7783.480133904406,214931.32330418142
2020-03-14,9165.086911562234,300962.43240130297
2020-03-15,10384.20927602693,420035.70917730423
2020-03-16,10823.627265871883,570535.5725091732
2020-03-17,11282.069131479138,761502.2519069263
2020-03-18,11804.116436412105,996940.9566868283
2020-03-19,12294.13498626549,1267624.702209075
2020-03-20,13119.38091753425,1606329.373693697
2020-03-21,13723.761605112437,1953857.9841881567
2020-03-22,14470.198386484795,2344868.1369910627
2020-03-23,15051.793422356583,2745703.504902745
2020-03-24,15659.229163760043,3183877.9231451447
2020-03-25,16324.107903830209,3674380.77541135
2020-03-26,16942.098670037503,4213598.783200987
2020-03-27,17871.386378591476,4885463.278896462
2020-03-28,18634.386707613343,5622742.195247922
2020-03-29,19515.149664702356,6504947.708930888
