date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2020-03-03,52,52
2020-03-04,83.1388900832893,84.13140123652846
2020-03-05,119.3435491955597,120.8252533405351
2020-03-06,169.01134251232384,171.11289421343866
2020-03-07,233.99034213240742,236.8582536846162
2020-03-08,360.1529735209562,363.9579262382628
2020-03-09,576.5429876492955,582.2078011408829
2020-03-10,833.1898818238852,843.7572507077275
2020-03-11,1219.9262724139296,1239.8764547362064
2020-03-12,1706.3649566509848,1841.0834869004154
2020-03-13,2268.7065603816,2615.9599307098492
2020-03-14,3167.9143724093215,3748.863897180223
2020-03-15,4112.376929099943,5080.69637051532
2020-03-16,5442.910109442121,7080.0219108731135
2020-03-17,7208.400068510754,9951.602300738989
2020-03-18,9687.149168296875,14201.982386933541
2020-03-19,13068.696952531001,20746.55263028528
2020-03-20,17320.306384741,29924.387521064637
2020-03-21,22572.925719397514,42658.53550047692
2020-03-22,27657.15376224992,59052.38866422987
2020-03-23,34072.24287826611,83608.27894858894
2020-03-24,41920.29588614075,119831.75398454981
2020-03-25,52020.06468236336,174277.77569771482
2020-03-26,65086.9431011925,256750.52514543573
2020-03-27,80976.25324270439,375890.0435242192
2020-03-28,98925.11195679537,538618.4784899994
2020-03-29,117473.68546912938,743883.2392033787
2020-03-30,140978.93473152036,1034724.8417624105
2020-03-31,170492.1739784072,1428955.6429720996
2020-04-01,207013.08189338236,1949874.657707838
2020-04-02,253666.1251560591,2615969.6163240643
2020-04-03,305684.1340716685,3402545.0222799378
2020-04-04,361643.29621883447,4274272.5155443475
2020-04-05,414366.2141299567,5165755.571848758
2020-04-06,483748.04752719455,6252546.4755065795
