"","date","cases","cases_drop","deaths","no_case_data","case_data"
"7",2020-01-16,45,45,2,0,1
"8",2020-01-17,62,62,2,0,1
"9",2020-01-18,121,121,3,0,1
"10",2020-01-19,198,198,3,0,1
"11",2020-01-20,290,270,5,0,1
"12",2020-01-21,424,387,8,0,1
"13",2020-01-22,510,461,16,0,1
"14",2020-01-23,682,582,23,0,1
"15",2020-01-24,871,630,26,0,1
"16",2020-01-25,1354,958,42,0,1
"17",2020-01-26,1986,1471,55,0,1
"18",2020-01-27,2774,2102,79,0,1
"19",2020-01-28,4534,3803,103,0,1
"20",2020-01-29,5966,5228,130,0,1
"21",2020-01-30,7692,6967,169,0,1
"22",2020-01-31,9787,9034,212,0,1
"23",2020-02-01,11836,11146,258,0,1
"24",2020-02-02,14427,13728,304,0,1
"25",2020-02-03,17302,16620,361,0,1
"26",2020-02-04,20487,19849,425,0,1
"27",2020-02-05,24386,23820,492,0,1
"28",2020-02-06,28076,27501,563,0,1
"29",2020-02-07,31193,30611,634,0,1
"30",2020-02-08,34601,34022,722,0,1
"31",2020-02-09,37171,36608,809,0,1
"32",2020-02-10,40194,39637,907,0,1
"33",2020-02-11,42685,42136,1014,0,1
"34",2020-02-12,44701,44157,1112,0,1
"35",2020-02-13,59623,59085,1240,0,1
"36",2020-02-14,63700,63155,1378,0,1
"37",2020-02-15,66172,65645,1519,0,1
"38",2020-02-16,68180,67649,1659,0,1
"39",2020-02-17,70204,69666,1762,0,1
"40",2020-02-18,72028,71487,1860,0,1
"41",2020-02-19,73842,73308,1998,0,1
"42",2020-02-20,74579,74044,2110,0,1
"43",2020-02-21,75221,74685,2229,0,1
"44",2020-02-22,76041,75505,2338,0,1
"45",2020-02-23,76654,76118,2436,0,1
"46",2020-02-24,77121,76583,2589,0,1
"47",2020-02-25,77630,77091,2659,0,1
"48",2020-02-26,78034,77495,2711,0,1
"49",2020-02-27,78466,77926,2740,0,1
"50",2020-02-28,78793,78253,2784,0,1
"51",2020-02-29,79221,78681,2830,0,1
"52",2020-03-01,79796,79255,2864,0,1
"53",2020-03-02,79995,79454,2912,0,1
"54",2020-03-03,80112,79579,2945,0,1
"55",2020-03-04,80228,79695,2981,0,1
"56",2020-03-05,80365,79832,3013,0,1
