"","date","cases","cases_drop"
"13",2020-02-27,38,11
"14",2020-02-28,46,11
"15",2020-02-29,67,48
"16",2020-03-01,94,65
"17",2020-03-02,175,141
"18",2020-03-03,209,191
"19",2020-03-04,282,259
"20",2020-03-05,415,388
"21",2020-03-06,603,600
"22",2020-03-07,939,934
"23",2020-03-08,1168,1163
"24",2020-03-09,1430,1430
"25",2020-03-10,1773,1773
"26",2020-03-11,2269,2269
"27",2020-03-12,2860,2860
"28",2020-03-13,3662,3662
"29",2020-03-14,4469,4469
"30",2020-03-15,5380,5380
"31",2020-03-16,6573,6573
"32",2020-03-17,7652,7652
"33",2020-03-18,9043,9043
