"","date","cases","cases_drop","no_case_data","case_data"
"9",2020-02-27,235,188,0,1
"10",2020-02-28,378,312,0,1
"11",2020-02-29,583,532,0,1
"12",2020-03-01,969,910,0,1
"13",2020-03-02,1494,1415,1,NA
"14",2020-03-03,2326,2279,1,NA
"15",2020-03-04,2912,2887,0,1
"16",2020-03-05,3561,3533,0,1
"17",2020-03-06,4792,4774,0,1
"18",2020-03-07,5856,5842,0,1
"19",2020-03-08,6584,6575,0,1
"20",2020-03-09,7206,7197,0,1
"21",2020-03-10,8087,8087,0,1
"22",2020-03-11,9045,9045,0,1
"23",2020-03-12,10120,10120,0,1
"24",2020-03-13,11409,11409,0,1
"25",2020-03-14,12774,12774,0,1
"26",2020-03-15,13983,13983,0,1
"27",2020-03-16,15036,15036,0,1
"28",2020-03-17,16214,16214,0,1
"29",2020-03-18,17406,17406,0,1
"30",2020-03-19,18452,18452,0,1
"31",2020-03-20,19689,19689,0,1
"32",2020-03-21,20655,20655,0,1
"33",2020-03-22,21683,21683,0,1
