date,adm0_name,school_closure,travel_ban_local_opt,no_gathering,work_from_home,testing_regime,home_isolation,cum_confirmed_cases,cum_deaths
2020-02-19,IRN,0,0,0,0,0,0,2,2
2020-02-20,IRN,0,0,0,0,0,0,5,2
2020-02-21,IRN,0,0,0,0,0,0,18,4
2020-02-22,IRN,0,0,1,0,0,0,28,6
2020-02-23,IRN,0,0,1,0,0,0,43,8
2020-02-24,IRN,0,0,1,0,0,0,61,12
2020-02-25,IRN,0,0,1,0,0,0,95,15
2020-02-26,IRN,0,0,1,0,0,0,139,19
2020-02-27,IRN,0,0,1,0,0,0,245,26
2020-02-28,IRN,0,0,1,0,0,0,388,34
2020-02-29,IRN,0,0,1,0,0,0,593,43
2020-03-01,IRN,0,1,1,0,0,0,978,54
2020-03-02,IRN,0,1,1,0,0,0,1501,65
2020-03-03,IRN,0,1,1,1,0,0,2336,76
2020-03-04,IRN,0,1,1,1,0,0,2922,91
2020-03-05,IRN,1,1,1,1,0,0,3513,106
2020-03-06,IRN,1,1,1,1,0,0,4747,123
2020-03-07,IRN,1,1,1,1,0,0,5823,144
2020-03-08,IRN,1,1,1,1,0,0,6566,193
2020-03-09,IRN,1,1,1,1,0,0,7161,236
2020-03-10,IRN,1,1,1,1,0,0,8042,290
2020-03-11,IRN,1,1,1,1,0,0,9000,353
2020-03-12,IRN,1,1,1,1,0,0,10075,428
2020-03-13,IRN,1,1,1,1,1,1,11364,513
2020-03-14,IRN,1,1,1,1,1,1,12729,610
2020-03-15,IRN,1,1,1,1,1,1,13938,723
2020-03-16,IRN,1,1,1,1,1,1,14991,852
2020-03-17,IRN,1,1,1,1,1,1,16169,987
2020-03-18,IRN,1,1,1,1,1,1,17361,1134
