"","date","cases","cases_drop","deaths","no_case_data","case_data"
"2",2020-02-25,321,309,10,0,1
"3",2020-02-26,399,387,12,0,1
"4",2020-02-27,650,630,17,0,1
"5",2020-02-28,888,857,21,0,1
"6",2020-02-29,1106,1089,29,0,1
"7",2020-03-01,1686,1657,34,0,1
"8",2020-03-02,2036,2000,52,0,1
"9",2020-03-03,2502,2464,79,0,1
"10",2020-03-04,3089,3051,107,0,1
"11",2020-03-05,3858,3819,148,0,1
"12",2020-03-06,4636,4604,197,0,1
"13",2020-03-07,5883,5854,233,0,1
"14",2020-03-08,7284,7253,366,0,1
"15",2020-03-09,9172,9158,463,0,1
"16",2020-03-10,10668,10661,616,0,1
"17",2020-03-11,12481,12473,828,0,1
"18",2020-03-12,15113,15105,1016,0,1
"19",2020-03-13,17660,17660,1266,0,1
"20",2020-03-14,21157,21157,1441,0,1
"21",2020-03-15,24747,24747,1809,0,1
"22",2020-03-16,28034,28034,2160,0,1
"23",2020-03-17,31506,31506,2503,0,1
"24",2020-03-18,35801,35801,2981,0,1
"25",2020-03-19,41035,41035,3405,0,1
"26",2020-03-20,47021,47021,4032,0,1
"27",2020-03-21,53578,53578,4825,0,1
"28",2020-03-22,59138,59138,5474,0,1
"29",2020-03-23,63927,63927,6077,0,1
"30",2020-03-24,69176,69176,6820,0,1
"31",2020-03-25,74386,74386,7503,0,1
"32",2020-03-26,80539,80539,8165,0,1
"33",2020-03-27,86498,86498,9134,0,1
"34",2020-03-28,92472,92472,10023,0,1
"35",2020-03-29,97689,97689,10779,0,1
"36",2020-03-30,101739,101739,11591,0,1
"37",2020-03-31,105792,105792,12428,0,1
"38",2020-04-01,110574,110574,13155,0,1
"39",2020-04-02,115242,115242,13915,0,1
"40",2020-04-03,119827,119827,14681,0,1
"41",2020-04-04,124632,124632,15362,0,1
"42",2020-04-05,128948,128948,15887,0,1
"43",2020-04-06,132547,132547,16523,0,1
