"","date","cases","cases_drop","deaths","no_case_data","case_data"
"29",2020-02-17,29,24,0,0,1
"30",2020-02-18,33,25,0,0,1
"31",2020-02-19,51,37,1,0,1
"32",2020-02-20,99,88,1,0,1
"33",2020-02-21,277,255,3,0,1
"34",2020-02-22,419,382,3,0,1
"35",2020-02-23,644,612,8,0,1
"36",2020-02-24,844,811,9,0,1
"37",2020-02-25,991,949,11,0,1
"38",2020-02-26,1292,1236,12,0,1
"39",2020-02-27,1728,1701,14,0,1
"40",2020-02-28,2160,2129,16,0,1
"41",2020-02-29,3002,2969,17,0,1
"42",2020-03-01,3649,3629,24,0,1
"43",2020-03-02,4226,4213,28,0,1
"44",2020-03-03,4858,4845,32,0,1
"45",2020-03-04,5376,5362,39,0,1
"46",2020-03-05,5835,5821,43,0,1
"47",2020-03-06,6289,6274,44,0,1
"48",2020-03-07,6734,6718,50,0,1
"49",2020-03-08,7073,7054,51,0,1
"50",2020-03-09,7308,7287,57,0,1
"51",2020-03-10,7465,7452,61,0,1
"52",2020-03-11,7673,7660,67,0,1
"53",2020-03-12,7787,7774,67,0,1
"54",2020-03-13,7889,7876,73,0,1
"55",2020-03-14,7979,7966,75,0,1
"56",2020-03-15,8090,8075,75,0,1
"57",2020-03-16,8159,8144,76,0,1
"58",2020-03-17,8272,8254,82,0,1
"59",2020-03-18,8344,8326,86,0,1
"60",2020-03-19,8502,8493,93,0,1
"61",2020-03-20,8581,8572,94,0,1
"62",2020-03-21,8719,8709,103,0,1
"63",2020-03-22,8805,8795,105,0,1
"64",2020-03-23,8858,8848,113,0,1
"65",2020-03-24,8913,8899,119,0,1
"66",2020-03-25,8976,8962,128,0,1
"67",2020-03-26,9055,9040,131,0,1
"68",2020-03-27,9135,9119,140,0,1
"69",2020-03-28,9267,9250,146,0,1
"70",2020-03-29,9352,9334,154,0,1
"71",2020-03-30,9408,9399,158,0,1
"72",2020-03-31,9536,9527,163,0,1
"73",2020-04-01,9625,9616,165,0,1
"74",2020-04-02,9695,9686,170,0,1
"75",2020-04-03,9762,9762,174,0,1
"76",2020-04-04,9837,9837,179,0,1
"77",2020-04-05,9894,9894,184,0,1
"78",2020-04-06,9924,9924,190,0,1
