adm0_name,adm1_id,adm1_name,date,cum_confirmed_cases,cum_confirmed_cases_imputed,population,home_isolation,home_isolation_popwt,no_gathering,social_distance,school_closure_local,social_distance_regional,business_closure,paid_sick_leave,school_closure_national,school_closure_local_popwt
"France",11,"IledeFrance",2020-02-15,5,5,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-16,5,5,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-17,5,5,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-18,5,5,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-19,5,5,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-20,5,5,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-21,5,5,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-22,5,5,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-23,5,5,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-24,5,5,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-25,6,6,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-26,6,6,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-27,9,9,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-28,9,9,12278210,0,,0,0,0,0,0,0,0,0
"France",11,"IledeFrance",2020-02-29,,14,12278210,0,0,0,.33333333,0,0,0,0,0,0
"France",11,"IledeFrance",2020-03-01,,20,12278210,0,,0,.33333333,0,0,0,0,0,0
"France",11,"IledeFrance",2020-03-02,34,34,12278210,0,,0,.33333333,0,0,0,0,0,0
"France",11,"IledeFrance",2020-03-03,37,37,12278210,0,,0,.33333333,0,0,0,0,0,0
"France",11,"IledeFrance",2020-03-04,55,55,12278210,0,,0,.33333333,0,0,0,0,0,0
"France",11,"IledeFrance",2020-03-05,76,76,12278210,0,,0,.33333333,0,0,0,0,0,0
"France",11,"IledeFrance",2020-03-06,89,89,12278210,0,0,0,.33333333,0,0,0,0,0,.2720509
"France",11,"IledeFrance",2020-03-07,104,104,12278210,0,0,0,.33333333,0,0,0,0,0,.3737232
"France",11,"IledeFrance",2020-03-08,243,243,12278210,0,0,.5,.33333333,0,0,0,0,0,.5828543
"France",11,"IledeFrance",2020-03-09,300,300,12278210,0,0,.5,.33333333,0,0,0,0,0,.8758038
"France",11,"IledeFrance",2020-03-10,334,334,12278210,0,0,.5,.33333333,0,0,0,0,0,.9832625
"France",11,"IledeFrance",2020-03-11,492,492,12278210,0,0,.5,.33333333,0,0,0,0,0,1
"France",11,"IledeFrance",2020-03-12,577,577,12278210,0,0,.5,.33333333,0,0,0,0,0,1
"France",11,"IledeFrance",2020-03-13,721,721,12278210,0,0,1,.66666667,0,0,0,1,0,1
"France",11,"IledeFrance",2020-03-14,949,949,12278210,0,,1,.66666667,0,1,0,1,0,1
"France",11,"IledeFrance",2020-03-15,1209,1209,12278210,0,,1,.66666667,0,1,1,1,0,1
"France",11,"IledeFrance",2020-03-16,1762,1762,12278210,0,,1,.66666667,0,1,1,1,1,1
"France",11,"IledeFrance",2020-03-17,2177,2177,12278210,.30000001,,1,.66666667,0,1,1,1,1,1
"France",11,"IledeFrance",2020-03-18,2693,2693,12278210,.30000001,,1,.66666667,0,1,1,1,1,1
"France",11,"IledeFrance",2020-03-19,3384,3384,12278210,.30000001,,1,.66666667,0,1,1,1,1,1
"France",11,"IledeFrance",2020-03-20,3818,3818,12278210,.30000001,,1,.66666667,0,1,1,1,1,1
"France",11,"IledeFrance",2020-03-21,4695,4695,12278210,.30000001,,1,.66666667,0,1,1,1,1,1
"France",11,"IledeFrance",2020-03-22,5283,5283,12278210,.30000001,,1,.66666667,0,1,1,1,1,1
"France",11,"IledeFrance",2020-03-23,6211,6211,12278210,1,,1,.66666667,0,1,1,1,1,1
"France",11,"IledeFrance",2020-03-24,6798,6798,12278210,1,,1,.66666667,0,1,1,1,1,1
"France",11,"IledeFrance",2020-03-25,7660,7660,12278210,1,,1,.66666667,0,1,1,1,1,1
"France",24,"Centre",2020-02-15,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-16,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-17,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-18,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-19,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-20,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-21,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-22,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-23,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-24,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-25,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-26,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-27,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-28,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-02-29,,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-03-01,,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-03-02,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-03-03,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-03-04,0,0,2559073,0,,0,0,0,0,0,0,0,0
"France",24,"Centre",2020-03-05,2,2,2559073,0,0,0,0,0,0,0,0,0,.2668505
"France",24,"Centre",2020-03-06,11,11,2559073,0,,0,0,0,0,0,0,0,.2668505
"France",24,"Centre",2020-03-07,16,16,2559073,0,,0,0,0,0,0,0,0,.2668505
"France",24,"Centre",2020-03-08,16,16,2559073,0,,.5,0,0,0,0,0,0,.2668505
"France",24,"Centre",2020-03-09,17,17,2559073,0,,.5,0,0,0,0,0,0,.2668505
"France",24,"Centre",2020-03-10,18,18,2559073,0,0,.5,0,0,0,0,0,0,.3949575
"France",24,"Centre",2020-03-11,20,20,2559073,0,,.5,0,0,0,0,0,0,.3949575
"France",24,"Centre",2020-03-12,30,30,2559073,0,0,.5,0,0,0,0,0,0,.5107822
"France",24,"Centre",2020-03-13,33,33,2559073,0,,1,0,0,0,0,1,0,.5107822
"France",24,"Centre",2020-03-14,54,54,2559073,0,,1,0,0,0,0,1,0,.5107822
"France",24,"Centre",2020-03-15,71,71,2559073,0,,1,0,0,0,1,1,0,.5107822
"France",24,"Centre",2020-03-16,90,90,2559073,0,,1,0,0,0,1,1,1,.5107822
"France",24,"Centre",2020-03-17,103,103,2559073,.30000001,,1,0,0,0,1,1,1,.5107822
"France",24,"Centre",2020-03-18,128,128,2559073,.30000001,,1,0,0,0,1,1,1,.5107822
"France",24,"Centre",2020-03-19,157,157,2559073,.30000001,,1,0,0,0,1,1,1,.5107822
"France",24,"Centre",2020-03-20,219,219,2559073,.30000001,,1,0,0,0,1,1,1,.5107822
"France",24,"Centre",2020-03-21,254,254,2559073,.30000001,,1,0,0,0,1,1,1,.5107822
"France",24,"Centre",2020-03-22,291,291,2559073,.30000001,,1,0,0,0,1,1,1,.5107822
"France",24,"Centre",2020-03-23,361,361,2559073,1,,1,0,0,0,1,1,1,.5107822
"France",24,"Centre",2020-03-24,450,450,2559073,1,,1,0,0,0,1,1,1,.5107822
"France",24,"Centre",2020-03-25,561,561,2559073,1,,1,0,0,0,1,1,1,.5107822
"France",27,"BourgogneFrancheComté",2020-02-15,0,0,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-16,0,0,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-17,0,0,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-18,0,0,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-19,0,0,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-20,0,0,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-21,0,0,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-22,0,0,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-23,0,0,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-24,0,0,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-25,0,0,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-26,0,0,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-27,4,4,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-28,5,5,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-02-29,,6,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-03-01,,8,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-03-02,8,8,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-03-03,13,13,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-03-04,16,16,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-03-05,39,39,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-03-06,78,78,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-03-07,129,129,2783039,0,,0,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-03-08,112,112,2783039,0,,.5,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-03-09,119,119,2783039,0,,.5,0,0,0,0,0,0,0
"France",27,"BourgogneFrancheComté",2020-03-10,146,146,2783039,0,,.5,0,0,0,0,0,0,0
