"date","adm1_name","adm0_name","cum_confirmed_cases","cum_deaths","cum_recoveries","active_cases","lat","lon","active_cases_new","population","business_closure_opt","emergency_declaration","event_cancel","no_demonstration","no_gathering_opt","pos_cases_quarantine","religious_closure","school_closure","social_distance_opt","testing_regime","travel_ban_intl_in_opt","travel_ban_intl_out_opt","welfare_services_closure","work_from_home_opt","travel_ban_intl_in_opt_country_list","travel_ban_intl_out_opt_country_list","policies_enacted"
2020-01-20,"Busan","KOR",0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-20,"Chungcheongbuk-do","KOR",0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-20,"Chungcheongnam-do","KOR",0,0,0,0,36.525,126.831,0,2120995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-20,"Daegu","KOR",0,0,0,0,35.781,128.58,0,2432883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-20,"Daejeon","KOR",0,0,0,0,36.319,127.379,0,1473125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-20,"Gangwon-do","KOR",0,0,0,0,37.717,128.281,0,1539521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-20,"Gwangju","KOR",0,0,0,0,35.134,126.855,0,1456121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-20,"Gyeonggi-do","KOR",0,0,0,0,37.491,127.186,0,13265377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-20,"Gyeongsangbuk-do","KOR",0,0,0,0,36.314,128.749,0,2658956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-20,"Gyeongsangnam-do","KOR",0,0,0,0,35.3,128.278,0,3358828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
