date,adm0_name,adm1_name,adm2_name,school_closure,travel_ban_local_opt,no_gathering,work_from_home,testing_regime,home_isolation,cum_confirmed_cases,cum_confirmed_cases_imputed
2020-02-19,IRN,1,Alburz,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,3,Ardebil,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,2,Bushehr,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,2,Chaharmahal.and.Bakhtiari,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,3,East.Azerbaijan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,2,Esfahan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,2,Fars,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,3,Gilan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,1,Golestan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,4,Hamedan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,2,Hormozgan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,4,Ilam,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,5,Kerman,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,4,Kermanshah,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,4,Khuzistan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,2,Kohgiluyeh.and.Boyer_Ahmad,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,3,Kurdistan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,4,Lorestan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,4,Markazi,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,1,Mazandaran,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,5,North.Khorasan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,1,Qazvin,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,1,Qom,0,0,0,0,0,0,2.0,2
2020-02-19,IRN,5,Razavi.Khorasan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,1,Semnan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,5,Sistan.and.Baluchestan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,5,South.Khorasan,0,0,0,0,0,0,0.0,0
2020-02-19,IRN,1,Tehran,0,0,0,0,0,0,0.0,0
