,adm0_name,adm1_name,adm2_name,2010pop_10k
0,CHN,Anhui,Anqing,615.88
1,CHN,Anhui,Bengbu,360.64
2,CHN,Anhui,Bozhou,596.93
3,CHN,Anhui,Chizhou,159.88
4,CHN,Anhui,Chuzhou,450.25
5,CHN,Anhui,Fuyang,1000.5
6,CHN,Anhui,Hefei,491.43
7,CHN,Anhui,Huaibei,217.74
8,CHN,Anhui,Huainan,242.52
9,CHN,Anhui,Huangshan,148.6
10,CHN,Anhui,Lu'an,705.89
11,CHN,Anhui,Ma'anshan,128.61
12,CHN,Anhui,Suzhou,635.19
13,CHN,Anhui,Tongling,73.99
14,CHN,Anhui,Wuhu,230.1
15,CHN,Anhui,Xuancheng,277.77
16,CHN,Beijing,Beijing,1245.83
17,CHN,Chongqing,Chongqing,3275.61
18,CHN,Fujian,Fuzhou,637.92
19,CHN,Fujian,Longyan,293.35
20,CHN,Fujian,Nanping,310.1
21,CHN,Fujian,Ningde,335.95
22,CHN,Fujian,Putian,319.61
23,CHN,Fujian,Quanzhou,680.85
24,CHN,Fujian,Sanming,271.06
25,CHN,Fujian,Xiamen,177.0
26,CHN,Fujian,Zhangzhou,471.77
27,CHN,Gansu,Baiyin,179.55
28,CHN,Gansu,Dingxi,299.43
29,CHN,Gansu,Jinchang,47.57
30,CHN,Gansu,Lanzhou,323.59
31,CHN,Gansu,Linxia,22.3
32,CHN,Gansu,Longnan,279.17
33,CHN,Gansu,Pingliang,229.77
34,CHN,Gansu,Qingyang,260.95
35,CHN,Gansu,Tianshui,359.69
36,CHN,Gansu,Zhangye,130.37
37,CHN,Guangdong,Chaozhou,257.89
38,CHN,Guangdong,Dongguan,178.73
39,CHN,Guangdong,Foshan,367.63
40,CHN,Guangdong,Guangzhou,794.62
41,CHN,Guangdong,Heyuan,348.98
42,CHN,Guangdong,Huizhou,324.36
43,CHN,Guangdong,Jiangmen,391.52
44,CHN,Guangdong,Jieyang,649.11
45,CHN,Guangdong,Maoming,735.31
46,CHN,Guangdong,Meizhou,507.36
47,CHN,Guangdong,Qingyuan,408.82
48,CHN,Guangdong,Shantou,510.73
49,CHN,Guangdong,Shanwei,340.61
50,CHN,Guangdong,Shaoguan,325.54
51,CHN,Guangdong,Shenzhen,245.96
52,CHN,Guangdong,Yangjiang,275.67
53,CHN,Guangdong,Zhanjiang,763.14
54,CHN,Guangdong,Zhaoqing,413.69
55,CHN,Guangdong,Zhongshan,147.86
56,CHN,Guangdong,Zhuhai,102.65
57,CHN,Guangxi,Baise,398.57
58,CHN,Guangxi,Beihai,160.18
59,CHN,Guangxi,Fangchenggang,86.92
60,CHN,Guangxi,Guigang,509.69
61,CHN,Guangxi,Guilin,511.63
62,CHN,Guangxi,Hechi,409.55
63,CHN,Guangxi,Hezhou,223.9
64,CHN,Guangxi,Laibin,254.5
65,CHN,Guangxi,Liuzhou,367.56
66,CHN,Guangxi,Nanning,697.9
67,CHN,Guangxi,Qinzhou,371.19
68,CHN,Guangxi,Wuzhou,316.18
69,CHN,Guangxi,Yulin,653.41
70,CHN,Guizhou,Anshun,273.49
71,CHN,Guizhou,Bijie,141.6
72,CHN,Guizhou,Guiyang,367.08
73,CHN,Guizhou,Liupanshui,319.35
74,CHN,Guizhou,Tongren,37.7
75,CHN,Guizhou,Zunyi,750.86
76,CHN,Hainan,Danzhou,100.8
77,CHN,Hainan,Dongfang,45.6
78,CHN,Hainan,Haikou,158.24
79,CHN,Hainan,Qionghai,48.9
80,CHN,Hainan,Sanya,55.71
81,CHN,Hainan,Wanning,60.1
82,CHN,Hainan,Wenchang,57.4
83,CHN,Hebei,Baoding,1155.28
84,CHN,Hebei,Cangzhou,717.5
85,CHN,Hebei,Chengde,371.91
86,CHN,Hebei,Handan,942.77
87,CHN,Hebei,Hengshui,436.27
88,CHN,Hebei,Langfang,413.33
89,CHN,Hebei,Qinhuangdao,287.24
90,CHN,Hebei,Shijiazhuang,977.41
91,CHN,Hebei,Tangshan,733.9
92,CHN,Hebei,Xingtai,718.63
93,CHN,Hebei,Zhangjiakou,462.31
94,CHN,Heilongjiang,Daqing,280.17
95,CHN,Heilongjiang,Harbin,991.6
96,CHN,Heilongjiang,Hegang,109.41
97,CHN,Heilongjiang,Heihe,174.21
98,CHN,Heilongjiang,Jiamusi,252.26
99,CHN,Heilongjiang,Jixi,190.71
100,CHN,Heilongjiang,Mudanjiang,270.57
101,CHN,Heilongjiang,Qiqihar,571.56
102,CHN,Heilongjiang,Qitaihe,92.77
103,CHN,Heilongjiang,Shuangyashan,150.81
104,CHN,Heilongjiang,Suihua,580.15
105,CHN,Heilongjiang,Yichun,127.31
106,CHN,Henan,Anyang,573.16
107,CHN,Henan,Dengzhou,157.0
108,CHN,Henan,Hebi,159.79
109,CHN,Henan,Jiaozuo,364.86
110,CHN,Henan,Jiyuan,68.2
111,CHN,Henan,Kaifeng,527.14
112,CHN,Henan,Luohe,276.07
113,CHN,Henan,Luoyang,694.89
114,CHN,Henan,Nanyang,1167.51
115,CHN,Henan,Pingdingshan,532.36
116,CHN,Henan,Puyang,404.22
117,CHN,Henan,Sanmenxia,229.56
118,CHN,Henan,Shangqiu,910.87
119,CHN,Henan,Xinxiang,597.25
120,CHN,Henan,Xinyang,860.99
121,CHN,Henan,Xuchang,485.21
122,CHN,Henan,Zhengzhou,731.47
123,CHN,Henan,Zhoukou,1206.76
124,CHN,Henan,Zhumadian,873.13
125,CHN,Hubei,Enshi Tujia and Miao Autonomous Prefecture,79.4
126,CHN,Hubei,Ezhou,107.24
127,CHN,Hubei,Huanggang,739.61
128,CHN,Hubei,Huangshi,258.56
129,CHN,Hubei,Jingmen,301.05
130,CHN,Hubei,Jingzhou,662.05
131,CHN,Hubei,Qianjiang,101.6
132,CHN,Hubei,Shiyan,353.22
133,CHN,Hubei,Suizhou,257.77
134,CHN,Hubei,Tianmen,162.2
135,CHN,Hubei,Wuhan,835.55
136,CHN,Hubei,Xiangyang,588.88
137,CHN,Hubei,Xianning,290.63
138,CHN,Hubei,Xiantao,149.7
139,CHN,Hubei,Xiaogan,528.73
140,CHN,Hubei,Yichang,401.37
141,CHN,Hunan,Changde,616.69
142,CHN,Hunan,Changsha,651.59
143,CHN,Hunan,Chenzhou,473.86
144,CHN,Hunan,Hengyang,739.8
145,CHN,Hunan,Huaihua,508.88
146,CHN,Hunan,Loudi,420.53
147,CHN,Hunan,Shaoyang,764.14
148,CHN,Hunan,Xiangtan,295.26
149,CHN,Hunan,Yiyang,470.55
150,CHN,Hunan,Yongzhou,586.66
151,CHN,Hunan,Yueyang,558.68
152,CHN,Hunan,Zhangjiajie,165.27
153,CHN,Hunan,Zhuzhou,382.8
154,CHN,Jiangsu,Changzhou,359.82
155,CHN,Jiangsu,Huai'an,534.16
156,CHN,Jiangsu,Lianyungang,490.64
157,CHN,Jiangsu,Nanjing,629.77
158,CHN,Jiangsu,Nantong,762.66
159,CHN,Jiangsu,Suqian,540.6
160,CHN,Jiangsu,Suzhou,633.29
161,CHN,Jiangsu,Taizhou,503.98
162,CHN,Jiangsu,Wuxi,465.65
163,CHN,Jiangsu,Xuzhou,957.61
164,CHN,Jiangsu,Yancheng,812.37
165,CHN,Jiangsu,Yangzhou,458.8
166,CHN,Jiangsu,Zhenjiang,269.88
167,CHN,Jiangxi,Fuzhou,399.14
168,CHN,Jiangxi,Ganzhou,896.99
169,CHN,Jiangxi,Ji'an,489.1
170,CHN,Jiangxi,Jingdezhen,160.22
171,CHN,Jiangxi,Jiujiang,491.03
172,CHN,Jiangxi,Nanchang,497.33
173,CHN,Jiangxi,Pingxiang,186.93
174,CHN,Jiangxi,Shangrao,728.27
175,CHN,Jiangxi,Xinyu,124.61
176,CHN,Jiangxi,Yichun,549.92
177,CHN,Jiangxi,Yingtan,119.82
178,CHN,Jilin,Baicheng,203.17
179,CHN,Jilin,Changchun,756.5
180,CHN,Jilin,Gongzhuling,108.8
181,CHN,Jilin,Jilin,437.42
182,CHN,Jilin,Liaoyuan,123.78
183,CHN,Jilin,Meihekou,61.9
184,CHN,Jilin,Siping,339.12
185,CHN,Jilin,Tonghua,226.81
186,CHN,Liaoning,Anshan,352.03
187,CHN,Liaoning,Benxi,155.46
188,CHN,Liaoning,Chaoyang,342.6
189,CHN,Liaoning,Dalian,584.8
190,CHN,Liaoning,Dandong,242.64
191,CHN,Liaoning,Fuxin,192.27
192,CHN,Liaoning,Huludao,282.27
193,CHN,Liaoning,Jinzhou,310.19
194,CHN,Liaoning,Liaoyang,183.48
195,CHN,Liaoning,Panjin,130.01
196,CHN,Liaoning,Shenyang,716.55
197,CHN,Liaoning,Tieling,306.06
198,CHN,Liaoning,Yingkou,235.04
199,CHN,Neimenggu,Baotou,219.59
200,CHN,Neimenggu,Bayannur,173.3
201,CHN,Neimenggu,Chifeng,459.19
202,CHN,Neimenggu,Hohhot,227.37
203,CHN,Neimenggu,Hulunbuir,271.76
204,CHN,Neimenggu,Ordos,149.48
205,CHN,Neimenggu,Tongliao,318.86
206,CHN,Neimenggu,Ulanqab,289.72
207,CHN,Neimenggu,Wuhai,48.06
208,CHN,Neimenggu,Xilingol League,8.2
209,CHN,Ningxia,Guyuan,150.14
210,CHN,Ningxia,Shizuishan,74.52
211,CHN,Ningxia,Wuzhong,137.21
212,CHN,Ningxia,Yinchuan,155.55
213,CHN,Ningxia,Zhongwei,116.65
214,CHN,Qinghai,Xining,193.94
215,CHN,Shaanxi,Ankang,303.57
216,CHN,Shaanxi,Baoji,378.78
217,CHN,Shaanxi,Hancheng,40.0
218,CHN,Shaanxi,Hanzhong,381.55
219,CHN,Shaanxi,Shangluo,243.05
220,CHN,Shaanxi,Tongchuan,85.31
221,CHN,Shaanxi,Weinan,556.86
222,CHN,Shaanxi,Xi'an,781.67
223,CHN,Shaanxi,Xianyang,516.38
224,CHN,Shaanxi,Yan'an,227.51
225,CHN,Shaanxi,Yulin,359.11
226,CHN,Shandong,Binzhou,377.49
227,CHN,Shandong,Dezhou,569.01
228,CHN,Shandong,Heze,939.44
229,CHN,Shandong,Jinan,603.27
230,CHN,Shandong,Jining,831.31
231,CHN,Shandong,Liaocheng,590.89
232,CHN,Shandong,Linyi,1041.54
233,CHN,Shandong,Qingdao,762.92
234,CHN,Shandong,Rizhao,285.76
235,CHN,Shandong,Tai'an,555.83
236,CHN,Shandong,Weifang,867.85
237,CHN,Shandong,Weihai,252.97
238,CHN,Shandong,Yantai,652.0
239,CHN,Shandong,Zaozhuang,386.79
240,CHN,Shandong,Zibo,421.41
241,CHN,Shanghai,Shanghai,1400.7
242,CHN,Shanxi,Changzhi,329.63
243,CHN,Shanxi,Datong,315.6
244,CHN,Shanxi,Jincheng,216.53
245,CHN,Shanxi,Jinzhong,320.0
246,CHN,Shanxi,Linfen,437.04
247,CHN,Shanxi,Lüliang,381.09
248,CHN,Shanxi,Shuozhou,157.37
249,CHN,Shanxi,Taiyuan,365.12
250,CHN,Shanxi,Xinzhou,306.91
251,CHN,Shanxi,Yangquan,130.27
252,CHN,Shanxi,Yuncheng,503.62
253,CHN,Sichuan,Bazhong,401.18
254,CHN,Sichuan,Chengdu,1139.63
255,CHN,Sichuan,Dazhou,657.56
256,CHN,Sichuan,Deyang,388.4
257,CHN,Sichuan,Guang'an,470.02
258,CHN,Sichuan,Guangyuan,312.73
259,CHN,Sichuan,Leshan,353.22
260,CHN,Sichuan,Luzhou,497.15
261,CHN,Sichuan,Meishan,348.07
262,CHN,Sichuan,Mianyang,544.65
263,CHN,Sichuan,Nanchong,753.51
264,CHN,Sichuan,Neijiang,425.61
265,CHN,Sichuan,Panzhihua,111.58
266,CHN,Sichuan,Suining,387.05
267,CHN,Sichuan,Ya'an,155.15
268,CHN,Sichuan,Yibin,534.93
269,CHN,Sichuan,Zigong,328.49
270,CHN,Sichuan,Ziyang,501.35
271,CHN,Tianjin,Tianjin,979.84
272,CHN,Xinjiang,Akesu,47.6
273,CHN,Xinjiang,Changji,38.3
274,CHN,Xinjiang,"Shihezi, Xinjiang Production and Construction Corps 8th Division",63.5
275,CHN,Xinjiang,Tacheng,16.7
276,CHN,Xinjiang,Turpan,27.0
277,CHN,Xinjiang,Urumqi,241.19
278,CHN,Xinjiang,"Wujiaqu, Xinjiang Production and Construction Corps 5th Division",9.6
279,CHN,Xizang,Lhasa,51.53
280,CHN,Yunnan,Baoshan,250.23
281,CHN,Yunnan,Chuxiong,51.0
282,CHN,Yunnan,Dali,61.6
283,CHN,Yunnan,Kunming,533.99
284,CHN,Yunnan,Lijiang,120.53
285,CHN,Yunnan,Lincang,239.6
286,CHN,Yunnan,Qujing,616.22
287,CHN,Yunnan,Yuxi,214.36
288,CHN,Yunnan,Zhaotong,561.04
289,CHN,Zhejiang,Hangzhou,683.38
290,CHN,Zhejiang,Huzhou,259.17
291,CHN,Zhejiang,Jiaxing,339.6
292,CHN,Zhejiang,Jinhua,463.68
293,CHN,Zhejiang,Lishui,257.39
294,CHN,Zhejiang,Ningbo,571.02
295,CHN,Zhejiang,Quzhou,249.86
296,CHN,Zhejiang,Shaoxing,437.74
297,CHN,Zhejiang,Taizhou,578.47
298,CHN,Zhejiang,Wenzhou,779.11
299,CHN,Zhejiang,Zhoushan,96.77
