epi_adm1,epi_adm2,shp_adm1,shp_adm2
Gansu,Gannan,Gansu,Gannan Tibetan
Gansu,Linxia,Gansu,Linxia Hui
Guizhou,Qiandongnan,Guizhou,Qiandongnan Miao and Dong
Guizhou,Qiannan,Guizhou,Qiannan Buyei and Miao
Guizhou,Qianxinan,Guizhou,Qianxinan Buyei and Miao
Hainan,Baoting Li and Miao Autonomous County,,
Hainan,Changjiang Li Autonomous County,,
Hainan,Chengmai County,,
Hainan,Danzhou,,
Hainan,Ding'an County,,
Hainan,Dongfang,,
Hainan,Ledong Li Autonomous County,,
Hainan,Lingao County,,
Hainan,Lingshui Li Autonomous County,,
Hainan,Qionghai,,
Hainan,Qiongzhong Li and Miao Autonomous County,,
Hainan,Wanning,,
Hainan,Wenchang,,
Heilongjiang,Daxinganling,Heilongjiang,Daxing'anling
Henan,Changyuan,,
Henan,Dengzhou,,
Henan,Jiyuan,Henan,Jiyuan shi
Hubei,Enshi Tujia and Miao Autonomous Prefecture,Hubei,Enshi Tujia and Miao
Hubei,Suizhou,Hubei,Suizhou Shi
Hubei,Xiangyang,,
Hunan,Xiangxi,Hunan,Xiangxi Tujia and Miao
Jiangxi,Ganjiang New District,,
Jilin,Gongzhuling,,
Jilin,Meihekou,,
Jilin,Yanbian,Jilin,Yanbian Korean
Liaoning,Yingkou,,
Macao,Macau,,
Neimenggu,Baotou,Nei Mongol,Baotou
Neimenggu,Bayannur,Nei Mongol,Baynnur
Neimenggu,Chifeng,Nei Mongol,Chifeng
Neimenggu,Hohhot,Nei Mongol,Hohhot
Neimenggu,Hulunbuir,Nei Mongol,Hulunbuir
Neimenggu,Ordos,Nei Mongol,Ordos
Neimenggu,Tongliao,Nei Mongol,Tongliao
Neimenggu,Ulanqab,Nei Mongol,Ulaan Chab
Neimenggu,Wuhai,Nei Mongol,Wuhai
Neimenggu,Xilingol League,Nei Mongol,Xilin Gol
Neimenggu,Xinganmeng,Nei Mongol,Xing'an
Ningxia,Guyuan,Ningxia Hui,Guyuan
Ningxia,Ningdong County,,
Ningxia,Shizuishan,Ningxia Hui,Shizuishan
Ningxia,Wuzhong,Ningxia Hui,Wuzhong
Ningxia,Yinchuan,Ningxia Hui,Yinchuan
Ningxia,Zhongwei,Ningxia Hui,Zhongwei
Qinghai,Haibei,Qinghai,Haibei Tibetan
Shaanxi,Hancheng,,
Shaanxi,Yangling District in Xianyang,,
Shanxi,Lüliang,Shanxi,Luliang
Sichuan,Garzê Tibetan Autonomous Prefecture,Sichuan,Garzê Tibetan
Sichuan,Liangshan Yi Autonomous Prefecture,Sichuan,Liangshan Yi
Sichuan,Ngawa Tibetan and Qiang Autonomous Prefecture,Sichuan,Ngawa Tibetan and Qiang
Xinjiang,Akesu,Xinjiang Uygur,Aksu
Xinjiang,Bayingolin Mongol Autonomous Prefecture,Xinjiang Uygur,Bayin'gholin Mongol
Xinjiang,Changji,Xinjiang Uygur,Changji Hui
Xinjiang,"Shihezi, Xinjiang Production and Construction Corps 8th Division",Xinjiang Uygur,Shihezi
Xinjiang,Tacheng,Xinjiang Uygur,Tacheng
Xinjiang,Turpan,Xinjiang Uygur,Turfan
Xinjiang,Urumqi,Xinjiang Uygur,Ürümqi
Xinjiang,"Wujiaqu, Xinjiang Production and Construction Corps 5th Division",Xinjiang Uygur,Börtala Mongol
Xinjiang,Xinjiang Production and Construction Corps 12th Division,,
Xinjiang,Xinjiang Production and Construction Corps 4th Division,,
Xinjiang,Xinjiang Production and Construction Corps 6th Division,,
Xinjiang,Xinjiang Production and Construction Corps 7th Division,,
Xinjiang,Xinjiang Production and Construction Corps 9th Division,,
Xinjiang,Yili,Xinjiang Uygur,Ili Kazakh
Yunnan,Chuxiong,Yunnan,Chuxiong Yi
Yunnan,Dali,Yunnan,Dali Bai
Yunnan,Dehong,Yunnan,Dehong Dai and Jingpo
Yunnan,Honghe,Yunnan,Honghe Hani and Yi
Yunnan,Wenshan,Yunnan,Wenshan Zhuang and Miao
Yunnan,Xishuangbanna,Yunnan,Xishuangbanna Dai
