adm0_name,adm1_name,adm2_name,policy,no_gathering_size,policy_description,policy_intensity,optional,date_start,date_end,source,access_date,notes
France,11,75,event_cancel,NA,Paris half marathon for March 1,1,N,2/29/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,32,60,no_gathering,NA,no gathering,1,N,2/29/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,All,All,no_gathering,5000,limit gatherings of more than 5000,1,N,2/29/2020,NA,https://www.gouvernement.fr/info-coronavirus,3/14/2020,
France,32,60,school_closure_5,NA,5 cities,1,N,2/29/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,53,56,no_gathering,NA,no gathering,1,N,3/1/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,53,56,school_closure_3,NA,,1,N,3/1/2020,NA,https://www.ouest-france.fr/sante/virus/coronavirus/coronavirus-dans-le-pays-d-auray-dix-ecoles-et-sept-etablissements-du-secondaire-fermes-6760705,3/14/2020,
France,32,60,school_closure_4,NA,4 more cities added,1,N,3/1/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,84,74,school_closure_1,NA,,1,N,3/2/2020,NA,https://www.auvergne-rhone-alpes.ars.sante.fr/communique-de-presse-covid-19-point-de-situation-au-lundi-2-mars-14h,3/14/2020,
France,32,60,no_gathering,NA,canceled professional football game between FC Chambly Oise and Le Mans FC,1,N,3/3/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,93,13,school_closure_1,NA,one school with confirmed case closed,1,N,3/4/2020,NA,https://www.paca.ars.sante.fr/coronavirus-en-provence-alpes-cote-dazur-point-de-situation,3/15/2020,
France,44,68,school_closure_3,NA,,1,N,3/4/2020,NA,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_maladie_%C3%A0_coronavirus_de_2020_en_France,3/14/2020,
France,24,45,school_closure_1,NA,"minor, due to a professor testing positive",1,N,3/5/2020,NA,https://www.centre-val-de-loire.ars.sante.fr/coronavirus-un-troisieme-cas-confirme-en-region-centre-val-de-loire,3/14/2020,
France,44,68,event_cancel,NA,all professional sport events to be without public,1,N,3/6/2020,NA,https://www.grand-est.ars.sante.fr/system/files/2020-03/20200306_CP_MesuresCoronavirusHautRhin.pdf,3/14/2020,
France,44,68,no_gathering,50,"excludes shops, businesses, restaurants, bars, wedding, funerals, public transit",1,N,3/6/2020,NA,https://www.grand-est.ars.sante.fr/system/files/2020-03/20200306_CP_MesuresCoronavirusHautRhin.pdf,3/14/2020,
France,11,93,school_closure_1,NA,nursery school with confirmed case closed,1,N,3/6/2020,NA,https://www.iledefrance.ars.sante.fr/system/files/2020-03/PointSituationCovid19_20200306.pdf,3/15/2020,
