adm1_name,cumulative_confirmed_cases,datetime_update,date,datetime_download,adm0_name
Auvergne-Rhône-Alpes,1014,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Bourgogne-Franche-Comté,696,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Bretagne,297,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Centre-Val de Loire,157,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Corse,162,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Grand Est,2643,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Hauts-de-France,700,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Ile-de-France,3384,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Normandie,241,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Nouvelle-Aquitaine,280,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Occitanie,444,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Pays de la Loire,160,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Provence-Alpes-Côte d’Azur,693,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Total Métropole,10871,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Guadeloupe,45,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Saint-Barthélémy,3,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Saint-Martin,4,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Guyane,15,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Martinique,32,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Mayotte,6,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
La Réunion,19,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
Total Outre Mer,124,2020-03-19T15:00:00Z,2020-03-19,2020-03-19T19:00:06Z,France
