reg,date_de_passage,sursaud_cl_age_corona,nbre_pass_corona,nbre_pass_tot,nbre_hospit_corona,nbre_pass_corona_h,nbre_pass_corona_f,nbre_pass_tot_h,nbre_pass_tot_f,nbre_hospit_corona_h,nbre_hospit_corona_f,nbre_acte_corona,nbre_acte_tot,nbre_acte_corona_h,nbre_acte_corona_f,nbre_acte_tot_h,nbre_acte_tot_f
01,2020-02-24,0,,300.00,,,,148.00,152.00,,,,,,,,
01,2020-02-24,A,,75.00,,,,,,,,,,,,,
01,2020-02-24,B,,102.00,,,,,,,,,,,,,
01,2020-02-24,C,,68.00,,,,,,,,,,,,,
01,2020-02-24,D,,20.00,,,,,,,,,,,,,
01,2020-02-24,E,,35.00,,,,,,,,,,,,,
02,2020-02-24,0,,,,,,,,,,,105.00,,,31.00,74.00
02,2020-02-24,A,,,,,,,,,,,28.00,,,,
02,2020-02-24,B,,,,,,,,,,,28.00,,,,
02,2020-02-24,C,,,,,,,,,,,25.00,,,,
02,2020-02-24,D,,,,,,,,,,,9.00,,,,
02,2020-02-24,E,,,,,,,,,,,15.00,,,,
03,2020-02-24,0,,268.00,,,,154.00,114.00,,,,,,,,
03,2020-02-24,A,,83.00,,,,,,,,,,,,,
03,2020-02-24,B,,120.00,,,,,,,,,,,,,
03,2020-02-24,C,,43.00,,,,,,,,,,,,,
03,2020-02-24,D,,17.00,,,,,,,,,,,,,
03,2020-02-24,E,,5.00,,,,,,,,,,,,,
04,2020-02-24,0,,579.00,,,,298.00,281.00,,,,,,,,
04,2020-02-24,A,,155.00,,,,,,,,,,,,,
04,2020-02-24,B,,197.00,,,,,,,,,,,,,
04,2020-02-24,C,,132.00,,,,,,,,,,,,,
04,2020-02-24,D,,46.00,,,,,,,,,,,,,
04,2020-02-24,E,,49.00,,,,,,,,,,,,,
06,2020-02-24,0,,142.00,,,,85.00,57.00,,,,,,,,
06,2020-02-24,A,,47.00,,,,,,,,,,,,,
06,2020-02-24,B,,75.00,,,,,,,,,,,,,
06,2020-02-24,C,,14.00,,,,,,,,,,,,,
06,2020-02-24,D,,5.00,,,,,,,,,,,,,
06,2020-02-24,E,,1.00,,,,,,,,,,,,,
07,2020-02-24,0,,33.00,,,,20.00,13.00,,,,,,,,
07,2020-02-24,A,,4.00,,,,,,,,,,,,,
07,2020-02-24,B,,17.00,,,,,,,,,,,,,
07,2020-02-24,C,,10.00,,,,,,,,,,,,,
07,2020-02-24,D,,2.00,,,,,,,,,,,,,
07,2020-02-24,E,,,,,,,,,,,,,,,
08,2020-02-24,0,,49.00,,,,25.00,24.00,,,,,,,,
08,2020-02-24,A,,8.00,,,,,,,,,,,,,
08,2020-02-24,B,,19.00,,,,,,,,,,,,,
08,2020-02-24,C,,14.00,,,,,,,,,,,,,
08,2020-02-24,D,,5.00,,,,,,,,,,,,,
08,2020-02-24,E,,3.00,,,,,,,,,,,,,
11,2020-02-24,0,,8870.00,,,,4519.00,4350.00,,,,2391.00,,,1055.00,1333.00
11,2020-02-24,A,,2147.00,,,,,,,,,655.00,,,,
11,2020-02-24,B,,3620.00,,,,,,,,,1043.00,,,,
11,2020-02-24,C,,1660.00,,,,,,,,,434.00,,,,
11,2020-02-24,D,,592.00,,,,,,,,,100.00,,,,
11,2020-02-24,E,,851.00,,,,,,,,,138.00,,,,
24,2020-02-24,0,,1734.00,,,,894.00,840.00,,,,517.00,,,239.00,278.00
24,2020-02-24,A,,294.00,,,,,,,,,99.00,,,,
24,2020-02-24,B,,610.00,,,,,,,,,266.00,,,,
24,2020-02-24,C,,355.00,,,,,,,,,101.00,,,,
24,2020-02-24,D,,163.00,,,,,,,,,18.00,,,,
24,2020-02-24,E,,312.00,,,,,,,,,33.00,,,,
27,2020-02-24,0,,2486.00,,,,1340.00,1146.00,,,,410.00,,,205.00,205.00
27,2020-02-24,A,,510.00,,,,,,,,,130.00,,,,
27,2020-02-24,B,,814.00,,,,,,,,,163.00,,,,
27,2020-02-24,C,,484.00,,,,,,,,,66.00,,,,
27,2020-02-24,D,,252.00,,,,,,,,,22.00,,,,
27,2020-02-24,E,,426.00,,,,,,,,,29.00,,,,
28,2020-02-24,0,,2497.00,,,,1264.00,1233.00,,,,706.00,,,302.00,404.00
28,2020-02-24,A,,488.00,,,,,,,,,176.00,,,,
28,2020-02-24,B,,944.00,,,,,,,,,346.00,,,,
28,2020-02-24,C,,511.00,,,,,,,,,100.00,,,,
28,2020-02-24,D,,229.00,,,,,,,,,31.00,,,,
28,2020-02-24,E,,325.00,,,,,,,,,53.00,,,,
32,2020-02-24,0,,3844.00,,,,2009.00,1834.00,,,,1543.00,,,654.00,889.00
32,2020-02-24,A,,850.00,,,,,,,,,453.00,,,,
32,2020-02-24,B,,1450.00,,,,,,,,,740.00,,,,
32,2020-02-24,C,,724.00,,,,,,,,,229.00,,,,
32,2020-02-24,D,,313.00,,,,,,,,,56.00,,,,
32,2020-02-24,E,,507.00,,,,,,,,,54.00,,,,
44,2020-02-24,0,,3590.00,,,,1858.00,1731.00,,,,740.00,,,329.00,408.00
44,2020-02-24,A,,797.00,,,,,,,,,206.00,,,,
44,2020-02-24,B,,1213.00,,,,,,,,,304.00,,,,
44,2020-02-24,C,,715.00,,,,,,,,,128.00,,,,
44,2020-02-24,D,,327.00,,,,,,,,,34.00,,,,
44,2020-02-24,E,,538.00,,,,,,,,,64.00,,,,
52,2020-02-24,0,,1859.00,,,,966.00,893.00,,,,599.00,,,261.00,330.00
52,2020-02-24,A,,388.00,,,,,,,,,131.00,,,,
52,2020-02-24,B,,658.00,,,,,,,,,256.00,,,,
52,2020-02-24,C,,371.00,,,,,,,,,109.00,,,,
52,2020-02-24,D,,159.00,,,,,,,,,31.00,,,,
52,2020-02-24,E,,283.00,,,,,,,,,72.00,,,,
53,2020-02-24,0,,2087.00,,,,1095.00,992.00,,,,488.00,,,213.00,275.00
53,2020-02-24,A,,356.00,,,,,,,,,102.00,,,,
53,2020-02-24,B,,699.00,,,,,,,,,207.00,,,,
53,2020-02-24,C,,452.00,,,,,,,,,82.00,,,,
53,2020-02-24,D,,213.00,,,,,,,,,29.00,,,,
53,2020-02-24,E,,367.00,,,,,,,,,66.00,,,,
75,2020-02-24,0,,4260.00,,,,2301.00,1959.00,,,,1728.00,,,733.00,995.00
75,2020-02-24,A,,728.00,,,,,,,,,544.00,,,,
75,2020-02-24,B,,1442.00,,,,,,,,,713.00,,,,
75,2020-02-24,C,,822.00,,,,,,,,,253.00,,,,
75,2020-02-24,D,,451.00,,,,,,,,,74.00,,,,
