adm0_name,adm1_name,adm2_name,adm3_name,policy,policy_description,optional,policy_intensity,date_start,date_end,source,access_date,notes
ITA,All,All,All,travel_ban_intl_out,Outbound travel to foreign countries suspended,N,1,02/11/2020,NA,https://www.iata.org/contentassets/75e184437e0e40d5959cd455fe6ad015/ITA-ncov-measures.pdf,03/15/2020,
ITA,Lombardy,Lodi,Bertonico,business_closure,All non-essential (e.g. public services) commercial activities closed; business offices closed (only remote work allowed),N,0.67,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Casalpusterlengo,business_closure,All non-essential (e.g. public services) commercial activities closed; business offices closed (only remote work allowed),N,0.67,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Castelgerundo,business_closure,All non-essential (e.g. public services) commercial activities closed; business offices closed (only remote work allowed),N,0.67,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Castiglione d'Adda,business_closure,All non-essential (e.g. public services) commercial activities closed; business offices closed (only remote work allowed),N,0.67,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Codogno,business_closure,All non-essential (e.g. public services) commercial activities closed; business offices closed (only remote work allowed),N,0.67,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Fombio,business_closure,All non-essential (e.g. public services) commercial activities closed; business offices closed (only remote work allowed),N,0.67,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Maleo,business_closure,All non-essential (e.g. public services) commercial activities closed; business offices closed (only remote work allowed),N,0.67,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,San Fiorano,business_closure,All non-essential (e.g. public services) commercial activities closed; business offices closed (only remote work allowed),N,0.67,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Somaglia,business_closure,All non-essential (e.g. public services) commercial activities closed; business offices closed (only remote work allowed),N,0.67,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Terranova dei Passerini,business_closure,All non-essential (e.g. public services) commercial activities closed; business offices closed (only remote work allowed),N,0.67,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Veneto,Padua,Vo'Eugane,business_closure,All non-essential (e.g. public services) commercial activities closed; business offices closed (only remote work allowed),N,0.67,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Bertonico,no_gathering,"Public and private events (including cultural, recreational, religious, and sporting events) prohibited.",N,1,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Casalpusterlengo,no_gathering,"Public and private events (including cultural, recreational, religious, and sporting events) prohibited.",N,1,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Castelgerundo,no_gathering,"Public and private events (including cultural, recreational, religious, and sporting events) prohibited.",N,1,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Castiglione d'Adda,no_gathering,"Public and private events (including cultural, recreational, religious, and sporting events) prohibited.",N,1,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Codogno,no_gathering,"Public and private events (including cultural, recreational, religious, and sporting events) prohibited.",N,1,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
ITA,Lombardy,Lodi,Fombio,no_gathering,"Public and private events (including cultural, recreational, religious, and sporting events) prohibited.",N,1,02/23/2020,NA,http://www.protezionecivile.it/documents/20182/1227694/Summary+of+measures+taken+against+the+spread+of+C-19/c16459ad-4e52-4e90-90f3-c6a2b30c17eb,03/14/2020,The 11 specific municipalities are from this URL: https://metro.co.uk/2020/02/25/towns-ITA-lockdown-coronavirus-12298246/
