adm0_name,adm1_name,policy,policy_description_long,optional,date_start,travel_ban_intl_out_opt_country_list,travel_ban_intl_in_country_list,source,accessed_date,notes
KOR,All,testing_regime,"inspection is conducted on travelers from Wuhan city, China who entered ROK within 14days; domestics who identified with fever or respiratory, visited to Wuhan will be isolated and tested at national designated isolation hospital, and the foreigners who are staying in Korea will be conducted in cooperation with police.",N,2020-01-28,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=365888&tag=&nPage=1,03/17/2020,
KOR,All,travel_ban_intl_in,"case definition will be expanded in order to prevent further importation of 2019 novel coronavirus infection. As of 28 January 2020, the contaminated areas will be defined as entire mainland China. Therefore, any travellers departed from China will be a subject to strengthened screening and quarantine measures.",N,2020-01-28,,"""[""China""]""",https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=365875&tag=&nPage=3,03/17/2020,
KOR,All,testing_regime,"those who has ‘routine contacts’ with confirmed cases regardless of the times requires a mandatory period of 14 days of self-quarantine; So far, the government classified to ‘close contact’ with the confirmed case as self-quarantined ,and monitored only those who were in the vicinity of the cases through local public health centers; Those who contact within 2 meters during clinical stage of contacts, and those in the same room who coughed without wearing a mask in a closed room would be determined as ‘contacts’ by the epidemic intelligence officer.",N,2020-02-04,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=365953&tag=&nPage=1,03/17/2020,
KOR,All,testing_regime,"new case definition, the suspected case is anyone who develops fever or respiratory symptoms within 14 days after returning from China or who is suspected of 2019-nCoV by clinicians based on a travel history",N,2020-02-07,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366012&tag=&nPage=1,03/17/2020,
KOR,All,travel_ban_intl_in,"expand strict quarantine screening to Hong Kong, Macao on 12 February, in addition to those who arrive from mainland China",N,2020-02-12,,"""['China', 'Hongkong', 'Macau']""",https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366154&tag=&nPage=1,03/17/2020,
KOR,All,travel_ban_intl_out,"Korean government issues a “refrain from traveling” alert regarding China, Hong Kong, and Macau. Additionally, the Korean government recommends that their citizens defer all non-essential travel to nearby countries that are experiencing community-spread infections of COVID-19, which at that moment in time included: Japan, Malaysia, Singapore, Taiwan, Thailand, and Vietnam. Travelers coming into Korea may undergo health screenings and face problems scheduling routine medical care as a result of their recent travel to the aforementioned countries.",Y,2020-02-13,"""['China', 'Hongkong', 'Macau', 'Japan', 'Malaysia', 'Singapore', 'Taiwan', 'Thailand', and 'Vietnam']""",,https://kr.usembassy.gov/021320-health-and-travel-alert-increased-korean-government-screenings-for-coronavirus/,03/17/2020,
KOR,Daegu,religious_closure,Shinceonji places shutdown,N,2020-02-18,,,http://www.ctimes.co.kr/news/articleView.html?idxno=6843,03/17/2020,
KOR,Gyeongsangbuk-do,religious_closure,Shinceonji places shutdown,N,2020-02-19,,,https://www.msn.com/ko-kr/news/national/%EA%B2%BD%EB%B6%81-%EC%8B%A0%EC%B2%9C%EC%A7%80-1612%EB%AA%85-%EC%A4%91-221%EB%AA%85-%ED%99%95%EC%A7%84%C2%B7%C2%B7%C2%B731%EB%B2%88%EC%9D%B4-156%EB%AA%85-%EC%98%AE%EA%B2%BC%EB%8B%A4/ar-BB10C1am,03/17/2020,
KOR,All,testing_regime,"The guideline(6th rev.) including case definition is updated and will be applied on February 20. Suspected cases regardless of travel history by medical staff’s decision will get test. And those who are hospitalized with unknown pneumonia will take the COVID-19 test at negative pressure-room or single ward. Even though contacts of case has no symptoms, if necessary, they will be released when the test get negative at 13th day of isolation.",N,2020-02-20,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366247&tag=&nPage=4,03/17/2020,
KOR,Seoul,no_demonstration,Prohibition of rallies and assemblies,N,2020-02-21,,,http://mediahub.seoul.go.kr/archives/1270860,03/17/2020,
KOR,Seoul,religious_closure,Shinceonji places shutdown,N,2020-02-21,,,http://www.c-herald.co.kr/news/articleView.html?idxno=2156,03/17/2020,
KOR,Daegu,social_distance,recommended for residents in Daegu to minimize gathering events and outdoor activities,Y,2020-02-22,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366299&tag=&nPage=3,03/17/2020,
KOR,Jeju,religious_closure,Shinceonji places shutdown,N,2020-02-23,,,http://www.jemin.com/news/articleView.html?idxno=646993,03/17/2020,
KOR,Incheon,no_demonstration,Prohibition of rallies and assemblies,N,2020-02-24,,,http://www.imedialife.co.kr/news/articleView.html?idxno=30879,03/18/2020,
KOR,Gyeonggi-do,religious_closure,Shinceonji places shutdown,N,2020-02-24,,,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20200224.99099008869,03/17/2020,
KOR,Jeollanam-do,religious_closure,Shinceonji places shutdown,N,2020-02-24,,,http://www.kwangju.co.kr/article.php?aid=1582729200690279004,03/17/2020,
KOR,Gyeongsangnam-do,religious_closure,Shinceonji places shutdown,N,2020-02-25,,,http://woman.chosun.com/mobile/news/view.asp?cate=C01&mcate=M1004&nNewsNumb=20200264476#_enliple,03/17/2020,
KOR,Incheon,religious_closure,Shinceonji places shutdown,N,2020-02-25,,,https://www.gov.kr/portal/ntnadmNews/2102077,03/17/2020,
KOR,Ulsan,religious_closure,Shinceonji places shutdown,N,2020-02-25,,,https://www.yna.co.kr/view/RPR20200225010600353,03/17/2020,
KOR,Busan,religious_closure,Shinceonji places shutdown,N,2020-02-26,,,https://www.ajunews.com/view/20200311082759689,03/17/2020,
KOR,Jeollabuk-do,religious_closure,Shinceonji places shutdown,N,2020-02-26,,,http://www.segye.com/newsView/20200309517306,03/17/2020,
KOR,Chungcheongbuk-do,religious_closure,Shinceonji places shutdown,N,2020-02-26,,,http://www.cbnews.kr/news/articleView.html?idxno=113191,03/17/2020,
KOR,Gwangju,religious_closure,Shinceonji places shutdown,N,2020-02-27,,,http://www.bosa.co.kr/news/articleView.html?idxno=2122251,03/17/2020,
KOR,Chungcheongnam-do,religious_closure,Shinceonji places shutdown,N,2020-02-27,,,http://www.dtnews24.com/news/articleView.html?idxno=572551,03/17/2020,
KOR,All,welfare_services_closure,Social welfare facilities shutdown,N,2020-02-28,,,https://www.welfarenews.net/news/articleView.html?idxno=72924,03/17/2020,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20200313.33001005312
KOR,Daejeon,religious_closure,Shinceonji places shutdown,N,2020-02-28,,,https://blog.naver.com/PostView.nhn?blogId=storydaejeon&logNo=221834017110&redirect=Dlog&widgetTypeCall=true&directAccess=false,03/17/2020,
KOR,All,travel_ban_intl_out,No travel recommendation,Y,2020-02-28,"""['China', 'Hongkong', 'Macau', 'Italy']""",,http://www.0404.go.kr/dev/newest_view.mofa?id=ATC0000000007690&pagenum=1&mst_id=MST0000000000040&ctnm=&div_cd=&st=title&stext=,03/17/2020,
KOR,All,social_distance,"KCDC recommends to civil people to keep the personal hygiene and practice ‘social distancing’ until the beginning of March,",Y,2020-02-29,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366406&tag=&nPage=2,03/17/2020,
KOR,All,testing_regime,"KCDC asked to local government and health facilities to focus on test and treatment, especially for those aged 65 and with underlying disease who needed early detection and treatment. Also, KCDC stressed the monitoring of capacities on test, quarantines and treatment in case of the possibility of community transmission.",N,2020-02-29,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366406&tag=&nPage=2,03/17/2020,
KOR,All,school_closure,All schools that should have started a new semester on March 2 are now postponed until March 22. School previously closed for spring vacation in mid Feb,N,2020-03-02,,,https://abcnews.go.com/International/south-koreas-drastic-measures-coronavirus-offers-glimpse-us/story?id=69383034,03/18/2020,
KOR,All,travel_ban_intl_out,No travel recommendation,Y,2020-03-09,"""['China', 'Hongkong', 'Macau', 'Italy', 'Japan']""",,http://www.0404.go.kr/dev/newest_view.mofa?id=ATC0000000007709&pagenum=1&mst_id=MST0000000000040&ctnm=&div_cd=&st=title&stext=,03/17/2020,
KOR,Seoul,business_closure,"Karaoke, Cyber cafes, etc.",Y,2020-03-11,,,https://www.hankookilbo.com/News/Read/202003111859028406,03/17/2020,
KOR,All,travel_ban_intl_in,Central Disease Control Headquarters additionally designated Italy and Iran as the quarantine inspection required areas.,N,2020-03-11,,"""['China', 'Hongkong', 'Macau', 'Italy', 'Iran']""",https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366523&tag=&nPage=1,03/17/2020,
KOR,All,work_from_home,"Since the contact with the confirmed cases in a closed place increases the possibility of transmission, it is recommended to work at home or adjust desk locations so as to keep a certain distance among people in the office. More detailed guidelines for local governments and high-risk working environment will be distributed soon.",Y,2020-03-11,,,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030&act=view&list_no=366523&tag=&nPage=1,03/17/2020,
KOR,Daegu,emergency_declaration,"Declared Special Management Area (Daegu, Gyeongbuk, Gyeongsan, Cheongdo, Bonghwa) ",N,2020-03-15,,,http://ncov.mohw.go.kr/tcmBoardView.do?brdId=3&brdGubun=31&dataGubun=&ncvContSeq=1241&contSeq=1241&board_id=311&gubun=BDC,03/17/2020,"특별재난지역선포(대구, 경북 경산·청도·봉화)"
