adm0_name,adm1_name,adm1_id,adm2_name,adm3_name,date,policy,travel_ban_intl_out_country_list,travel_ban_intl_in_country_list,no_gathering_size,optional,notes,source,access_date,intensity_group,intensity_group2,intensity_group3,intensity_group4,intensity_group5
USA,Alabama,AL,all,all,3/19/2020,business_closure,NA,NA,NA,N,"Any restaurant, bar, brewery or similar establishments shall not permit on-premise consumption of food or drink. Governor Ivey continues to encourage patrons to visit their local eateries for take-out or delivery provided the social distancing protocols include maintaining a consistent six-foot distance between persons are followed.",https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,3/25/2020,food/drink closure,,,,
USA,Alabama,AL,all,all,3/28/2020,business_closure,NA,NA,NA,N,"all non essential businesses closed,  Effective March 28, 2020, at 5:00 P.M., the following businesses, venues, and activities shall be closed to non-employees or not take place: enterntainment venues, athleteic facilities, close-contact service provideres",https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,4/7/2020,all non-essentials,,,,
USA,Alabama,AL,all,all,3/13/2020,emergency_declaration,NA,NA,NA,NA,state of emergency,https://www.nga.org/coronavirus/#states,3/14/2020,emergency declaration,,,,
USA,Alabama,AL,all,all,3/31/2020,event_cancel,NA,NA,NA,N,the primary runoff election will be delayed to July 14 from the original scheduled date of 3/31/20,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-announces-new-primary-runoff-election-date/,3/26/2020,cancel one event,,,,
USA,Alabama,AL,all,all,4/4/2020,home_isolation,NA,NA,NA,N,"a Stay-at-Home order statewide. The order will be effective beginning Saturday, April 4, at 5:00 p.m. and will expire Thursday, April 30, 2020 at 5:00 p.m.",https://governor.alabama.gov/newsroom/2020/04/governor-ivey-issues-stay-at-home-order/,4/7/2020,mandatory shelter in place,,,,
USA,Alabama,AL,all,all,3/19/2020,no_gathering,NA,NA,25,N,"all gatherings of 25 persons or more, or gatherings of any size that cannot maintain a consistent six-foot distance between persons are prohibited.",https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,3/26/2020,no_gathering_5_49,,,,
USA,Alabama,AL,all,all,3/28/2020,no_gathering,NA,NA,10,N,"Suspending all non-work-related gatherings of 10 persons or more, or non-work-related gatherings of any size that cannot maintain a consistent six-foot distance between persons;",https://governor.alabama.gov/assets/2020/03/Amended-Statewide-Social-Distancing-SHO-Order-3.27.2020-FINAL.pdf,4/7/2020,no_gathering_50_99,,,,
USA,Alabama,AL,all,all,3/16/2020,pos_cases_quarantine,NA,NA,NA,Y,stay home when experiencing flu-like symptoms,https://www.alabamapublichealth.gov/infectiousdiseases/assets/cov-business-guidance.pdf,3/15/2020,opt quarantine,,,,
USA,Alabama,AL,all,all,3/28/2020,pos_cases_quarantine,NA,NA,NA,N,"Effective immediately, any person who has tested positive for COVID-19—other than institutionalized persons—shall be quarantined to their place of residence for a period of 14 days after receiving positive test results. Effective March 28, 2020 at 5:00 P.M., all dental, medical, or surgical procedures shall be postponed until further notice.",https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,4/8/2020,quarantine,,,,
USA,Alabama,AL,all,all,3/18/2020,school_closure,NA,NA,NA,N,"all Alabama public schools beginning close of business Wednesday, March 18 for two and a half weeks due to the coronavirus outbreak.",https://editproj.sharepoint.com/:x:/r/_layouts/15/Doc.aspx?sourcedoc=%7B1F18D008-F204-4812-A40E-27B0D142F5FC%7D&file=Coronavirus-state-district-closures-3.25.2020-v1.xlsx&action=default&mobileredirect=true,3/26/2020,school closure ,,,,
USA,Alabama,AL,all,all,3/19/2020,school_closure,NA,NA,NA,N,"Preschools and childcare centers will be closed effective at close of school or business today. This shall not apply to licensed childcare centers that provide services exclusively to employees with: State and Local Governments, First Responders (including EMS and Fire Services), Law Enforcement, Hospitals, Nursing Home/Long Term Care Facilities (including Assisted Living and Specialty Care Assisted Living Facilities), End Stage Renal Disease Treatment Centers, Pharmacies and grocery stores.",https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,4/9/2020,N/A: other,,,,
