adm0_name,adm1_name,adm1_pop_weight,adm2_name,adm3_name,date,policy,travel_ban_country_list,no_gathering_size,Optional,Notes,source,access_date
USA,AK,1,all,all,3/11/20,emergency_declaration,NA,NA,NA,public health Emergency,https://www.nga.org/coronavirus/#states,3/14/20
USA,AK,1,all,all,3/16/20,school_closure,NA,NA,N,all public schools closed,http://dhss.alaska.gov/News/Documents/press/2020/SOA_03132020_COVID-19_HealthMandate.pdf,3/14/20
USA,AK,1,all,all,3/12/20,social_distance,NA,NA,N,"suspended visitation for certian facilities (i.e. dept of corrections, juvenile justice facilities, military youth academy, Alaska psychiatric institute)",http://dhss.alaska.gov/News/Documents/press/2020/SOA_03132020_COVID-19_HealthMandate.pdf,3/15/20
USA,AK,0.40629998,Anchorage,Anchorage,3/16/20,school_closure,NA,NA,N,school-level closure (aggregated to city level),https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html,3/15/20
USA,AL,1,all,all,3/10/20,travel_ban_local,NA,NA,N,travel_ban,https://www.nga.org/coronavirus/#states,3/14/20
USA,AL,1,all,all,3/13/20,emergency_declaration,NA,NA,NA,state of emergency,https://www.nga.org/coronavirus/#states,3/14/20
USA,AL,1,all,all,3/16/20,social_distance,NA,NA,Y,stay home when sick,https://www.alabamapublichealth.gov/infectiousdiseases/assets/cov-business-guidance.pdf,3/15/20
USA,all,1,all,all,3/14/20,paid_sick_leave,NA,NA,N,12 weeks of job protected leave if child's school closed or the child-care provider is sick due to COVID-19,http://blogs.edweek.org/edweek/campaign-k-12/2020/03/coronavirus-paid-leave-school-closures-student-meals-advances.html,3/15/20
USA,all,1,all,all,1/31/20,emergency_declaration,NA,NA,NA,Public Health Emergency,http://www.p12.nysed.gov/sss/documents/FINALJointNYSDOH-NYSEDCoronavirus020520.pdf,3/14/20
USA,all,1,all,all,2/2/20,travel_ban_international_outbound,China,NA,N,Travel Restrictions - Airports,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/20
USA,all,1,all,all,2/2/20,travel_ban_international_inbound,all,NA,N,suspend immigrants/nonimmigrants who may have COVID-19,https://www.whitehouse.gov/presidential-actions/proclamation-suspension-entry-immigrants-nonimmigrants-persons-pose-risk-transmitting-2019-novel-coronavirus/,3/14/20
USA,all,1,all,all,2/19/20,travel_ban_international_outbound,"Hong Kong, Japan",NA,Y,travel warning - level 1,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/20
