date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200514,AK,387.0,31375.0,,12.0,,,,,,339.0,B,5/14/2020 00:00,4cd61592289ebde7cc18776a1c562217a6c9459d,2020-05-14T20:00:00Z,10.0,,31762,31762,31762,2,0.0,0.0,1109.0,4.0,1113.0
20200514,AL,10968.0,131017.0,,,1350.0,,489.0,,291.0,,B,5/14/2020 00:00,0c7e2b77ab27b5d8e3747dd1c934869148ecd012,2020-05-14T20:00:00Z,467.0,1350.0,141985,141985,141985,1,18.0,33.0,5262.0,351.0,5613.0
20200514,AR,4236.0,71582.0,,64.0,509.0,,,13.0,100.0,3277.0,A,5/14/2020 08:20,d99ce33ac0b3b642f75b868f76180c249f3fb456,2020-05-14T20:00:00Z,97.0,509.0,75818,75818,75818,5,2.0,12.0,2531.0,72.0,2603.0
20200514,AS,0.0,105.0,,,,,,,,,C,5/10/2020 00:00,223918d2f967c849abaac5dbe21c854dd676c9cc,2020-05-14T20:00:00Z,0.0,,105,105,105,60,0.0,0.0,0.0,0.0,0.0
20200514,AZ,12674.0,121664.0,,781.0,1636.0,323.0,,201.0,,3074.0,A+,5/14/2020 00:00,91666cd6ed247ef298d02ea73bd66d5bfdf6122a,2020-05-14T20:00:00Z,624.0,1636.0,134338,134338,134338,4,30.0,46.0,6090.0,498.0,6588.0
20200514,CA,73164.0,1031487.0,,4655.0,,1324.0,,,,,B,5/14/2020 00:00,ab1526dbbdbe36c6e661db2aa371d77dd19df51d,2020-05-14T20:00:00Z,3032.0,,1104651,1104651,1104651,6,98.0,0.0,37036.0,2023.0,39059.0
20200514,CO,20475.0,94044.0,,685.0,3735.0,,,,,3217.0,A,5/14/2020 00:00,563cf49f496b3c4e1fc23243e2b358af2efa9d7b,2020-05-14T20:00:00Z,1062.0,3735.0,114519,114519,114519,8,53.0,40.0,2951.0,318.0,3269.0
20200514,CT,35464.0,114098.0,,1103.0,10946.0,,,,,6264.0,B,5/13/2020 20:30,4322b1e818e1cfd2f3a77d7bd573699eb23b8e11,2020-05-14T20:00:00Z,3219.0,10946.0,149562,149562,149562,9,94.0,1557.0,6010.0,609.0,6619.0
20200514,DC,6736.0,26263.0,,397.0,,,,90.0,,966.0,A,5/13/2020 00:00,37fed425316ee8a96f4437af258c5bcdb1554905,2020-05-14T20:00:00Z,358.0,,32999,32999,32999,11,8.0,0.0,1189.0,152.0,1341.0
20200514,DE,7223.0,29634.0,,273.0,,,,,,3080.0,B,5/13/2020 18:00,425a83893eb5dd7c03dedcc9fb85774c9c671b6c,2020-05-14T20:00:00Z,260.0,,36857,36857,36857,10,13.0,0.0,1833.0,271.0,2104.0
20200514,FL,43210.0,565627.0,1228.0,472.0,7993.0,232.0,,,,,A+,5/14/2020 12:33,08cd50784b8e27d4ca75aeb5fcff7fb05dafb15a,2020-05-14T20:00:00Z,1948.0,7993.0,610065,608837,608837,12,50.0,158.0,13266.0,808.0,14074.0
20200514,GA,35858.0,250023.0,,,6345.0,,1513.0,,,,A+,5/14/2020 13:30,99bcce9e3a8809756adb209161131d0b1efd2115,2020-05-14T20:00:00Z,1527.0,6345.0,285881,285881,285881,13,22.0,86.0,11451.0,526.0,11977.0
20200514,GU,153.0,4226.0,,,,,,,,124.0,C,5/14/2020 05:45,faa0873fd8d09b226cd2c35b49264bbb5071fb98,2020-05-14T20:00:00Z,5.0,,4379,4379,4379,66,0.0,0.0,116.0,1.0,117.0
20200514,HI,638.0,38243.0,,,81.0,,,,,563.0,B,5/13/2020 18:00,ead9c2c5ac72338b889240aac5358950e79dbeae,2020-05-14T20:00:00Z,17.0,81.0,38881,38881,38881,15,0.0,0.0,513.0,3.0,516.0
20200514,IA,13675.0,75619.0,,405.0,,134.0,,93.0,,6231.0,A+,5/13/2020 00:00,132d33d134340bb424885e8380e609b02dd8752a,2020-05-14T20:00:00Z,318.0,,89294,89294,89294,19,12.0,0.0,3189.0,386.0,3575.0
20200514,ID,2324.0,31430.0,,,212.0,,88.0,,,1557.0,B,5/13/2020 19:00,51b8808ae7a6e446afd5580dd162e24c302fdfdd,2020-05-14T20:00:00Z,69.0,212.0,33754,33754,33754,16,0.0,-2.0,595.0,31.0,626.0
