state,state_name,date_closed,adm3_pop_weight
AK,alaska,2020-03-16,0.41
AR,arkansas,2020-03-13,0.1
AZ,arizona,2020-03-13,0.21
CA,california,2020-03-05,0.06
CA,california,2020-03-09,0.02
CA,california,2020-03-11,0.12000000000000001
CA,california,2020-03-12,0.02
CA,california,2020-03-16,0.16
CO,colorado,2020-03-06,0.12
CO,colorado,2020-03-13,0.09
CO,colorado,2020-03-16,0.13999999999999999
CT,connecticut,2020-03-13,0.04
CT,connecticut,2020-03-16,0.02
DC,district of columbia,2020-03-09,0.93
DC,district of columbia,2020-03-10,0.93
DC,district of columbia,2020-03-11,0.93
DC,district of columbia,2020-03-12,0.93
DC,district of columbia,2020-03-16,0.93
GA,georgia,2020-03-10,0.04
GA,georgia,2020-03-16,0.05
IA,iowa,2020-03-16,0.07
IL,illinois,2020-03-09,0.22
IL,illinois,2020-03-10,0.22
IL,illinois,2020-03-16,0.22
IN,indiana,2020-03-09,0.02
IN,indiana,2020-03-13,0.13
KY,kentucky,2020-03-16,0.01
MA,massachusetts,2020-03-13,0.01
MI,michigan,2020-03-16,0.01
MS,mississippi,2020-03-16,0.06
NC,north carolina,2020-03-16,0.03
NE,nebraska,2020-03-09,0.01
NE,nebraska,2020-03-13,0.03
NE,nebraska,2020-03-16,0.24
NV,nevada,2020-03-06,0.08
NY,new york,2020-03-06,0.44
NY,new york,2020-03-13,0.44
NY,new york,2020-03-16,0.44
OH,ohio,2020-03-10,0.03
OK,oklahoma,2020-03-13,0.16
OR,oregon,2020-03-02,0.01
OR,oregon,2020-03-04,0.15
RI,rhode island,2020-03-02,0.32
SC,south carolina,2020-03-09,0.01
TN,tennessee,2020-03-06,0.01
TN,tennessee,2020-03-13,0.09
TX,texas,2020-03-11,0.12
UT,utah,2020-03-13,0.01
VA,virginia,2020-03-12,0.01
WA,washington,2020-02-27,0.01
WA,washington,2020-03-02,0.01
WA,washington,2020-03-03,0.09999999999999999
WA,washington,2020-03-04,0.02
WA,washington,2020-03-05,0.09
WA,washington,2020-03-09,0.13
WA,washington,2020-03-10,0.04
WA,washington,2020-03-11,0.09999999999999999
WA,washington,2020-03-12,0.09999999999999999
WA,washington,2020-03-13,0.02
