state_name,state_pop,st_code,county,county_name_long,county_pop,county_name,state
california,39937489,06,001,Alameda County,1666753,Alameda,CA
california,39937489,06,003,Alpine County,1101,Alpine,CA
california,39937489,06,005,Amador County,39383,Amador,CA
california,39937489,06,007,Butte County,231256,Butte,CA
california,39937489,06,009,Calaveras County,45602,Calaveras,CA
california,39937489,06,011,Colusa County,21627,Colusa,CA
california,39937489,06,013,Contra Costa County,1150215,Contra Costa,CA
california,39937489,06,015,Del Norte County,27828,Del Norte,CA
california,39937489,06,017,El Dorado County,190678,El Dorado,CA
california,39937489,06,019,Fresno County,994400,Fresno,CA
california,39937489,06,021,Glenn County,28047,Glenn,CA
california,39937489,06,023,Humboldt County,136373,Humboldt,CA
california,39937489,06,025,Imperial County,181827,Imperial,CA
california,39937489,06,027,Inyo County,17987,Inyo,CA
california,39937489,06,029,Kern County,896764,Kern,CA
california,39937489,06,031,Kings County,151366,Kings,CA
california,39937489,06,033,Lake County,64382,Lake,CA
california,39937489,06,035,Lassen County,30802,Lassen,CA
california,39937489,06,037,Los Angeles County,10105518,Los Angeles,CA
california,39937489,06,039,Madera County,157672,Madera,CA
california,39937489,06,041,Marin County,259666,Marin,CA
california,39937489,06,043,Mariposa County,17471,Mariposa,CA
california,39937489,06,045,Mendocino County,87606,Mendocino,CA
california,39937489,06,047,Merced County,274765,Merced,CA
california,39937489,06,049,Modoc County,8777,Modoc,CA
california,39937489,06,051,Mono County,14250,Mono,CA
california,39937489,06,053,Monterey County,435594,Monterey,CA
california,39937489,06,055,Napa County,139417,Napa,CA
california,39937489,06,057,Nevada County,99696,Nevada,CA
california,39937489,06,059,Orange County,3185968,Orange,CA
california,39937489,06,061,Placer County,393149,Placer,CA
california,39937489,06,063,Plumas County,18804,Plumas,CA
california,39937489,06,065,Riverside County,2450758,Riverside,CA
california,39937489,06,067,Sacramento County,1540975,Sacramento,CA
california,39937489,06,069,San Benito County,61537,San Benito,CA
california,39937489,06,071,San Bernardino County,2171603,San Bernardino,CA
california,39937489,06,073,San Diego County,3343364,San Diego,CA
california,39937489,06,075,San Francisco County,883305,San Francisco,CA
california,39937489,06,077,San Joaquin County,752660,San Joaquin,CA
california,39937489,06,079,San Luis Obispo County,284010,San Luis Obispo,CA
california,39937489,06,081,San Mateo County,769545,San Mateo,CA
california,39937489,06,083,Santa Barbara County,446527,Santa Barbara,CA
california,39937489,06,085,Santa Clara County,1937570,Santa Clara,CA
california,39937489,06,087,Santa Cruz County,274255,Santa Cruz,CA
california,39937489,06,089,Shasta County,180040,Shasta,CA
california,39937489,06,091,Sierra County,2987,Sierra,CA
california,39937489,06,093,Siskiyou County,43724,Siskiyou,CA
california,39937489,06,095,Solano County,446610,Solano,CA
california,39937489,06,097,Sonoma County,499942,Sonoma,CA
california,39937489,06,099,Stanislaus County,549815,Stanislaus,CA
california,39937489,06,101,Sutter County,96807,Sutter,CA
california,39937489,06,103,Tehama County,63916,Tehama,CA
california,39937489,06,105,Trinity County,12535,Trinity,CA
california,39937489,06,107,Tulare County,465861,Tulare,CA
california,39937489,06,109,Tuolumne County,54539,Tuolumne,CA
california,39937489,06,111,Ventura County,850967,Ventura,CA
california,39937489,06,113,Yolo County,220408,Yolo,CA
california,39937489,06,115,Yuba County,78041,Yuba,CA
texas,29472295,48,001,Anderson County,58057,Anderson,TX
texas,29472295,48,003,Andrews County,18128,Andrews,TX
texas,29472295,48,005,Angelina County,87092,Angelina,TX
texas,29472295,48,007,Aransas County,23792,Aransas,TX
texas,29472295,48,009,Archer County,8786,Archer,TX
texas,29472295,48,011,Armstrong County,1892,Armstrong,TX
texas,29472295,48,013,Atascosa County,50310,Atascosa,TX
texas,29472295,48,015,Austin County,29989,Austin,TX
texas,29472295,48,017,Bailey County,7027,Bailey,TX
texas,29472295,48,019,Bandera County,22824,Bandera,TX
texas,29472295,48,021,Bastrop County,86976,Bastrop,TX
texas,29472295,48,023,Baylor County,3582,Baylor,TX
texas,29472295,48,025,Bee County,32587,Bee,TX
texas,29472295,48,027,Bell County,355642,Bell,TX
texas,29472295,48,029,Bexar County,1986049,Bexar,TX
texas,29472295,48,031,Blanco County,11702,Blanco,TX
texas,29472295,48,033,Borden County,648,Borden,TX
texas,29472295,48,035,Bosque County,18691,Bosque,TX
texas,29472295,48,037,Bowie County,94324,Bowie,TX
texas,29472295,48,039,Brazoria County,370200,Brazoria,TX
texas,29472295,48,041,Brazos County,226758,Brazos,TX
texas,29472295,48,043,Brewster County,9267,Brewster,TX
texas,29472295,48,045,Briscoe County,1516,Briscoe,TX
texas,29472295,48,047,Brooks County,7114,Brooks,TX
texas,29472295,48,049,Brown County,37924,Brown,TX
texas,29472295,48,051,Burleson County,18389,Burleson,TX
texas,29472295,48,053,Burnet County,47542,Burnet,TX
texas,29472295,48,055,Caldwell County,43247,Caldwell,TX
texas,29472295,48,057,Calhoun County,21561,Calhoun,TX
texas,29472295,48,059,Callahan County,13994,Callahan,TX
texas,29472295,48,061,Cameron County,423908,Cameron,TX
texas,29472295,48,063,Camp County,13033,Camp,TX
texas,29472295,48,065,Carson County,6005,Carson,TX
texas,29472295,48,067,Cass County,30119,Cass,TX
texas,29472295,48,069,Castro County,7665,Castro,TX
texas,29472295,48,071,Chambers County,42454,Chambers,TX
texas,29472295,48,073,Cherokee County,52592,Cherokee,TX
texas,29472295,48,075,Childress County,7291,Childress,TX
texas,29472295,48,077,Clay County,10456,Clay,TX
texas,29472295,48,079,Cochran County,2836,Cochran,TX
texas,29472295,48,081,Coke County,3370,Coke,TX
texas,29472295,48,083,Coleman County,8397,Coleman,TX
texas,29472295,48,085,Collin County,1005146,Collin,TX
texas,29472295,48,087,Collingsworth County,2962,Collingsworth,TX
texas,29472295,48,089,Colorado County,21217,Colorado,TX
texas,29472295,48,091,Comal County,148373,Comal,TX
texas,29472295,48,093,Comanche County,13534,Comanche,TX
texas,29472295,48,095,Concho County,4276,Concho,TX
texas,29472295,48,097,Cooke County,40574,Cooke,TX
texas,29472295,48,099,Coryell County,74808,Coryell,TX
texas,29472295,48,101,Cottle County,1389,Cottle,TX
texas,29472295,48,103,Crane County,4794,Crane,TX
texas,29472295,48,105,Crockett County,3499,Crockett,TX
texas,29472295,48,107,Crosby County,5779,Crosby,TX
texas,29472295,48,109,Culberson County,2204,Culberson,TX
texas,29472295,48,111,Dallam County,7200,Dallam,TX
texas,29472295,48,113,Dallas County,2637772,Dallas,TX
texas,29472295,48,115,Dawson County,12619,Dawson,TX
texas,29472295,48,117,Deaf Smith County,18760,Deaf Smith,TX
texas,29472295,48,119,Delta County,5349,Delta,TX
texas,29472295,48,121,Denton County,859064,Denton,TX
texas,29472295,48,123,DeWitt County,20187,DeWitt,TX
texas,29472295,48,125,Dickens County,2249,Dickens,TX
texas,29472295,48,127,Dimmit County,10308,Dimmit,TX
texas,29472295,48,129,Donley County,3319,Donley,TX
texas,29472295,48,131,Duval County,11212,Duval,TX
texas,29472295,48,133,Eastland County,18322,Eastland,TX
texas,29472295,48,135,Ector County,162124,Ector,TX
texas,29472295,48,137,Edwards County,1928,Edwards,TX
texas,29472295,48,139,Ellis County,179436,Ellis,TX
texas,29472295,48,141,El Paso County,840758,El Paso,TX
texas,29472295,48,143,Erath County,42446,Erath,TX
texas,29472295,48,145,Falls County,17335,Falls,TX
texas,29472295,48,147,Fannin County,35286,Fannin,TX
texas,29472295,48,149,Fayette County,25349,Fayette,TX
texas,29472295,48,151,Fisher County,3839,Fisher,TX
texas,29472295,48,153,Floyd County,5837,Floyd,TX
texas,29472295,48,155,Foard County,1200,Foard,TX
texas,29472295,48,157,Fort Bend County,787858,Fort Bend,TX
texas,29472295,48,159,Franklin County,10766,Franklin,TX
texas,29472295,48,161,Freestone County,19808,Freestone,TX
texas,29472295,48,163,Frio County,19816,Frio,TX
texas,29472295,48,165,Gaines County,20901,Gaines,TX
texas,29472295,48,167,Galveston County,337890,Galveston,TX
texas,29472295,48,169,Garza County,6578,Garza,TX
texas,29472295,48,171,Gillespie County,26804,Gillespie,TX
texas,29472295,48,173,Glasscock County,1388,Glasscock,TX
texas,29472295,48,175,Goliad County,7584,Goliad,TX
texas,29472295,48,177,Gonzales County,20826,Gonzales,TX
texas,29472295,48,179,Gray County,21895,Gray,TX
texas,29472295,48,181,Grayson County,133991,Grayson,TX
texas,29472295,48,183,Gregg County,123707,Gregg,TX
texas,29472295,48,185,Grimes County,28360,Grimes,TX
texas,29472295,48,187,Guadalupe County,163694,Guadalupe,TX
texas,29472295,48,189,Hale County,33830,Hale,TX
texas,29472295,48,191,Hall County,3028,Hall,TX
texas,29472295,48,193,Hamilton County,8484,Hamilton,TX
texas,29472295,48,195,Hansford County,5463,Hansford,TX
texas,29472295,48,197,Hardeman County,3922,Hardeman,TX
texas,29472295,48,199,Hardin County,57207,Hardin,TX
texas,29472295,48,201,Harris County,4698619,Harris,TX
texas,29472295,48,203,Harrison County,66726,Harrison,TX
texas,29472295,48,205,Hartley County,5619,Hartley,TX
texas,29472295,48,207,Haskell County,5813,Haskell,TX
texas,29472295,48,209,Hays County,222631,Hays,TX
texas,29472295,48,211,Hemphill County,3825,Hemphill,TX
texas,29472295,48,213,Henderson County,82299,Henderson,TX
texas,29472295,48,215,Hidalgo County,865939,Hidalgo,TX
texas,29472295,48,217,Hill County,36354,Hill,TX
texas,29472295,48,219,Hockley County,22980,Hockley,TX
texas,29472295,48,221,Hood County,60537,Hood,TX
texas,29472295,48,223,Hopkins County,36810,Hopkins,TX
texas,29472295,48,225,Houston County,23169,Houston,TX
texas,29472295,48,227,Howard County,36459,Howard,TX
texas,29472295,48,229,Hudspeth County,4795,Hudspeth,TX
texas,29472295,48,231,Hunt County,96493,Hunt,TX
texas,29472295,48,233,Hutchinson County,21198,Hutchinson,TX
texas,29472295,48,235,Irion County,1522,Irion,TX
texas,29472295,48,237,Jack County,8843,Jack,TX
texas,29472295,48,239,Jackson County,14874,Jackson,TX
texas,29472295,48,241,Jasper County,35872,Jasper,TX
texas,29472295,48,243,Jeff Davis County,2252,Jeff Davis,TX
texas,29472295,48,245,Jefferson County,255001,Jefferson,TX
texas,29472295,48,247,Jim Hogg County,5248,Jim Hogg,TX
texas,29472295,48,249,Jim Wells County,40822,Jim Wells,TX
texas,29472295,48,251,Johnson County,171361,Johnson,TX
texas,29472295,48,253,Jones County,19817,Jones,TX
texas,29472295,48,255,Karnes County,15650,Karnes,TX
texas,29472295,48,257,Kaufman County,128622,Kaufman,TX
texas,29472295,48,259,Kendall County,45641,Kendall,TX
texas,29472295,48,261,Kenedy County,442,Kenedy,TX
texas,29472295,48,263,Kent County,726,Kent,TX
texas,29472295,48,265,Kerr County,52405,Kerr,TX
texas,29472295,48,267,Kimble County,4362,Kimble,TX
texas,29472295,48,269,King County,277,King,TX
texas,29472295,48,271,Kinney County,3767,Kinney,TX
texas,29472295,48,273,Kleberg County,31129,Kleberg,TX
texas,29472295,48,275,Knox County,3653,Knox,TX
texas,29472295,48,277,Lamar County,49728,Lamar,TX
texas,29472295,48,279,Lamb County,13158,Lamb,TX
texas,29472295,48,281,Lampasas County,21229,Lampasas,TX
texas,29472295,48,283,La Salle County,7531,La Salle,TX
texas,29472295,48,285,Lavaca County,20110,Lavaca,TX
texas,29472295,48,287,Lee County,17144,Lee,TX
texas,29472295,48,289,Leon County,17270,Leon,TX
texas,29472295,48,291,Liberty County,86323,Liberty,TX
texas,29472295,48,293,Limestone County,23519,Limestone,TX
texas,29472295,48,295,Lipscomb County,3355,Lipscomb,TX
texas,29472295,48,297,Live Oak County,12166,Live Oak,TX
texas,29472295,48,299,Llano County,21646,Llano,TX
texas,29472295,48,301,Loving County,152,Loving,TX
texas,29472295,48,303,Lubbock County,307412,Lubbock,TX
texas,29472295,48,305,Lynn County,5877,Lynn,TX
texas,29472295,48,307,McCulloch County,7987,McCulloch,TX
texas,29472295,48,309,McLennan County,254607,McLennan,TX
texas,29472295,48,311,McMullen County,749,McMullen,TX
texas,29472295,48,313,Madison County,14422,Madison,TX
texas,29472295,48,315,Marion County,9928,Marion,TX
texas,29472295,48,317,Martin County,5753,Martin,TX
texas,29472295,48,319,Mason County,4280,Mason,TX
texas,29472295,48,321,Matagorda County,36552,Matagorda,TX
texas,29472295,48,323,Maverick County,58485,Maverick,TX
texas,29472295,48,325,Medina County,50921,Medina,TX
