adm0_name,adm1_name,adm1_id,adm2_name,adm3_name,date,policy,policy_intensity,travel_ban_intl_out_country_list,travel_ban_intl_in_country_list,no_gathering_size,Optional,Notes,source,access_date
USA,Alaska,AK,all,all,3/11/2020,emergency_declaration,1,NA,NA,NA,NA,public health Emergency,https://www.nga.org/coronavirus/#states,3/14/2020
USA,Alaska,AK,all,all,3/13/2020,school_closure,1,NA,NA,NA,N,between March 16-30 there will be non-student contact days in which students will not be attending school and all after school activities will be suspended.,http://dhss.alaska.gov/News/Documents/press/2020/SOA_03132020_COVID-19_HealthMandate.pdf,3/14/2020
USA,Alaska,AK,all,all,3/17/2020,school_closure,1,NA,NA,NA,N,residential school programs will begin the process of sending students to their families and home communities by March 27.,https://gov.alaska.gov/wp-content/uploads/sites/2/03.16.20-COVID-19-Health-Mandate-002.pdf,3/26/2020
USA,Alaska,AK,all,all,3/23/2020,travel_ban_local,1,all,all,NA,N,"Health Mandate 010: International and Interstate Travel, Order for Self-Quarantine requiring all people arriving in Alaska, whether resident, worker or visitor, to self-quarantine for 14 days and monitor for illness.",https://gov.alaska.gov/home/covid19-healthmandates/,3/26/2020
USA,Alaska,AK,all,all,3/23/2020,travel_ban_intl_in,1,NA,any person arriving from anywhere outside of Alaska,NA,N,"Health Mandate 010: International and Interstate Travel, Order for Self-Quarantine requiring all people arriving in Alaska, whether resident, worker or visitor, to self-quarantine for 14 days and monitor for illness.",https://gov.alaska.gov/home/covid19-healthmandates/,3/26/2020
USA,Alaska,AK,all,all,3/17/2020,travel_ban_intl_in,0.5,NA,"South Korea, China, Austria, Belgium, Czech Republic, Denmark Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtensteing, Lithuania, Luxembourg Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain Sweden, Switzerland, Monaco, San Marino, Vatican City",NA,N,COVID-19 Health Mandate 004 pertaining to travelers coming into Alaska from CDC Level 3 countries (high risk) and anywhere outside of Alaska (medium risk) within the last 14 days. The Mandate also provides guidance for what travelers should do upon returning to Alaska.,https://gov.alaska.gov/wp-content/uploads/sites/2/03172020-SOA-COVID-19-Health-Mandate-004.pdf,3/26/2020
USA,Alaska,AK,all,all,3/16/2020,business_closure,0.5,NA,NA,NA,N,"second COVID-19 health mandate closing state operated libraries, archives, and museums to the public from March 17, 2020 through March 31, 2020.",https://gov.alaska.gov/wp-content/uploads/sites/2/03.16.20-COVID-19-Health-Mandate-002.pdf,3/26/2020
USA,Alaska,AK,all,all,3/17/2020,social_distance,0.67,NA,NA,NA,N,"a ban on all bars, breweries, restaurants, food and beverage kiosks or trucks, and other establishments serving food or beverages for public dine-in service.",https://gov.alaska.gov/wp-content/uploads/sites/2/03172020-SOA-COVID-19-Health-Mandate-003.pdf,3/26/2020
USA,Alaska,AK,all,all,3/12/2020,social_distance,0.33,NA,NA,NA,N,"suspended visitation for certian facilities (i.e. dept of corrections, juvenile justice facilities, military youth academy, Alaska psychiatric institute)",https://gov.alaska.gov/newsroom/2020/03/13/governor-issues-first-covid-19-health-mandate/,3/26/2020
USA,Alaska,AK,all,all,3/23/2020,home_isolation,1,NA,NA,NA,N,"Health Mandate 010: Order for Self-Quarantine requiring all people arriving in Alaska, whether resident, worker or visitor, to self-quarantine for 14 days and monitor for illness.",https://gov.alaska.gov/home/covid19-healthmandates/,3/30/2020
USA,Alaska,AK,all,all,3/23/2020,social_distance,1,NA,NA,NA,N,Health Mandate 009 Personal Care Services & Gatherings Statewide to limit all close contacts (people outside of a family unit) to be farther than six feet from each other to prevent the spread of the virus that causes COVID-19.,https://content.govdelivery.com/accounts/AKDHSS/bulletins/282d194,3/30/2020
USA,Alabama,AL,all,all,3/17/2020,social_distance,0.5,NA,NA,NA,N,"The Alabama Department of Public Health issued updated guidelines stating any restaurant, bar, or brewery shall not permit on-premises consumption of food or drink for one week.",https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-updated-public-health-precautionary-guidelines/,3/25/2020
USA,Alabama,AL,all,all,3/19/2020,social_distance,1,NA,NA,NA,N,"all beaches are closed, all visitation prohibited to Hospitals and Nursing Home/Long Term Care Facilities, All elective dental and medical procedures shall be delayed. Any restaurant, bar, brewery or similar establishments are not to permit on-premise consumption of food or drink.",https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,3/26/2020
USA,Alabama,AL,all,all,3/10/2020,travel_ban_local,1,all,all,NA,N,travel_ban,https://www.nga.org/coronavirus/#states,3/14/2020
USA,Alabama,AL,all,all,3/14/2020,school_closure,1,NA,NA,NA,N,"all Alabama public schools beginning close of business Wednesday, March 18 for two and a half weeks due to the coronavirus outbreak.",https://www.fox10tv.com/news/coronavirus/alabama-public-schools-to-close-statewide-close-of-business-wednesday/article_63267b48-6575-11ea-913e-874af17f7d4d.html,3/26/2020
USA,Alabama,AL,all,all,3/13/2020,emergency_declaration,1,NA,NA,NA,NA,state of emergency,https://www.nga.org/coronavirus/#states,3/14/2020
USA,Alabama,AL,all,all,3/15/2020,work_from_home,1,NA,NA,NA,Y,"directors of all state agencies to implement different telework, flexible work schedules and social distancing practices for the next three weeks.",https://whnt.com/news/coronavirus/gov-ivey-directs-alabama-agencies-to-allow-flexible-work-schedules-for-employees-due-to-coronavirus/,3/26/2020
USA,Alabama,AL,all,all,3/18/2020,event_cancel,1,NA,NA,NA,N,the primary runoff election will be delayed to July 14.,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-announces-new-primary-runoff-election-date/,3/26/2020
USA,Alabama,AL,all,all,3/16/2020,pos_cases_quarantine,1,NA,NA,NA,Y,stay home when sick,https://www.alabamapublichealth.gov/infectiousdiseases/assets/cov-business-guidance.pdf,3/15/2020
USA,Alabama,AL,all,all,3/20/2020,no_gathering,1,NA,NA,25,N,"all gatherings of 25 persons or more, or gatherings of any size that cannot maintain a consistent six-foot distance between persons are prohibited.",https://governor.alabama.gov/newsroom/2020/03/governor-ivey-issues-statement-on-statewide-public-health-order/,3/26/2020
USA,Alabama,AL,all,all,3/26/2020,school_closure,1,NA,NA,NA,N,fourth state of emergency: Requires all public K-12 schools to implement a plan to complete the 2019-2020 school year using alternate methods of instruction;,https://governor.alabama.gov/newsroom/2020/03/fourth-supplemental-state-of-emergency-coronavirus-covid-19/,3/30/2020
USA,all,all,all,all,1/31/2020,emergency_declaration,1,NA,NA,NA,NA,Public Health Emergency,http://www.p12.nysed.gov/sss/documents/FINALJointNYSDOH-NYSEDCoronavirus020520.pdf,3/14/2020
USA,all,all,all,all,2/2/2020,travel_ban_intl_in,1,NA,China,NA,N,mandates that all flights from China land at specific airports - screening passengers and can prevent entry,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020
USA,all,all,all,all,2/2/2020,travel_ban_intl_out,1,all,NA,NA,N,suspend immigrants/nonimmigrants who may have COVID-19,https://www.whitehouse.gov/presidential-actions/proclamation-suspension-entry-immigrants-nonimmigrants-persons-pose-risk-transmitting-2019-novel-coronavirus/,3/14/2020
USA,all,all,all,all,2/6/2020,travel_ban_intl_in,1,NA,China,NA,N,"Travelers returning from China should stay home for 14 days after returning from travel, monitor their health, and practice social distancing.",https://wwwnc.cdc.gov/travel/notices,3/25/2020
USA,all,all,all,all,2/6/2020,travel_ban_intl_out,1,China,NA,NA,Y,CDC recommends that travelers avoid all nonessential travel to China.,https://wwwnc.cdc.gov/travel/notices,3/25/2020
USA,all,all,all,all,2/19/2020,travel_ban_intl_out,1,"Hong Kong, Japan",NA,NA,Y,travel warning - level 1,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020
USA,all,all,all,all,2/22/2020,travel_ban_intl_out,1,japan,NA,NA,Y,travel warning - level 2,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020
USA,all,all,all,all,2/22/2020,travel_ban_intl_out,1,South korea,NA,NA,Y,travel warning - level 2,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020
USA,all,all,all,all,2/23/2020,travel_ban_intl_out,1,"Iran, Ialy",NA,NA,Y,travel warning - level 1,https://www.cdc.gov/mmwr/volumes/69/wr/mm6908e1.htm,3/14/2020
