adm0,policy,beta,se
"CHN","home_isolation_L0_to_L7",-.1,.016
"CHN","travel_ban_local_L0_to_L7",-.044,.033
"CHN","home_isolation_L8_to_L14",-.138,.015
"CHN","travel_ban_local_L8_to_L14",-.182,.038
"CHN","home_isolation_L15_to_L21",-.155,.015
"CHN","travel_ban_local_L15_to_L21",-.202,.037
"CHN","home_isolation_L22_to_L28",-.162,.015
"CHN","travel_ban_local_L22_to_L28",-.19,.034
"CHN","home_isolation_L29_to_L70",-.161,.017
"CHN","travel_ban_local_L29_to_L70",-.193,.035
"CHN","comb. policy",-1.526,.173
"CHN","first week (home+travel)",-.144,.034
"CHN","second week (home+travel)",-.32,.041
"CHN","third week (home+travel)",-.357,.037
"CHN","fourth week (home+travel)",-.352,.036
"CHN","fifth week (home+travel)",-.354,.036
"CHN","no_policy rate",.221,.088
"CHN_Wuhan","no_policy rate",.435,.063
