adm0_name,recovery_delay,gamma
CHN,0,0.1111111111111111
CHN,1,0.11416933372126856
CHN,2,0.11650485436893204
CHN,3,0.12
CHN,4,0.125
CHN,5,0.13196277406803725
CHN,6,0.14
CHN,7,0.14838120988240933
CHN,8,0.1568627450980392
CHN,9,0.1702127659574468
CHN,10,0.1875
CHN,11,0.2080376921487504
CHN,12,0.2222222222222222
CHN,13,0.25
CHN,14,0.2631578947368421
KOR,0,0.047619047619047616
KOR,1,0.04878048780487805
KOR,2,0.05
KOR,3,0.0514142215173143
KOR,4,0.05263157894736842
KOR,5,0.05501157408130795
KOR,6,0.05732045732045732
KOR,7,0.06060606060606061
KOR,8,0.06451612903225806
KOR,9,0.06816342209600637
KOR,10,0.07142857142857142
KOR,11,0.08
KOR,12,0.08695652173913043
KOR,13,0.09017408338261385
KOR,14,0.10256410256410256
pooled,0,0.1016949152542373
pooled,1,0.10526315789473684
pooled,2,0.11029411764705882
pooled,3,0.1111111111111111
pooled,4,0.11428571428571428
pooled,5,0.12079845114102863
pooled,6,0.12903225806451613
pooled,7,0.13793103448275862
pooled,8,0.14608739837398374
pooled,9,0.16
pooled,10,0.17391304347826086
pooled,11,0.19117647058823528
pooled,12,0.2
pooled,13,0.2222222222222222
pooled,14,0.24
