date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2020-01-16,45,45
2020-01-17,66.88065732036452,66.88065732036452
2020-01-18,155.18946799459985,155.18946799459985
2020-01-19,225.28753211321677,225.28753211321677
2020-01-20,335.24190802303565,335.24190802303565
2020-01-21,488.7644965759125,488.7644965759125
2020-01-22,702.5322855535935,702.5322855535935
2020-01-23,994.6164156476818,1028.0496918774224
2020-01-24,1393.8800840327815,1489.4378345252392
2020-01-25,2037.6625773924454,2239.644237311666
2020-01-26,3016.444429518328,3398.3970390999457
2020-01-27,4166.6578666173355,4845.958530280494
2020-01-28,6480.795096988208,7796.174753936722
2020-01-29,8828.308364317241,10996.68740213969
2020-01-30,11968.069113301215,15446.196066077744
2020-01-31,14976.442751600103,21570.286356669887
2020-02-01,18373.111300802546,30065.273066638045
2020-02-02,22339.33465365356,41778.716862771726
2020-02-03,27017.63519484654,57937.820433772235
2020-02-04,32488.315669941352,80340.60160356354
2020-02-05,38737.12624043217,111170.46012146803
2020-02-06,45227.60276899956,150601.93554027972
2020-02-07,52801.711091896956,207129.51487356887
2020-02-08,61363.106875838996,283791.4655276154
2020-02-09,71085.47998341567,386660.017811999
2020-02-10,77741.83523220487,522932.7504493142
2020-02-11,84745.62721138132,700563.177206254
2020-02-12,91211.66409167304,925546.5117566518
2020-02-13,98416.760578484507,1207774.7530754476
2020-02-14,106599.15457579671,1555572.9492188932
2020-02-15,115317.56347258568,1974360.3456004125
2020-02-16,124477.90814017293,2471236.881062575
2020-02-17,134115.74366384928,3054732.4463776685
2020-02-18,141598.77782638668,3734877.2949154037
2020-02-19,149230.22268950503,4522022.975600794
2020-02-20,156333.65300088405,5405866.624301663
2020-02-21,162901.38601387775,6343885.779930407
2020-02-22,170751.4455128949,7459602.436747217
2020-02-23,178730.5357949209,8690598.020768614
2020-02-24,186859.47781879635,10032419.531658633
2020-02-25,193832.12636614215,11477721.436935548
2020-02-26,200840.6899386778,13016219.923808755
2020-02-27,207878.1714409374,14635429.97441194
2020-02-28,214949.90034534846,16322246.795100508
2020-02-29,222051.00634602897,18064603.26679845
2020-03-01,229145.10536328354,19852122.77142442
2020-03-02,236278.39910868305,21675215.95309875
2020-03-03,242976.03200349075,23522988.83680042
2020-03-04,249670.74340698862,25380920.97912932
2020-03-05,256632.50295922693,27244541.381920904
