id,date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
1,2020-03-02,141,141
1,2020-03-03,213.04409481499283,220.85769966148973
1,2020-03-04,299.71724577210415,320.5466545452879
1,2020-03-05,447.34847028333394,491.0725498754722
1,2020-03-06,692.2555687252814,771.800637697912
1,2020-03-07,989.8138755165953,1124.365248338214
1,2020-03-08,1357.322699148671,1625.0421213205914
1,2020-03-09,1811.266416440818,2277.6201625659373
1,2020-03-10,2343.221387571625,3105.1086400599456
1,2020-03-11,3079.7402698011883,4399.624004182446
1,2020-03-12,4209.442270334161,6498.378996299082
1,2020-03-13,5489.430074885142,9517.080426029315
1,2020-03-14,7083.493474037796,13827.826619952368
1,2020-03-15,8612.96040690861,18650.75581273894
1,2020-03-16,10946.593202997996,25848.705112884454
1,2020-03-17,12554.14993194603,35306.6092313728
1,2020-03-18,14883.20807340022,49894.527261234194
1,2020-03-19,18262.048961377302,72778.83699429159
1,2020-03-20,22197.396848073116,103925.83982850514
1,2020-03-21,26763.920762075577,144649.5453121629
1,2020-03-22,32127.595369113384,196180.27954880707
1,2020-03-23,37505.54136395361,251904.13888296275
1,2020-03-24,43224.18489695742,313500.63644033053
1,2020-03-25,51250.147958292866,392088.0709983742
1,2020-03-26,62491.92473062981,492206.11614601285
1,2020-03-27,75246.68504485607,602689.3171276938
1,2020-03-28,89448.68011683831,722324.210701757
1,2020-03-29,105244.87470475651,850232.9049681203
1,2020-03-30,119588.81023293412,968458.497439103
1,2020-03-31,133756.6986004986,1082012.2557528939
1,2020-04-01,152015.5907750682,1207008.5954443023
1,2020-04-02,175204.3940205793,1338210.0564370814
1,2020-04-03,198900.46687375833,1452403.7429509268
1,2020-04-04,222887.10732543416,1548525.9025079855
1,2020-04-05,247498.49173198416,1628328.0322618312
1,2020-04-06,268177.07915228006,1686837.3986617918
2,2020-03-02,141,141
2,2020-03-03,209.44897028540893,215.20477879944127
2,2020-03-04,286.8368065310285,302.49028959949163
2,2020-03-05,414.9839356210905,447.61746906825147
2,2020-03-06,637.7106237973156,702.5775461772373
2,2020-03-07,887.4405586891368,1003.2235131279012
2,2020-03-08,1208.0295415215721,1436.976831287049
2,2020-03-09,1573.74220041152,1969.1214854158454
2,2020-03-10,1963.4761640494937,2595.4024035780603
2,2020-03-11,2485.4560405649813,3529.667672252073
2,2020-03-12,3251.060266957204,4970.721060162046
2,2020-03-13,4214.0665997717315,7126.552979331124
2,2020-03-14,5351.922094165454,10020.143398431019
2,2020-03-15,6386.268293552566,12793.725695281599
2,2020-03-16,7774.058510145733,17088.063166186854
2,2020-03-17,8745.670637280738,22325.41271716672
2,2020-03-18,10109.570707183482,30089.303658516223
2,2020-03-19,12035.590299632606,41932.936639481406
2,2020-03-20,14532.907838163996,59339.757844160835
2,2020-03-21,17264.753734855152,82119.0427577344
2,2020-03-22,20635.878983979303,113770.65850254876
2,2020-03-23,23940.583509334094,148926.78343538937
2,2020-03-24,27242.8653170923,189481.1559171088
2,2020-03-25,31828.580604881707,245325.86185231933
2,2020-03-26,38266.60853643082,322312.0311087838
2,2020-03-27,46676.25501050268,421372.63767369924
2,2020-03-28,56004.85848557653,532060.670746903
2,2020-03-29,67547.05036002993,660394.4679252164
2,2020-03-30,77902.97099323198,778111.997186319
2,2020-03-31,88091.52100855246,890880.9715351224
2,2020-04-01,101917.83670112106,1017867.8912293898
2,2020-04-02,120774.15991858755,1156066.3204299642
2,2020-04-03,144556.0339161185,1292403.7228178843
2,2020-04-04,169950.16224977694,1408642.5221810606
2,2020-04-05,200124.17473848627,1512332.5699229252
2,2020-04-06,226138.71627963925,1587275.8285657985
