date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2/27/2020,188,188
2/28/2020,332.1732731,354.208985
2/29/2020,628.0276904,691.5846363
3/1/2020,961.9479257,1166.294658
3/2/2020,1434.210248,1919.545358
3/3/2020,1930.618058,3095.378617
3/4/2020,2631.971532,4965.82276
3/5/2020,3460.501614,8322.584579
3/6/2020,4908.127463,15115.26087
3/7/2020,6235.676176,24748.67801
3/8/2020,7822.758941,40087.51003
3/9/2020,9852.252527,65242.72562
3/10/2020,12234.76801,104230.3316
3/11/2020,14880.90104,162192.3079
3/12/2020,18973.34762,263377.9855
3/13/2020,21811.13948,426553.0954
3/14/2020,24295.94001,655823.2649
3/15/2020,26844.23474,973063.8621
3/16/2020,29789.35719,1398396.604
3/17/2020,32626.76799,1904411.362
3/18/2020,35132.68729,2454031.762
3/19/2020,39299.48464,3109770.369
3/20/2020,46520.44144,3872779.717
3/21/2020,51364.15873,4479598.152
3/22/2020,56373.44882,5022947.518
