date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2020-02-26,310,310
2020-02-27,526.0569820880984,538.0381978110089
2020-02-28,734.5087997268805,766.4644511486379
2020-02-29,1040.347180627835,1103.0383949920836
2020-03-01,1393.707127907186,1567.3101316850111
2020-03-02,1827.4341222300186,2169.9440607369615
2020-03-03,2406.527101957884,3004.1047856980617
2020-03-04,3198.0105550388557,4178.631000809511
2020-03-05,4208.932100652062,5787.442413945505
2020-03-06,5518.898553898346,7961.299984573267
2020-03-07,7161.28516295113,10807.399859398052
2020-03-08,8964.070008233713,15022.22284713749
2020-03-09,10794.259618434395,20081.549273880406
2020-03-10,12885.390868166136,26842.336965849365
2020-03-11,15144.341956407265,35896.24907895997
2020-03-12,17914.14725062982,48328.20528112148
2020-03-13,21011.148750069264,64514.95139219477
2020-03-14,24374.61537121841,85030.43848344602
2020-03-15,29034.587079137527,114425.50267342452
2020-03-16,33510.79376766984,148989.31321210336
2020-03-17,38746.825304454556,193348.64137318727
2020-03-18,44946.39589347633,250354.84340276514
2020-03-19,52696.84443562602,324823.4737980306
2020-03-20,61530.162822912665,416164.0665645655
2020-03-21,71283.05440101074,523959.63545354555
2020-03-22,78467.45534238513,663614.417181939
2020-03-23,84057.75342400202,811820.46299539
2020-03-24,90087.91938128538,979418.6298845764
2020-03-25,96787.93079969904,1164649.7815767755
2020-03-26,104727.8890003318,1366487.4472520356
2020-03-27,112838.7863594462,1568594.7999641385
2020-03-28,120644.19633616731,1761011.179222886
2020-03-29,131206.89002305834,1959028.0891688834
2020-03-30,139678.15239707247,2127475.954233398
2020-03-31,148798.7111424944,2282964.556016895
2020-04-01,158920.03761597638,2425333.9535545902
2020-04-02,170879.34408846163,2555833.952403796
2020-04-03,183149.08466939788,2667758.807609749
2020-04-04,195041.1808834459,2760746.8240182633
2020-04-05,210910.31147642268,2844810.658658328
2020-04-06,223826.16148033028,2908325.3863227414
