id,date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
1,2020-02-17,24,24
1,2020-02-18,39.29197660867071,39.29197660867071
1,2020-02-19,74.2688081748291,74.2688081748291
1,2020-02-20,145.67395439898837,148.07539241373323
1,2020-02-21,192.73251423914678,227.37678721161456
1,2020-02-22,279.24871433081785,376.7754676695173
1,2020-02-23,407.006636929103,623.6543881879675
1,2020-02-24,523.4787854925816,960.5178285902896
1,2020-02-25,679.8114838899954,1510.2541984213601
1,2020-02-26,870.2046900053023,2374.0854298521813
1,2020-02-27,1146.915006662671,3739.2993943583483
1,2020-02-28,1264.243845570222,5732.768688345239
1,2020-02-29,1484.4086965099186,9577.521935159084
1,2020-03-01,1724.950596785139,15643.717173910041
1,2020-03-02,1908.0194772058828,24514.763329426467
1,2020-03-03,2129.3459083089847,39231.08490803197
1,2020-03-04,2368.831840165866,62752.58104043758
1,2020-03-05,2603.293702033054,99092.85932420171
1,2020-03-06,2824.9085084113126,154110.9473444702
1,2020-03-07,3150.092083758522,247950.96065463204
1,2020-03-08,3560.8041899807345,404442.3442011738
1,2020-03-09,3899.3090856673325,628609.8148751216
1,2020-03-10,4349.603679555187,982123.2827060804
1,2020-03-11,4782.296473599802,1498809.9176176256
1,2020-03-12,5205.694135342646,2192419.735687088
1,2020-03-13,5605.973665539791,3049898.3656435
1,2020-03-14,6196.624985096378,4147172.114477745
1,2020-03-15,6784.616942447811,5391219.931462756
1,2020-03-16,7151.3415035753615,6538799.882670704
1,2020-03-17,7634.761945200908,7703510.41279933
1,2020-03-18,8114.548600238192,8839119.189593531
1,2020-03-19,8549.083793701415,9962163.318921419
1,2020-03-20,8903.000473203052,11118210.304024534
1,2020-03-21,9476.504853644763,12516193.252674296
1,2020-03-22,9995.308153597425,14009862.552538935
1,2020-03-23,10474.785181402567,15569108.078521585
1,2020-03-24,11103.347854275158,17245454.616715696
1,2020-03-25,11750.082993534708,18876053.292278025
1,2020-03-26,12329.047819959265,20364398.466069337
1,2020-03-27,13018.631762943245,21786816.47104627
1,2020-03-28,13830.414336811118,23137666.477870647
1,2020-03-29,14843.39244079648,24432732.264057335
1,2020-03-30,15562.430455638108,25485340.514866967
1,2020-03-31,16485.413104391824,26484668.97419013
1,2020-04-01,17453.075867084463,27362256.829560734
1,2020-04-02,18330.786187109064,28096522.84729017
1,2020-04-03,19097.19463679988,28699839.245215524
1,2020-04-04,20272.677661461632,29262226.541197915
1,2020-04-05,21754.686581943326,29745412.541699756
1,2020-04-06,22815.531854148932,30095378.4512876
2,2020-02-17,24,24
2,2020-02-18,36.14783115725534,36.14783115725534
2,2020-02-19,63.49548838236242,63.49548838236242
2,2020-02-20,126.35717127064098,128.0141296663911
2,2020-02-21,165.52350730305727,184.64715693018604
2,2020-02-22,229.93574808372182,279.07939924862603
2,2020-02-23,319.9187431386003,420.0087572056986
2,2020-02-24,406.41901000956415,596.1643388798195
2,2020-02-25,526.1430719724881,868.9145789669834
2,2020-02-26,661.8206071314519,1239.9852232240157
2,2020-02-27,877.9597885989263,1812.435788894977
2,2020-02-28,1006.1629114639375,2556.9567950890205
2,2020-02-29,1195.8578071926852,3799.9560990728487
2,2020-03-01,1403.3989100131562,5487.133076170155
2,2020-03-02,1603.7670515998154,7799.809790498547
2,2020-03-03,1862.5560437773386,11391.388212214157
2,2020-03-04,2123.988259487193,16321.87649720651
2,2020-03-05,2413.5547930390185,23315.61371283873
2,2020-03-06,2728.2325523256864,33124.00274096229
2,2020-03-07,3070.787732462248,46834.2498167324
2,2020-03-08,3514.872717599729,67569.47691530485
2,2020-03-09,3987.218788412201,96388.92493853749
2,2020-03-10,4646.539296102464,141346.76283848903
2,2020-03-11,5259.145507813901,203031.01355456514
2,2020-03-12,5938.918188337997,290006.14937841427
2,2020-03-13,6678.946202081469,410490.61938381236
2,2020-03-14,7485.75253681951,575410.2085725075
2,2020-03-15,8053.876748609148,816256.570284351
2,2020-03-16,8498.395086136417,1134386.4900288144
2,2020-03-17,9142.186167463731,1593835.8664019813
2,2020-03-18,9665.547763080926,2160899.0055646626
2,2020-03-19,10189.551379851344,2856827.0641225656
2,2020-03-20,10675.237159275026,3665168.107888041
2,2020-03-21,11134.133915759301,4558589.539777975
2,2020-03-22,11662.406326266208,5527919.01804549
2,2020-03-23,12220.258125297822,6520150.587594832
2,2020-03-24,13020.243897090164,7568340.975839644
2,2020-03-25,13691.23776927978,8512366.491828756
2,2020-03-26,14354.725008365525,9395506.07129986
2,2020-03-27,15046.502499004053,10239162.142639078
2,2020-03-28,15671.53996602373,11046445.591489548
2,2020-03-29,16502.435664295193,11924534.305373542
2,2020-03-30,17263.224157959914,12816030.38507467
2,2020-03-31,18329.095044933496,13862160.936042327
2,2020-04-01,19257.814774390914,14922531.67951275
2,2020-04-02,20184.724549977916,16036822.417260023
2,2020-04-03,21089.15439819863,17175996.583400037
2,2020-04-04,21949.972369983578,18317336.241028804
2,2020-04-05,23110.91535036154,19536958.3029148
2,2020-04-06,24174.443163221535,20684310.888045084
