date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2020-02-17,24,24
2020-02-18,35.72544529514996,35.72544529514996
2020-02-19,63.68825579724289,63.68825579724289
2020-02-20,126.67520378583734,128.4469944443241
2020-02-21,175.86761328865532,197.84049774077707
2020-02-22,250.28557317232935,309.1701956913067
2020-02-23,351.5214957273162,474.18846815468976
2020-02-24,448.40665814885466,682.9494001896121
2020-02-25,573.2524140811873,992.6607894723943
2020-02-26,729.2267535094934,1447.7512966059285
2020-02-27,976.9406830703804,2163.72230700222
2020-02-28,1176.1297965591937,3265.9922626343523
2020-02-29,1399.0066238691275,4960.354876990919
2020-03-01,1646.8920884610184,7350.92835440215
2020-03-02,1876.8646551059044,10633.085822136552
2020-03-03,2143.6273785929466,15533.849640730401
2020-03-04,2455.529258075376,22798.27879269364
2020-03-05,2814.6839020775355,33513.47280970458
2020-03-06,3319.8162043833513,50968.27015544989
2020-03-07,3820.352619855652,75256.55032686357
2020-03-08,4418.066588071335,111621.73357986992
2020-03-09,5024.473961144723,161944.2626537348
2020-03-10,5784.954380627108,236985.9569222118
2020-03-11,6560.324772620063,347041.5268517916
2020-03-12,7451.061742235545,506164.53264297853
2020-03-13,8704.411384196836,756007.8307764519
2020-03-14,9938.182507903084,1085172.4038433258
2020-03-15,10657.18841947341,1539737.0470213583
2020-03-16,11066.065197019501,2102755.549286724
2020-03-17,11568.548171020093,2826173.2667548214
2020-03-18,12093.959512486499,3698830.64293544
2020-03-19,12643.202640794143,4687027.270429748
2020-03-20,13489.13866934205,5833784.3695479045
2020-03-21,14086.156714655872,6904090.020631512
2020-03-22,14696.393620246878,7920173.876676569
2020-03-23,15200.71299789653,8841490.791405482
2020-03-24,15812.125261448724,9734736.743167292
2020-03-25,16471.44630619446,10608886.753234258
2020-03-26,17151.87364436882,11495517.128709782
2020-03-27,17881.985267667143,12429947.079881199
2020-03-28,18662.585065181203,13456152.109594261
2020-03-29,19519.086694082263,14601363.36172076
2020-03-30,20180.443648197543,15764758.597057654
2020-03-31,20960.892675073894,17039611.304500002
2020-04-01,21854.610024537127,18372893.610681035
2020-04-02,22786.062139436322,19716145.41533963
2020-04-03,24173.982096651267,21171365.512113217
2020-04-04,25233.592722324818,22440794.049539402
2020-04-05,26459.30147091941,23648442.620098475
2020-04-06,27437.479155480614,24685872.828208625
