country,adm0_name,adm1_name,adm2_name,date,susceptible_individuals_no_policy,infectious_individuals_no_policy,recovered_individuals_no_policy,share_of_susceptible_individuals_no_policy,cum_confirmed_cases_no_policy,cum_infections_no_policy,susceptible_individuals_with_policy,infectious_individuals_with_policy,recovered_individuals_with_policy,share_of_susceptible_individuals_with_policy,cum_confirmed_cases_with_policy,cum_infections_with_policy,cases_saved,infections_saved
china,CHN,Anhui,Anqing,2020-01-29,6158692.307692308,107.6923076923077,0,0.9999825140761688,14,107.6923076923077,6158692.307692308,107.6923076923077,0,0.9999825140761688,14,107.6923076923077,0,0
china,CHN,Anhui,Anqing,2020-01-30,6158639.3635446215,149.42369420322834,11.212761174887419,0.9999739175723552,20.663833064428616,158.95256203406626,6158638.791183757,149.94757166879242,11.261244574561715,0.9999738246385265,20.733860511259714,159.4912347019978,-0.07002744683109796,-0.5386726679315359
china,CHN,Anhui,Anqing,2020-01-31,6158565.904141229,207.32540250857403,26.770456262864172,0.9999619900209827,29.909828918546896,230.07560706574534,6158564.277317262,208.7816934307312,26.940989307127893,0.999961725874726,30.109774099431043,231.6136469187003,-0.19994518088414637,-1.5380398529549666
china,CHN,Anhui,Anqing,2020-02-01,6158463.980948074,287.66243593411434,48.35661599226296,0.9999454408241986,42.73843667645457,328.75720520349665,6158507.464555397,247.31385800380278,45.22158659994602,0.9999525012267644,37.360231973467116,287.3863997959009,5.378204702987453,41.37080540759575
china,CHN,Anhui,Anqing,2020-02-02,6158322.5666384455,399.12639048601454,78.30697106849402,0.9999224794827638,60.537623080579,465.67402369676154,6158440.167353703,292.9566960165835,66.87595028057694,0.9999415742277233,45.94871840589024,353.4516800453095,14.588904674688763,112.22234365145204
china,CHN,Anhui,Anqing,2020-02-03,6158126.363315977,553.774678103107,119.86200592014939,0.9998906220880655,85.23288012650582,655.6375394346601,6158360.451236025,347.02211327511725,92.52665069978684,0.9999286307780778,56.12211281532724,431.70856011790187,29.110767311178577,223.92897931675822
china,CHN,Anhui,Anqing,2020-02-04,6157854.150117936,768.332672728077,177.5172093361616,0.9998464230236305,119.49521270463543,919.193943881811,6158276.534622862,401.22665114242096,122.23872599564493,0.999915005296951,66.85543350119927,514.2725653938405,52.63977920343616,404.9213784879705
china,CHN,Anhui,Anqing,2020-02-05,6157476.49282513,1065.9984530966565,257.50872177351266,0.9997851030761074,167.02943514614682,1284.841808816514,6158179.511901384,463.8963963596389,156.5917022563517,0.999899251786287,79.26508941758127,609.7314570583175,87.76434572856556,675.1103517581965
china,CHN,Anhui,Anqing,2020-02-06,6157014.151115773,1422.428271270376,363.42061295639724,0.9997100329797645,225.4175519426368,1733.9811687895137,6158089.1426025545,515.853870857225,195.00352658797055,0.9998845785871524,90.86664017630171,698.9741552023208,134.5509117663351,1035.007013587193
china,CHN,Anhui,Anqing,2020-02-07,6156315.123736856,1973.3772621505866,511.4990009935573,0.9995965323986581,313.40183036478567,2410.783310498351,6157982.604427742,579.3271363132727,238.0684359446168,0.9998672800590606,104.53084729745285,804.0834407496372,208.87098306733282,1606.6998697487138
china,CHN,Anhui,Anqing,2020-02-08,6155345.499914902,2737.580636203894,716.9194488935173,0.9994390952644837,435.4457491927268,3349.582686097898,6157903.615128788,612.1759744678425,284.208896744065,0.999854454622457,114.72509544278361,882.5007341752586,320.72065374994315,2467.0819519226397
china,CHN,Anhui,Anqing,2020-02-09,6154000.686397253,3797.448534836141,1001.8650679113343,0.9992207388447835,604.7148455520636,4651.652658092797,6157820.148181993,646.8862768417318,332.96554116532207,0.9998409021533403,125.49722461909819,965.3632663007553,479.2176209329654,3686.2893917920414
