country,adm0_name,adm1_name,adm2_name,date,susceptible_individuals_no_policy,infectious_individuals_no_policy,recovered_individuals_no_policy,share_of_susceptible_individuals_no_policy,cum_confirmed_cases_no_policy,cum_infections_no_policy,susceptible_individuals_with_policy,infectious_individuals_with_policy,recovered_individuals_with_policy,share_of_susceptible_individuals_with_policy,cum_confirmed_cases_with_policy,cum_infections_with_policy,cases_saved,infections_saved
china,CHN,Anhui,Anqing,2020-01-29,6158692.307692308,107.6923076923077,0,0.9999825140761688,14,107.6923076923077,6158692.307692308,107.6923076923077,0,0.9999825140761688,14,107.6923076923077,0,0
china,CHN,Anhui,Anqing,2020-01-30,6158639.3635446215,149.42369420322817,11.212761174887419,0.9999739175723552,20.663833064428594,158.95256203406612,6158638.791183757,149.94757166879242,11.261244574561715,0.9999738246385265,20.733860511259714,159.4912347019978,-0.07002744683111928,-0.538672667931678
china,CHN,Anhui,Anqing,2020-01-31,6158565.904141229,207.3254025085737,26.770456262864172,0.9999619900209827,29.909828918546843,230.07560706574495,6158564.277317262,208.78169343073102,26.940989307127893,0.999961725874726,30.109774099431014,231.6136469187001,-0.19994518088417124,-1.5380398529551655
china,CHN,Anhui,Anqing,2020-02-01,6158463.980948074,287.6624359341136,48.35661599226296,0.9999454408241986,42.738436676454455,328.7572052034958,6158507.464555397,247.31385800380235,45.22158659994602,0.9999525012267644,37.36023197346706,287.38639979590045,5.3782047029873965,41.370805407595356
china,CHN,Anhui,Anqing,2020-02-02,6158322.5666384455,399.12639048601307,78.30697106849402,0.9999224794827638,60.53762308057879,465.6740236967599,6158440.167353703,292.956696016583,66.87595028057694,0.9999415742277233,45.94871840589016,353.45168004530893,14.588904674688628,112.22234365145096
china,CHN,Anhui,Anqing,2020-02-03,6158126.363315977,553.7746781031047,119.86200592014939,0.9998906220880655,85.23288012650552,655.6375394346578,6158360.451236025,347.02211327511634,92.52665069978684,0.9999286307780778,56.122112815327114,431.70856011790084,29.110767311178407,223.92897931675697
china,CHN,Anhui,Anqing,2020-02-04,6157854.150117936,768.332672728073,177.5172093361616,0.9998464230236305,119.49521270463487,919.1939438818066,6158276.534622862,401.2266511424195,122.23872599564493,0.999915005296951,66.85543350119906,514.2725653938389,52.63977920343581,404.9213784879677
china,CHN,Anhui,Anqing,2020-02-05,6157476.49282513,1065.9984530966497,257.50872177351266,0.9997851030761074,167.02943514614586,1284.8418088165065,6158179.511901384,463.896396359637,156.5917022563517,0.999899251786287,79.26508941758097,609.7314570583151,87.76434572856489,675.1103517581914
china,CHN,Anhui,Anqing,2020-02-06,6157014.151115773,1422.4282712703655,363.42061295639724,0.9997100329797645,225.41755194263527,1733.9811687895021,6158089.1426025545,515.8538708572223,195.00352658797055,0.9998845785871524,90.86664017630129,698.9741552023175,134.55091176633397,1035.0070135871847
china,CHN,Anhui,Anqing,2020-02-07,6156315.123736856,1973.3772621505698,511.4990009935573,0.9995965323986581,313.4018303647832,2410.7833104983324,6157982.604427742,579.3271363132698,238.0684359446168,0.9998672800590606,104.53084729745237,804.0834407496336,208.87098306733085,1606.6998697486988
china,CHN,Anhui,Anqing,2020-02-08,6155345.499914902,2737.5806362038675,716.9194488935173,0.9994390952644837,435.44574919272287,3349.582686097868,6157903.615128788,612.1759744678396,284.208896744065,0.999854454622457,114.72509544278313,882.5007341752548,320.72065374993974,2467.0819519226134
china,CHN,Anhui,Anqing,2020-02-09,6154000.686397253,3797.448534836101,1001.8650679113343,0.9992207388447835,604.7148455520576,4651.65265809275,6157820.148181993,646.8862768417296,332.96554116532207,0.9998409021533403,125.49722461909776,965.363266300752,479.2176209329598,3686.2893917919982
china,CHN,Anhui,Anqing,2020-02-10,6152135.805536668,5267.114240986812,1397.0802223449573,0.9989179394584444,839.4458757743658,6457.275967495121,6157731.949987545,683.5633973671386,384.486615087837,0.9998265814748887,136.87996442312883,1052.9228032548372,702.565911351237,5404.353164240284
china,CHN,Anhui,Anqing,2020-02-11,6149550.312453181,7304.531763335678,1945.1557834837586,0.9984981347751478,1164.8837294035247,8960.644072334806,6157655.286785157,706.5955738539783,438.11764098890126,0.9998141337249395,146.79954837981018,1129.227295229309,1018.0841810237146,7831.416777105497
china,CHN,Anhui,Anqing,2020-02-12,6145966.860715187,10128.081601087468,2705.0576837258413,0.9979162922509559,1615.9429413383982,12430.330317987678,6157576.041536017,730.4027887095713,493.55567527282983,0.9998012667298852,157.05322958321494,1208.1017660247303,1458.8897117551833,11222.228551962948
china,CHN,Anhui,Anqing,2020-02-13,6141032.219248612,14011.942715209361,3755.838036178611,0.9971150580062045,2237.1981398019516,17209.21646001501,6157495.673973924,753.5378178166591,550.7882082602009,0.9997882175056705,167.45466316859583,1288.1127936045832,2069.743476633356,15921.103666410427
china,CHN,Anhui,Anqing,2020-02-14,6134171.877539345,19415.73257465351,5212.389886001125,0.9960011491750577,3100.7766389199473,23852.1279916919,6157411.166478394,778.9243991408049,609.9091224651784,0.9997744960833919,178.38923954070293,1372.2249195438687,2922.3873993792445,22479.903072148034
china,CHN,Anhui,Anqing,2020-02-15,6124680.995528031,26889.596383094933,7229.408088874072,0.9944601213755977,4295.54037179965,33042.61824461269,6157330.990123554,798.325076613251,670.6847998322919,0.9997614779053637,188.77468304200912,1452.112946476993,4106.76568875764,31590.505298135697
china,CHN,Anhui,Anqing,2020-02-16,6111565.780368631,37213.77772070957,10020.441910659894,0.9923306131663037,5946.656735046871,45743.513346514395,6157248.817960553,818.2078747956423,732.9741646517068,0.999748135669376,199.41865042239058,1533.9896186337737,5747.2380846244805,44209.52372788062
china,CHN,Anhui,Anqing,2020-02-17,6093470.528414188,51450.98760309231,13878.483982719481,0.9893924999048821,8224.920041427598,63268.615703289215,6157164.600449919,838.5847196104099,796.8148304708302,0.9997344613317397,210.3275587930412,1617.904298408009,8014.592482634557,61650.71140488121
china,CHN,Anhui,Anqing,2020-02-18,6068558.070247024,71038.14121528539,19203.788537690416,0.9853474816923791,11361.864994772279,87398.96149824829,6157092.93246125,845.4844312912118,861.5831074593589,0.999722824651109,219.63229443745573,1689.4791879804286,11142.232700334824,85709.48231026786
china,CHN,Anhui,Anqing,2020-02-19,6034361.78186257,97898.33947918659,26539.878658243455,0.9797950545337679,15668.513912427677,120527.03009559751,6157020.67568815,852.4400656305606,926.8842462189496,0.9997110923699666,229.0134740377699,1761.6421079828453,15439.500438389907,118765.38798761467
china,CHN,Anhui,Anqing,2020-02-20,5988325.964664125,133914.62384714707,36559.41148872767,0.9723202514554986,21469.924444280216,165153.26495600166,6156952.309979188,855.163497466477,992.52652334515,0.9996999918781562,237.89638668694505,1829.9722052841926,21232.02805759327,163323.29275071746
china,CHN,Anhui,Anqing,2020-02-21,5925068.614965812,183441.7319591087,50289.65307507943,0.9620492003256823,29440.631822912957,226466.39863779198,6156879.227770242,862.1970806099018,1058.5751491477713,0.9996881255715792,247.38473636568952,1902.959510505304,29193.247086547268,224563.43912728666
china,CHN,Anhui,Anqing,2020-02-22,5839706.156016232,250101.129260149,68992.7147236187,0.9481889582412536,40201.06807575928,309238.9851981483,6156796.572460592,877.8589891350563,1125.5685502728447,0.9996747048874118,258.10078850925663,1985.3906808404356,39942.96728725002,307253.5945173079
china,CHN,Anhui,Anqing,2020-02-23,5725673.36858697,338824.5674003141,94302.06401271652,0.9296735351995469,54583.449627772636,419872.68944440485,6156712.416909129,893.8042511497873,1193.778839720413,0.9996610406100425,269.0113451470167,2069.318039592436,54314.43828262562,417803.37140481244
china,CHN,Anhui,Anqing,2020-02-24,5575379.590381116,455166.2670527955,128254.14256608859,0.9052704407321419,73553.06999241859,565792.8460955276,6156626.734017753,910.0379509474647,1263.228031299077,0.9996471283395715,280.1199195851555,2154.768612193504,73272.95007283344,563638.0774833341
china,CHN,Anhui,Anqing,2020-02-25,5380767.575154974,604743.9191794771,173288.50566554908,0.8736714254651838,98139.87096661238,754922.0843585567,6156569.655075179,897.710123573033,1332.6348012471572,0.9996378604720366,287.558891119096,2211.9914701468924,97852.31207549328,752710.0928884097
