id,date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
1,2020-03-03,52,52
1,2020-03-04,81.90787243792721,82.81813240553568
1,2020-03-05,123.55722454021895,123.52950562602733
1,2020-03-06,177.1112379828295,174.99722344521416
1,2020-03-07,246.68114644425407,240.8222012098028
1,2020-03-08,379.8702423178876,368.10825243819215
1,2020-03-09,613.9295462074726,592.7941293132765
1,2020-03-10,888.3265807871668,854.4964915888745
1,2020-03-11,1274.7231061798027,1220.816540329954
1,2020-03-12,1814.2195514211805,1854.5747506595699
1,2020-03-13,2384.796520625568,2618.8099156314443
1,2020-03-14,3370.492614384524,3709.9233827634707
1,2020-03-15,4446.613884806851,4987.99726343618
1,2020-03-16,6015.214658355465,6989.447975471535
1,2020-03-17,8072.1216110925,9764.419936860453
1,2020-03-18,10794.614699893687,13558.06151209528
1,2020-03-19,15098.67204306803,20116.165702067592
1,2020-03-20,20454.057649590664,28889.017306207254
1,2020-03-21,27240.307302585035,40857.05096505578
1,2020-03-22,34210.81931337878,56372.320455247
1,2020-03-23,43905.5235336973,80701.9324681328
1,2020-03-24,55235.51278501931,115642.68192979578
1,2020-03-25,68827.62354909477,164587.0991595409
1,2020-03-26,90901.42014666318,249581.69058592845
1,2020-03-27,116425.78117423055,364810.913939056
1,2020-03-28,146372.30297674963,519371.95916910097
1,2020-03-29,179961.63158255158,714156.2439788264
1,2020-03-30,225704.9259535739,997890.778150712
1,2020-03-31,282213.52835898113,1364177.1882429272
1,2020-04-01,348370.21934866457,1806585.7867181348
1,2020-04-02,452885.7809693452,2429655.872361752
1,2020-04-03,546187.5546293916,3087204.4086334133
1,2020-04-04,643117.0705019776,3768356.87482132
1,2020-04-05,736990.0928512355,4440029.642358669
1,2020-04-06,861502.4031075916,5236107.372951224
2,2020-03-03,52,52
2,2020-03-04,85.95920945906613,86.7098263447169
2,2020-03-05,134.5529917293264,133.31722586891038
2,2020-03-06,202.3002939157241,196.56515310189877
2,2020-03-07,294.5393864177058,280.30087898753686
2,2020-03-08,470.5360912109728,441.4156234547595
2,2020-03-09,768.5010293682152,713.9642068059204
2,2020-03-10,1151.3694112424503,1055.760455261621
2,2020-03-11,1747.6891985435902,1579.2663043909988
2,2020-03-12,2456.81749381847,2466.8678668219104
2,2020-03-13,3209.3713404562523,3610.573671601219
2,2020-03-14,4487.627869752906,5288.1855972856465
2,2020-03-15,5985.901919686074,7542.913020027993
2,2020-03-16,7975.036424776875,10960.707386599577
2,2020-03-17,10560.358444140156,15938.080920370465
2,2020-03-18,14201.44316085717,23515.704859251135
2,2020-03-19,19556.8284027486,36445.7131217559
2,2020-03-20,26249.954228528404,55095.596272529925
2,2020-03-21,34400.87695389619,81514.8471506117
2,2020-03-22,42870.40402125915,119465.59223075243
2,2020-03-23,53457.83463089457,177424.10904046692
2,2020-03-24,65834.8250023723,262627.2394837016
2,2020-03-25,81572.7247951351,390537.12668616336
2,2020-03-26,104885.44904601778,598492.9445023631
2,2020-03-27,131473.39730110267,876003.0078281084
2,2020-03-28,160609.97385474324,1220545.8841872918
2,2020-03-29,194225.98490507898,1636569.3299821867
2,2020-03-30,235678.06897807494,2146882.995022721
2,2020-03-31,284965.74954919924,2735252.4037572267
2,2020-04-01,344986.7966674189,3432155.3889264395
2,2020-04-02,432740.233306464,4354057.008958587
2,2020-04-03,522355.6198159105,5389398.8341250885
2,2020-04-04,614518.9144408372,6524897.396546791
2,2020-04-05,714408.0579674363,7782708.686664543
2,2020-04-06,835244.2014610551,9233730.024101516
