date,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy
2020-03-03,52,52
2020-03-04,83.15409271065637,84.06361769088352
2020-03-05,120.23026413715337,121.45448427720697
2020-03-06,170.56037375077426,172.1189796261917
2020-03-07,236.48118441072722,238.39661260206373
2020-03-08,363.3743605174889,365.7091161240309
2020-03-09,581.5071967396132,585.056584927878
2020-03-10,840.2550322017577,847.9220317527203
2020-03-11,1230.958534535742,1247.0361117594055
2020-03-12,1730.3761051118677,1863.71580218448
2020-03-13,2300.195369628468,2649.681713308485
2020-03-14,3218.054767067498,3802.8155622604845
2020-03-15,4179.056218999986,5156.47536851009
2020-03-16,5537.498185439995,7222.919248514688
2020-03-17,7322.931466970462,10180.911319880588
2020-03-18,9838.911661607195,14584.232913855476
2020-03-19,13220.16051687225,21332.405833073946
2020-03-20,17544.629459646854,30907.921099573137
2020-03-21,22894.41902645452,44252.181806382105
2020-03-22,27956.97337464896,61422.248577804014
2020-03-23,34387.258476307,87368.291212526
2020-03-24,42236.59040949825,125692.7953419874
2020-03-25,52343.25390747045,183414.93520381543
2020-03-26,65732.7891626361,272066.03098593286
2020-03-27,81699.49945314763,397938.06889663957
2020-03-28,99663.66430338504,567423.8987982121
2020-03-29,117975.78491634365,775610.3628631928
2020-03-30,141387.84124851073,1063303.5261556031
2020-03-31,170624.24347334178,1437677.6597295655
2020-04-01,206819.16532111337,1911839.6282182797
2020-04-02,254191.06938796947,2503125.564304006
2020-04-03,305628.2302299087,3175322.93073468
2020-04-04,360618.8702936674,3913302.8750502034
2020-04-05,412930.05021841964,4676731.6166302785
2020-04-06,480688.5860428956,5608687.042202967
