adm0_name,adm1_name,adm2_name,date,cum_confirmed_cases,cum_deaths,cum_recoveries,travel_ban_local,home_isolation,emergency_declaration,testing_regime,cum_confirmed_cases_imputed,cum_deaths_imputed,cum_recoveries_imputed,population,pop_is_imputed,active_cases,active_cases_imputed,lat,lon,t,dow,month,year,day,adm2_id,adm1_id,adm12_id,ever_policy1,ever_policy2,ever_policy3,ever_policy,adm1_adm2_name,longest_series,l_active_cases,D_l_active_cases,transmissionrate,D_l_active_cases_raw,testing_regime_change_18jan2020,testing_regime_change_28jan2020,testing_regime_change_06feb2020,testing_regime_change_13feb2020,testing_regime_change_20feb2020,testing_regime_change_05mar2020,sample_avg,day_avg,home_isolation_L0_to_L7,home_isolation_L8_to_L14,home_isolation_L15_to_L21,home_isolation_L22_to_L28,home_isolation_L29_to_L70,travel_ban_local_L0_to_L7,travel_ban_local_L8_to_L14,travel_ban_local_L15_to_L21,travel_ban_local_L22_to_L28,travel_ban_local_L29_to_L70,emergency_declaration_L0_to_L7,emergency_declaration_L8_to_L14,emergency_declaration_L15_to_L21,emergency_declaration_L22_to_L28,emergency_declaration_L29_to_L70
"CHN","Anhui","Anqing","2020-01-10",,0,0,0,0,0,0,0,0,0,6158800,0,,,30.61075,116.5945,10jan2020,5,1,2020,10,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-11",,0,0,0,0,0,0,0,0,0,6158800,0,,,30.61075,116.5945,11jan2020,6,1,2020,11,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-12",,0,0,0,0,0,0,0,0,0,6158800,0,,,30.61075,116.5945,12jan2020,0,1,2020,12,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-13",,0,0,0,0,0,0,0,0,0,6158800,0,,,30.61075,116.5945,13jan2020,1,1,2020,13,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-14",,0,0,0,0,0,0,0,0,0,6158800,0,,,30.61075,116.5945,14jan2020,2,1,2020,14,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-15",,0,0,0,0,0,0,0,0,0,6158800,0,,,30.61075,116.5945,15jan2020,3,1,2020,15,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-16",,0,0,0,0,0,0,0,0,0,6158800,0,,0,30.61075,116.5945,16jan2020,4,1,2020,16,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-17",,0,0,0,0,0,0,0,0,0,6158800,0,,0,30.61075,116.5945,17jan2020,5,1,2020,17,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-18",,0,0,0,0,0,1,0,0,0,6158800,0,,0,30.61075,116.5945,18jan2020,6,1,2020,18,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,1,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-19",,0,0,0,0,0,1,0,0,0,6158800,0,,0,30.61075,116.5945,19jan2020,0,1,2020,19,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-20",,0,0,0,0,0,1,0,0,0,6158800,0,,0,30.61075,116.5945,20jan2020,1,1,2020,20,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-21",,0,0,0,0,0,1,0,0,0,6158800,0,,0,30.61075,116.5945,21jan2020,2,1,2020,21,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-22",,0,0,0,0,0,1,0,0,0,6158800,0,,0,30.61075,116.5945,22jan2020,3,1,2020,22,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-23",,0,0,0,0,0,1,0,0,0,6158800,0,,0,30.61075,116.5945,23jan2020,4,1,2020,23,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN","Anhui","Anqing","2020-01-24",,0,0,0,0,1,1,1,0,0,6158800,0,,1,30.61075,116.5945,24jan2020,5,1,2020,24,"Anqing","Anhui",1003,1,1,1,2,"Anqing, Anhui",0,,,,,0,0,0,0,0,0,.0572363,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
